timestamp,open,high,low,close,volume
2018-02-02,169.9900,171.0500,166.8000,167.5000,1095363
2018-02-01,168.6100,171.1700,168.2200,171.0800,1171257
2018-01-31,172.6700,173.7900,167.4400,168.7000,1457538
2018-01-30,175.9900,176.8700,171.8400,172.0100,1155681
2018-01-29,179.5400,180.9900,177.0800,177.4500,869514
2018-01-26,173.7700,179.9300,172.7000,179.8400,1462951
2018-01-25,179.4100,180.3367,172.4100,173.1300,1897284
2018-01-24,179.2900,180.5200,177.2150,180.3100,1429889
2018-01-23,177.2700,178.7600,176.2700,178.3100,1103934
2018-01-22,178.9000,179.2850,176.8100,177.9400,1127387
2018-01-19,178.0100,180.4200,177.0400,178.8100,1216239
2018-01-18,178.5000,180.9000,177.2300,177.5700,752519
2018-01-17,177.4700,179.2700,175.6600,178.4700,1168147
2018-01-16,183.5900,183.9000,176.8900,177.3100,1522413
2018-01-12,179.6400,182.3700,178.7500,182.0400,1143503
2018-01-11,176.6200,179.4100,176.3300,178.9800,725580
2018-01-10,173.9200,176.0800,173.4400,175.8300,883264
2018-01-09,172.9700,176.1700,172.8900,174.0800,1628524
2018-01-08,170.3800,172.2700,169.2300,172.0000,996052
2018-01-05,170.3200,170.4750,169.6500,170.2700,732362
2018-01-04,169.7400,171.4100,169.6000,169.6900,864718
2018-01-03,169.9500,170.1900,168.6700,169.0700,731823
2018-01-02,170.6400,170.7200,168.8500,169.9100,761857
2017-12-29,171.7600,172.4200,169.4000,169.4700,591590
2017-12-28,171.1600,171.8591,170.7500,171.6100,393506
2017-12-27,171.4300,171.4700,170.6300,170.9400,457137
2017-12-26,171.8000,172.5100,170.9200,171.1000,412202
2017-12-22,172.4500,172.6300,170.4100,171.5100,411719
2017-12-21,172.0700,173.2200,171.3400,171.7000,805458
2017-12-20,173.3650,173.6200,170.6300,171.1000,698099
2017-12-19,170.8650,171.9500,170.1800,171.3300,860661
2017-12-18,169.4750,171.0900,169.1000,170.0200,814109
2017-12-15,166.0000,169.0300,165.6550,167.9300,1248966
2017-12-14,167.3600,167.6150,165.0700,165.4500,633057
2017-12-13,168.0600,168.3700,166.4200,166.4200,842220
2017-12-12,168.2300,169.6050,167.9300,168.6000,829958
2017-12-11,169.4500,170.3500,167.6600,167.7800,665697
2017-12-08,168.1900,169.9400,167.3900,169.8600,870257
2017-12-07,164.1700,168.2900,164.0000,167.6000,804044
2017-12-06,163.9300,166.4550,163.9287,164.7700,649475
2017-12-05,165.4900,166.3100,163.9000,164.3600,979000
2017-12-04,165.0600,166.9900,164.9300,165.5500,1020838
2017-12-01,163.3200,164.1300,157.7300,162.4700,1063456
2017-11-30,164.3100,166.1350,162.9800,163.2300,1538635
2017-11-29,162.9900,166.0400,162.9050,163.5600,951029
2017-11-28,159.9300,162.3700,159.3200,161.7500,1334408
2017-11-27,159.9700,161.2600,159.0300,159.2500,1131550
2017-11-24,160.4000,160.4000,159.0600,159.5600,181287
2017-11-22,159.9500,160.8900,158.9600,159.5800,438413
2017-11-21,161.2200,161.4500,158.9600,159.7600,529244
2017-11-20,158.3600,160.6900,157.8000,160.6500,792685
2017-11-17,156.5600,158.8400,156.5600,158.2800,639498
2017-11-16,158.5100,158.9200,156.7100,157.0800,800784
2017-11-15,155.8800,158.7500,155.2700,157.3900,767146
2017-11-14,156.1800,157.3300,155.0700,157.1100,686327
2017-11-13,156.0500,157.7700,155.5300,157.3200,580451
2017-11-10,158.9300,159.6500,157.0900,157.2200,579053
2017-11-09,158.9100,160.2500,157.5700,159.0500,662850
2017-11-08,158.9200,160.1000,158.3800,159.9900,511899
2017-11-07,160.7500,161.9800,158.7900,159.2300,675682
2017-11-06,159.2800,161.2700,159.2800,160.6500,595953
2017-11-03,159.5500,160.6900,159.1100,159.5900,755410
2017-11-02,157.6600,160.5800,157.6600,160.5600,1224590
2017-11-01,157.7200,158.6200,156.7300,157.3800,567413
2017-10-31,158.3600,158.8700,156.5400,156.5400,622194
2017-10-30,160.3700,160.7700,157.9500,158.3000,894927
2017-10-27,162.4000,162.5700,160.1800,160.6200,736639
2017-10-26,158.0700,163.0400,157.5400,162.8000,1507529
2017-10-25,156.1500,159.5700,154.2400,157.0600,1258138
2017-10-24,154.9800,155.2600,153.5000,153.9700,1421142
2017-10-23,154.2900,154.7500,153.9000,154.1800,745884
2017-10-20,153.7000,154.3100,153.0100,154.1200,793874
2017-10-19,151.4200,152.7100,150.4600,152.4500,585843
2017-10-18,152.5600,153.4600,152.4000,152.7400,504545
2017-10-17,153.5400,153.5400,152.1700,152.3500,584584
2017-10-16,153.5500,153.9900,153.0100,153.3900,577039
2017-10-13,152.5500,153.7500,152.0700,152.9100,736009
2017-10-12,152.0000,153.2800,151.7700,152.5800,733646
2017-10-11,151.3900,151.9700,150.4700,151.8300,512525
2017-10-10,150.9000,151.6400,150.6000,151.2500,852457
2017-10-09,151.1200,151.4000,150.1100,150.6300,660005
2017-10-06,150.6900,151.9800,149.5200,150.9900,551411
2017-10-05,150.0900,151.5100,149.6800,150.5500,1022217
2017-10-04,149.7500,151.0300,149.1100,149.8700,753904
2017-10-03,149.2200,150.2500,148.4400,149.4500,537219
2017-10-02,148.2800,149.4100,147.7900,148.6700,835761
2017-09-29,147.7500,149.1900,147.7500,148.5100,665087
2017-09-28,147.7700,148.4600,146.7200,147.7500,679384
2017-09-27,146.2400,148.5000,146.0100,147.9100,919976
2017-09-26,143.5300,144.7200,143.2100,144.3500,995507
2017-09-25,142.3300,143.4300,142.0900,143.1500,716472
2017-09-22,141.5600,143.6500,141.5600,142.9200,523775
2017-09-21,141.6400,142.6100,140.9700,142.1200,720203
2017-09-20,141.6400,142.5600,139.3500,141.4900,767559
2017-09-19,141.1400,141.8100,140.4200,141.2300,1764811
