year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,18.1400,18.1200,18.1200,18.1400,83451
2018,2,2,9,31,18.1400,18.1900,18.1300,18.1900,11694
2018,2,2,9,32,18.1900,18.1800,18.1500,18.2300,18900
2018,2,2,9,33,18.1800,18.1800,18.1600,18.2138,22330
2018,2,2,9,34,18.1795,18.1400,18.1200,18.1795,12890
2018,2,2,9,35,18.1300,18.1000,18.1000,18.1500,39240
2018,2,2,9,36,18.0901,18.0800,18.0700,18.1100,16875
2018,2,2,9,37,18.0800,18.0700,18.0500,18.1000,29391
2018,2,2,9,38,18.0800,18.0651,18.0600,18.0955,29189
2018,2,2,9,39,18.0699,18.0501,18.0400,18.0700,20353
2018,2,2,9,40,18.0500,18.0301,18.0301,18.0700,46540
2018,2,2,9,41,18.0300,17.9500,17.9400,18.0300,82398
2018,2,2,9,42,17.9500,17.9248,17.9100,17.9500,49226
2018,2,2,9,43,17.9248,17.9600,17.9150,17.9700,14974
2018,2,2,9,44,17.9500,17.9042,17.9001,17.9600,24750
2018,2,2,9,45,17.9100,17.9300,17.9050,17.9550,20566
2018,2,2,9,46,17.9200,17.8800,17.8650,17.9200,34353
2018,2,2,9,47,17.8858,17.9000,17.8800,17.9350,14611
2018,2,2,9,48,17.9000,17.8800,17.8600,17.9000,17287
2018,2,2,9,49,17.8750,17.8800,17.8750,17.9100,20592
2018,2,2,9,50,17.8900,17.9600,17.8900,17.9685,33188
2018,2,2,9,51,17.9600,17.9300,17.9300,17.9645,16315
2018,2,2,9,52,17.9200,17.9500,17.9200,17.9550,12751
2018,2,2,9,53,17.9400,17.9100,17.9000,17.9400,16101
2018,2,2,9,54,17.9100,17.8900,17.8850,17.9400,22700
2018,2,2,9,55,17.8900,17.8800,17.8300,17.8900,40879
2018,2,2,9,56,17.8750,17.9100,17.8750,17.9100,160521
2018,2,2,9,57,17.9100,17.9010,17.8800,17.9300,92523
2018,2,2,9,58,17.9080,17.9785,17.9050,17.9785,71639
2018,2,2,9,59,17.9700,17.9500,17.9400,17.9800,35715
2018,2,2,10,0,17.9400,17.9800,17.9200,17.9900,30041
2018,2,2,10,1,17.9700,17.9300,17.9200,17.9700,79837
2018,2,2,10,2,17.9300,17.9258,17.9000,17.9400,24504
2018,2,2,10,3,17.9300,17.9500,17.9200,17.9500,14881
2018,2,2,10,4,17.9600,17.9200,17.9200,17.9700,21224
2018,2,2,10,5,17.9200,17.9300,17.9150,17.9500,18416
2018,2,2,10,6,17.9200,17.8700,17.8550,17.9300,39717
2018,2,2,10,7,17.8700,17.8500,17.8500,17.8975,21475
2018,2,2,10,8,17.8500,17.8400,17.8300,17.8594,31086
2018,2,2,10,9,17.8500,17.8300,17.8200,17.8600,59821
2018,2,2,10,10,17.8300,17.8000,17.7700,17.8300,31187
2018,2,2,10,11,17.7964,17.8500,17.7950,17.8700,90588
2018,2,2,10,12,17.8500,17.8400,17.8300,17.8600,46629
2018,2,2,10,13,17.8400,17.8800,17.8400,17.8900,23156
2018,2,2,10,14,17.8700,17.8800,17.8500,17.9000,26708
2018,2,2,10,15,17.8750,17.8750,17.8600,17.8950,94117
2018,2,2,10,16,17.8700,17.8800,17.8500,17.8800,24399
2018,2,2,10,17,17.8838,17.8800,17.8700,17.8950,17056
2018,2,2,10,18,17.8700,17.8956,17.8500,17.9000,27906
2018,2,2,10,19,17.8980,17.9350,17.8800,17.9400,79029
2018,2,2,10,20,17.9392,17.9300,17.9300,17.9600,27527
2018,2,2,10,21,17.9300,17.9000,17.8700,17.9300,42756
2018,2,2,10,22,17.9000,17.9200,17.9000,17.9200,17357
2018,2,2,10,23,17.9200,17.9356,17.9200,17.9450,22930
2018,2,2,10,24,17.9342,17.9500,17.9000,17.9600,42096
2018,2,2,10,25,17.9500,17.9300,17.9300,17.9585,54837
2018,2,2,10,26,17.9300,17.9400,17.9200,17.9442,33141
2018,2,2,10,27,17.9500,17.9550,17.9200,17.9600,22805
2018,2,2,10,28,17.9699,17.9950,17.9550,17.9950,20522
2018,2,2,10,29,17.9950,17.9700,17.9600,18.0000,30310
2018,2,2,10,30,17.9700,17.9700,17.9600,17.9800,12156
2018,2,2,10,31,17.9700,17.9250,17.9250,17.9700,15240
2018,2,2,10,32,17.9300,17.9401,17.9250,17.9600,11497
2018,2,2,10,33,17.9400,17.9300,17.9138,17.9400,11287
2018,2,2,10,34,17.9400,17.9500,17.9300,17.9600,22713
2018,2,2,10,35,17.9500,17.9300,17.9100,17.9500,32707
