742148,nan,9,30
905958,0.3936534647514711,-0.6549999999999727,9,31
533830,0.3936534647514711,-0.43999999999999767,9,32
696611,0.3936534647514711,-0.42449999999999477,9,33
1020969,0.3936534647514711,-0.3344999999999971,9,34
683253,-0.8882825526754434,-0.06299999999999954,9,35
547509,0.6038800195266479,-0.0024000000000000913,9,36
499392,-0.07659831121832396,0.033299999999999844,9,37
451205,-0.3814251982805739,0.15649999999999978,9,38
369480,0.0213673532265651,0.019640000000003967,9,39
448495,-0.26114398422090024,0.28986999999999913,9,40
579130,-0.15499635302698483,0.29549999999999843,9,41
603466,-0.06690590596679864,0.22052999999999656,9,42
505252,-0.07304157282853768,0.2195600000000013,9,43
433868,0.10336860026755193,0.08600000000000137,9,44
353093,-0.17969725580971335,0.0660000000000025,9,45
393778,0.12471862261970706,0.02049999999999841,9,46
399132,-0.06087538808059555,0.012999999999996703,9,47
305550,-0.06396004020346492,0.04850000000000137,9,48
697481,-0.17390773736880438,0.07750000000000057,9,49
386860,-0.09167537511475242,0.1670200000000051,9,50
484882,-0.14673680347420476,0.1995100000000008,9,51
463873,-0.09796118288128121,0.20599999999999455,9,52
437549,0.22059843204669852,0.07776999999999533,9,53
382479,-0.13525417507800022,0.031869999999997844,9,54
295264,-0.01835535976505209,-0.003999999999996362,9,55
349723,-0.07041175570182709,0.026110000000005587,9,56
247111,0.0030612869650547196,0.08671999999999969,9,57
331744,0.042839657282737566,0.02499999999999716,9,58
380255,0.1436123078803344,-0.04650000000000035,9,59
340616,-0.00916758342500083,-0.08950000000000102,10,0
478207,-0.15302687151863867,-0.029999999999998295,10,1
660059,-0.14712192729725318,0.08050000000000068,10,2
331315,0.18661853336189116,0.08899999999999864,10,3
321576,-0.00917880308408688,0.03350000000000364,10,4
160282,-0.012239902080772223,-0.034999999999999434,10,5
305413,-0.03458968370336118,-0.039200000000002434,10,6
313587,0.20716924095780612,-0.04187000000000296,10,7
274612,-0.07495720224994228,-0.056260000000003176,10,8
164617,0.006113590511701965,-0.05564999999999714,10,9
252586,0.1952529135395651,-0.09803999999999463,10,10
194019,-0.17322039575420572,-0.017799999999994043,10,11
229003,0.08147062416026814,-0.03966000000000065,10,12
266520,0.14026956150514713,-0.06500000000000342,10,13
339207,-0.012198841110100783,-0.04834000000000174,10,14
291734,0.054864667154354674,-0.10767999999999917,10,15
237983,-0.03048966400389228,-0.05699999999999932,10,16
147490,-0.054911531421600615,0.00999999999999659,10,17
209047,-0.12553873221152861,0.06509999999999537,10,18
144387,-0.04553233101087915,0.11354999999999792,10,19
160143,0.02444091409018211,0.09400000000000262,10,20
178952,-0.06113964294448173,0.07145000000000153,10,21
202969,0.13950918410022486,-0.01279999999999859,10,22
161434,0.07717414513619435,-0.07184999999999775,10,23
162026,-0.015254133870282316,-0.08149999999999694,10,24
146541,-0.08549618320609854,-0.04814999999999828,10,25
166673,-0.0013435295008468922,0.024639999999996578,10,26
136741,-0.026144589352799077,0.056219999999993324,10,27
186084,-0.07029769545816314,0.06449999999999534,10,28
