year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,99.0900,99.0900,99.0900,99.0900,100
2018,2,2,9,31,98.9400,98.7800,98.7800,98.9400,10821
2018,2,2,9,32,99.0600,98.9700,98.7300,99.0600,700
2018,2,2,9,33,99.0000,98.8000,98.8000,99.0000,200
2018,2,2,9,34,99.0000,98.4800,98.4800,99.0200,6325
2018,2,2,9,36,98.6900,98.8700,98.6800,98.8700,2900
2018,2,2,9,37,98.7600,98.5700,98.5700,98.7600,1900
2018,2,2,9,38,98.6400,98.4201,98.4201,98.6400,1100
2018,2,2,9,39,98.5600,98.5100,98.5100,98.5600,200
2018,2,2,9,40,98.5000,98.5750,98.5000,98.5750,700
2018,2,2,9,41,98.5300,98.3200,98.3000,98.5550,2452
2018,2,2,9,42,98.4200,98.3900,98.3600,98.4800,4612
2018,2,2,9,43,98.4200,98.4500,98.4050,98.5050,8617
2018,2,2,9,44,98.4700,98.4000,98.3500,98.4700,1000
2018,2,2,9,45,98.3900,98.4300,98.2700,98.5000,6700
2018,2,2,9,46,98.4800,98.3800,98.3500,98.4800,3500
2018,2,2,9,47,98.2700,98.3900,98.2300,98.4800,7999
2018,2,2,9,48,98.3500,98.3950,98.3500,98.3950,200
2018,2,2,9,49,98.3500,98.1300,98.1300,98.3500,2241
2018,2,2,9,50,98.1200,98.0700,98.0500,98.1450,1400
2018,2,2,9,51,98.0450,97.9700,97.9000,98.1150,9055
2018,2,2,9,52,97.9800,98.1000,97.8500,98.1300,8440
2018,2,2,9,53,98.1000,98.1700,98.1000,98.1900,1200
2018,2,2,9,54,98.1800,98.1950,98.1700,98.2000,500
2018,2,2,9,55,98.2000,98.1100,98.1100,98.2200,1700
2018,2,2,9,56,98.0700,98.0700,98.0700,98.0700,100
2018,2,2,9,57,98.0600,98.0200,98.0200,98.0600,300
2018,2,2,9,58,97.9600,97.8500,97.8500,97.9600,3100
2018,2,2,9,59,97.9100,97.8100,97.7800,97.9100,900
2018,2,2,10,0,97.7100,97.9000,97.7100,97.9300,1800
2018,2,2,10,1,97.9900,97.9700,97.9000,98.0500,1100
2018,2,2,10,2,98.0500,98.0500,97.8800,98.0500,8100
2018,2,2,10,3,98.0300,98.0260,98.0050,98.0800,1633
2018,2,2,10,4,97.9900,97.8709,97.8696,97.9900,4368
2018,2,2,10,5,97.8474,97.9100,97.8474,97.9100,1080
2018,2,2,10,6,97.8700,97.7600,97.7300,97.9200,4075
2018,2,2,10,7,97.8500,97.8950,97.8400,97.9200,7610
2018,2,2,10,8,97.9600,98.0000,97.9550,98.0100,3400
2018,2,2,10,9,98.0050,98.0050,98.0050,98.0050,100
2018,2,2,10,10,98.0300,98.0050,97.9800,98.0300,1400
2018,2,2,10,11,97.9700,97.9200,97.9100,97.9700,1600
2018,2,2,10,12,97.9150,98.0400,97.9150,98.0400,1100
2018,2,2,10,13,98.0900,98.2700,98.0900,98.2700,3661
2018,2,2,10,14,98.3000,98.3200,98.2550,98.3200,2900
2018,2,2,10,15,98.3950,98.3950,98.3950,98.3950,100
2018,2,2,10,16,98.4400,98.4400,98.4400,98.4400,200
2018,2,2,10,17,98.3900,98.4400,98.3800,98.4450,527
2018,2,2,10,18,98.4400,98.3750,98.3750,98.4400,400
2018,2,2,10,19,98.3500,98.3000,98.3000,98.3900,3760
2018,2,2,10,20,98.3100,98.3700,98.3100,98.3800,800
2018,2,2,10,21,98.3600,98.3100,98.3100,98.3600,1268
2018,2,2,10,22,98.2700,98.4300,98.2700,98.4300,1199
2018,2,2,10,25,98.3700,98.3300,98.2900,98.4000,3345
2018,2,2,10,26,98.3600,98.3478,98.3200,98.3650,1400
2018,2,2,10,27,98.3300,98.5325,98.3300,98.5400,5588
2018,2,2,10,28,98.5100,98.5200,98.4800,98.5200,1600
2018,2,2,10,29,98.5000,98.6500,98.5000,98.6500,1831
2018,2,2,10,30,98.6300,98.5300,98.5300,98.6300,3676
2018,2,2,10,31,98.6200,98.5400,98.5400,98.6500,2243
2018,2,2,10,32,98.5400,98.6050,98.5400,98.6200,5049
2018,2,2,10,33,98.5800,98.4500,98.4500,98.6400,1200
2018,2,2,10,34,98.5000,98.5000,98.5000,98.5000,300
2018,2,2,10,35,98.5300,98.5850,98.5200,98.5900,900
2018,2,2,10,36,98.5650,98.4700,98.4100,98.5650,4198
2018,2,2,10,37,98.5150,98.5150,98.5150,98.5150,500
2018,2,2,10,38,98.5200,98.5200,98.4600,98.5700,5564
2018,2,2,10,39,98.4900,98.3900,98.3900,98.4900,1200
