year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,197.3300,197.5000,197.2500,198.2000,33284
2018,2,2,9,31,197.5000,197.7900,197.1600,197.9000,14315
2018,2,2,9,32,197.8800,197.6950,197.6950,198.4600,6202
2018,2,2,9,33,197.7000,197.7900,197.2700,197.7900,10289
2018,2,2,9,34,197.7400,198.3900,197.6300,198.3900,3969
2018,2,2,9,35,198.1775,198.9600,198.1603,198.9600,5739
2018,2,2,9,36,198.7101,198.9000,198.7101,199.3600,15106
2018,2,2,9,37,199.0400,198.7700,198.3100,199.0400,3700
2018,2,2,9,38,198.7250,198.6416,198.5200,198.9225,2875
2018,2,2,9,39,198.6550,198.5000,198.3500,198.6828,5811
2018,2,2,9,40,198.6200,198.0800,198.0800,198.6200,5371
2018,2,2,9,41,197.9700,198.0400,197.8700,198.4799,9831
2018,2,2,9,42,198.2800,198.1700,198.0200,198.4300,2644
2018,2,2,9,43,198.1600,198.4200,198.1600,198.4350,2739
2018,2,2,9,44,198.4500,198.6300,198.3284,198.6400,2320
2018,2,2,9,45,198.6450,198.8700,198.5100,199.2200,10201
2018,2,2,9,46,198.9600,199.1283,198.8600,199.3500,1812
2018,2,2,9,47,199.1280,199.0092,199.0092,199.1980,1140
2018,2,2,9,48,199.1000,199.0200,199.0100,199.2650,3725
2018,2,2,9,49,199.2000,199.1800,199.1500,199.2700,2600
2018,2,2,9,50,199.2300,198.8000,198.8000,199.4000,9596
2018,2,2,9,51,198.7600,198.5175,198.4100,198.8608,4851
2018,2,2,9,52,198.4800,198.4903,198.1400,198.6700,7649
2018,2,2,9,53,198.3648,198.0200,197.9100,198.3648,14968
2018,2,2,9,54,198.0000,197.7400,197.6350,198.0000,2385
2018,2,2,9,55,197.5600,197.7600,197.4100,197.7600,18201
2018,2,2,9,56,197.7350,197.9700,197.6700,198.0200,6330
2018,2,2,9,57,197.9700,198.1000,197.9200,198.1300,4260
2018,2,2,9,58,198.0700,198.4600,198.0700,198.4600,2800
2018,2,2,9,59,198.3600,198.2700,198.2600,198.3900,5726
2018,2,2,10,0,198.2550,198.0801,198.0200,198.2800,5304
2018,2,2,10,1,198.2193,197.7550,197.7400,198.2450,7171
2018,2,2,10,2,197.7900,197.3400,197.1900,197.8200,6686
2018,2,2,10,3,197.3950,197.4100,197.2892,197.6600,9814
2018,2,2,10,4,197.7500,197.2000,197.1500,197.7500,7447
2018,2,2,10,5,197.3400,197.0200,197.0000,197.3400,9517
2018,2,2,10,6,196.9200,196.5700,196.4100,196.9200,9353
2018,2,2,10,7,196.7300,196.9400,196.7300,196.9400,10879
2018,2,2,10,8,196.9500,197.1780,196.9200,197.2900,5700
2018,2,2,10,9,197.2100,196.9800,196.9100,197.3000,4861
2018,2,2,10,10,196.9571,196.9100,196.8120,197.0100,7463
2018,2,2,10,11,196.8200,196.8850,196.7400,196.9600,5633
2018,2,2,10,12,196.8538,197.1700,196.8538,197.2500,3650
2018,2,2,10,13,197.2400,197.3211,197.2000,197.4400,6415
2018,2,2,10,14,197.1900,197.2657,196.9900,197.2657,3335
2018,2,2,10,15,197.3300,197.3600,197.2550,197.6450,5242
2018,2,2,10,16,197.5000,197.8050,197.4500,197.8050,2500
2018,2,2,10,17,197.7500,197.5300,197.4600,197.7500,2250
2018,2,2,10,18,197.5300,197.3400,197.3400,197.6700,2443
2018,2,2,10,19,197.3800,197.3400,197.2400,197.6300,5211
2018,2,2,10,20,197.4400,197.2500,197.1600,197.5500,5900
2018,2,2,10,21,197.3100,197.2000,197.0600,197.3100,2012
2018,2,2,10,22,197.2624,197.6600,197.1600,197.6600,4704
2018,2,2,10,23,197.4800,197.4600,197.4400,197.7100,5617
2018,2,2,10,24,197.5200,197.4202,197.2200,197.5200,3006
2018,2,2,10,25,197.5100,197.3750,197.3500,197.6650,3850
2018,2,2,10,26,197.3700,197.4400,197.3401,197.5900,5600
2018,2,2,10,27,197.4100,197.4400,197.2400,197.4400,3179
2018,2,2,10,28,197.4300,197.4050,197.3550,197.5000,7406
2018,2,2,10,29,197.3700,197.4700,197.3000,197.4700,1740
2018,2,2,10,30,197.3500,197.2100,197.1700,197.3500,2350
2018,2,2,10,31,197.2400,197.1657,197.1000,197.2500,2803
