year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,93.2100,93.2100,93.2100,93.2100,4382
2018,2,2,9,31,93.2000,93.1900,93.1900,93.2000,200
2018,2,2,9,34,93.2650,93.3700,93.2650,93.3700,200
2018,2,2,9,42,93.2504,93.2504,93.2504,93.2504,107
2018,2,2,9,43,93.2950,93.2950,93.2950,93.2950,100
2018,2,2,9,45,93.3500,93.3700,93.3500,93.3700,200
2018,2,2,9,46,93.2400,93.2200,93.1900,93.2400,600
2018,2,2,9,47,93.1100,93.1100,93.1100,93.1100,100
2018,2,2,9,48,93.1700,93.1700,93.1700,93.1700,100
2018,2,2,9,50,93.1900,93.1600,93.1600,93.1900,300
2018,2,2,9,51,93.1700,93.1800,93.1700,93.1800,200
2018,2,2,9,52,93.2102,93.3000,93.2102,93.3000,580
2018,2,2,9,56,93.2250,93.2250,93.2250,93.2250,100
2018,2,2,9,58,93.3400,93.3400,93.3400,93.3400,299
2018,2,2,10,1,93.3200,93.2400,93.2200,93.3200,1014
2018,2,2,10,2,93.1700,93.1700,93.1700,93.1700,100
2018,2,2,10,5,93.1800,93.2500,93.1800,93.2500,500
2018,2,2,10,6,93.2800,93.2750,93.2750,93.2800,400
2018,2,2,10,7,93.3300,93.3300,93.3300,93.3300,200
2018,2,2,10,9,93.2200,93.1100,93.1100,93.2300,700
2018,2,2,10,10,93.1750,93.1400,93.1350,93.1750,1200
2018,2,2,10,11,93.1700,93.1200,93.1200,93.1700,200
2018,2,2,10,12,93.1500,93.1500,93.1500,93.1500,100
2018,2,2,10,13,93.1600,93.1500,93.1500,93.1600,400
2018,2,2,10,14,93.1800,93.1800,93.1800,93.1800,100
2018,2,2,10,15,93.1000,93.0500,93.0500,93.1000,200
2018,2,2,10,16,92.9900,92.9900,92.9900,92.9900,100
2018,2,2,10,17,93.0400,93.0400,93.0400,93.0400,100
2018,2,2,10,22,92.8500,92.7800,92.7800,92.8500,700
2018,2,2,10,23,92.8000,92.8000,92.8000,92.8000,100
2018,2,2,10,24,92.7800,92.7400,92.7400,92.7800,400
2018,2,2,10,25,92.7000,92.7000,92.7000,92.7000,100
2018,2,2,10,26,92.7100,92.7100,92.7100,92.8300,674
2018,2,2,10,30,92.8000,92.7650,92.7650,92.8000,300
2018,2,2,10,33,92.7000,92.6800,92.6800,92.7000,400
2018,2,2,10,35,92.7100,92.7900,92.7100,92.7900,600
2018,2,2,10,36,92.7150,92.7100,92.7100,92.7550,801
2018,2,2,10,38,92.7400,92.9000,92.7400,92.9000,2100
2018,2,2,10,39,92.9100,92.9100,92.9100,92.9100,100
2018,2,2,10,40,92.8800,92.8800,92.8800,92.8800,100
2018,2,2,10,45,92.8600,92.8600,92.8600,92.8600,100
2018,2,2,10,46,92.7950,92.8400,92.7500,92.8600,900
2018,2,2,10,50,92.8500,92.9350,92.8400,92.9350,1452
2018,2,2,10,51,92.8600,92.8700,92.7947,92.8700,750
2018,2,2,10,53,92.8800,92.8750,92.8750,92.9100,560
2018,2,2,10,54,92.9500,93.0600,92.9500,93.0600,400
2018,2,2,10,55,93.0900,93.0900,93.0900,93.0900,200
2018,2,2,10,56,93.0700,93.0700,93.0700,93.0700,100
2018,2,2,10,57,93.0200,93.0200,93.0200,93.0200,100
2018,2,2,10,58,93.0100,93.0800,92.9900,93.0800,900
2018,2,2,10,59,92.9900,92.9900,92.9900,92.9900,100
2018,2,2,11,0,92.9900,93.0100,92.9900,93.0100,400
2018,2,2,11,1,92.9600,92.9500,92.9500,92.9600,300
2018,2,2,11,4,93.0300,93.1300,93.0300,93.1300,700
2018,2,2,11,5,93.0700,93.0700,93.0700,93.0700,100
2018,2,2,11,7,93.0700,93.0700,93.0700,93.0700,100
2018,2,2,11,11,93.0200,92.9900,92.9900,93.0750,1200
2018,2,2,11,12,93.0200,93.0050,92.9700,93.0200,300
2018,2,2,11,13,92.9700,92.9700,92.9700,92.9700,200
2018,2,2,11,15,92.9500,92.9500,92.9500,92.9500,100
2018,2,2,11,16,92.9400,92.9700,92.9400,92.9700,300
2018,2,2,11,17,93.0000,93.0400,92.9800,93.0400,1090
2018,2,2,11,18,93.0400,93.0300,93.0300,93.0500,519
2018,2,2,11,19,93.0400,93.0500,93.0400,93.0500,1563
2018,2,2,11,20,93.0150,92.9850,92.9600,93.0150,700
2018,2,2,11,21,93.0200,93.0300,93.0200,93.0300,200
2018,2,2,11,22,93.0300,93.1600,93.0300,93.1600,900
