year,month,day,hour,minute,open,close,low,high,volume
2018,2,7,9,30,11.7,11.7,11.7,11.72,577929
2018,2,7,9,31,11.71,11.8325,11.69,11.9,795759
2018,2,7,9,32,11.835,11.76,11.74,11.87,691468
2018,2,7,9,33,11.76,11.69,11.69,11.82,451676
2018,2,7,9,34,11.7,11.7,11.68,11.76,475352
2018,2,7,9,35,11.7,11.69,11.64,11.7,358281
2018,2,7,9,36,11.69,11.59,11.59,11.69,523411
2018,2,7,9,37,11.58,11.635,11.57,11.65,340225
2018,2,7,9,38,11.65,11.669,11.62,11.67,343029
2018,2,7,9,39,11.67,11.69,11.65,11.69,270311
2018,2,7,9,40,11.685,11.67,11.67,11.75,598294
2018,2,7,9,41,11.68,11.67,11.6,11.68,408129
2018,2,7,9,42,11.665,11.66,11.64,11.6945,221973
2018,2,7,9,43,11.66,11.625,11.62,11.69,426533
2018,2,7,9,44,11.63,11.62,11.6,11.64,337039
2018,2,7,9,45,11.63,11.67,11.61,11.67,323250
2018,2,7,9,46,11.665,11.669,11.655,11.72,508054
2018,2,7,9,47,11.669,11.61,11.6,11.67,232802
2018,2,7,9,48,11.61,11.569,11.56,11.615,453667
2018,2,7,9,49,11.565,11.5536,11.5536,11.59,254319
2018,2,7,9,50,11.56,11.57,11.53,11.6,268773
2018,2,7,9,51,11.57,11.59,11.57,11.6,127199
2018,2,7,9,52,11.59,11.635,11.58,11.65,247872
2018,2,7,9,53,11.639,11.605,11.58,11.64,235827
2018,2,7,9,54,11.605,11.64,11.58,11.64,267291
2018,2,7,9,55,11.6488,11.605,11.5948,11.655,225978
2018,2,7,9,56,11.605,11.635,11.58,11.6399,204197
2018,2,7,9,57,11.6365,11.63,11.611,11.655,194598
2018,2,7,9,58,11.63,11.67,11.62,11.67,146610
2018,2,7,9,59,11.665,11.65,11.65,11.7,260255
2018,2,7,10,0,11.65,11.6262,11.62,11.655,177801
2018,2,7,10,1,11.625,11.605,11.6,11.63,177818
2018,2,7,10,2,11.605,11.62,11.605,11.62,86399
2018,2,7,10,3,11.615,11.595,11.585,11.619,184721
2018,2,7,10,4,11.595,11.625,11.58,11.64,127796
2018,2,7,10,5,11.625,11.6252,11.6,11.63,74645
2018,2,7,10,6,11.6258,11.63,11.61,11.66,281705
2018,2,7,10,7,11.635,11.645,11.6125,11.65,116573
2018,2,7,10,8,11.645,11.67,11.63,11.68,301735
2018,2,7,10,9,11.66,11.68,11.65,11.71,343614
2018,2,7,10,10,11.6888,11.715,11.67,11.73,352018
2018,2,7,10,11,11.7101,11.695,11.6901,11.74,546711
2018,2,7,10,12,11.6999,11.73,11.69,11.74,139937
2018,2,7,10,13,11.73,11.73,11.72,11.73,84627
2018,2,7,10,14,11.73,11.75,11.7213,11.76,322946
2018,2,7,10,15,11.749,11.72,11.72,11.749,174834
2018,2,7,10,16,11.7262,11.7248,11.72,11.756,205831
2018,2,7,10,17,11.725,11.74,11.72,11.76,192737
2018,2,7,10,18,11.74,11.73,11.715,11.74,200484
2018,2,7,10,19,11.72,11.73,11.72,11.74,112205
2018,2,7,10,20,11.73,11.72,11.71,11.74,131590
2018,2,7,10,21,11.72,11.72,11.71,11.73,113670
2018,2,7,10,22,11.72,11.72,11.71,11.73,90836
2018,2,7,10,23,11.7245,11.71,11.7,11.73,142876
2018,2,7,10,24,11.7,11.675,11.67,11.71,262524
2018,2,7,10,25,11.68,11.69,11.67,11.695,143586
2018,2,7,10,26,11.69,11.685,11.67,11.7,107220
2018,2,7,10,27,11.685,11.685,11.685,11.705,95827
2018,2,7,10,28,11.685,11.7,11.67,11.7,90314
2018,2,7,10,29,11.7,11.69,11.68,11.7,62645
2018,2,7,10,30,11.685,11.685,11.68,11.695,54010
2018,2,7,10,31,11.6894,11.69,11.681,11.69,47137
2018,2,7,10,32,11.69,11.66,11.65,11.71,212538
2018,2,7,10,33,11.6507,11.66,11.65,11.67,73113
2018,2,7,10,34,11.66,11.6401,11.64,11.67,83169
2018,2,7,10,35,11.645,11.635,11.62,11.65,245055
2018,2,7,10,36,11.64,11.64,11.63,11.65,86957
2018,2,7,10,37,11.64,11.6699,11.64,11.67,50561
2018,2,7,10,38,11.67,11.6692,11.64,11.67,93350
2018,2,7,10,39,11.665,11.67,11.65,11.67,93691
2018,2,7,10,40,11.67,11.69,11.665,11.7,123196
2018,2,7,10,41,11.685,11.68,11.68,11.7,59556
2018,2,7,10,42,11.6857,11.685,11.6799,11.69,85607
2018,2,7,10,43,11.689,11.685,11.68,11.69,104025
2018,2,7,10,44,11.685,11.6536,11.65,11.69,130412
2018,2,7,10,45,11.66,11.64,11.64,11.66,91961
2018,2,7,10,46,11.6462,11.645,11.635,11.65,106776
2018,2,7,10,47,11.645,11.635,11.63,11.65,100277
2018,2,7,10,48,11.63,11.695,11.63,11.7,184430
2018,2,7,10,49,11.695,11.72,11.695,11.73,234910
2018,2,7,10,50,11.7259,11.72,11.71,11.73,93075
2018,2,7,10,51,11.72,11.7199,11.71,11.74,130998
2018,2,7,10,52,11.72,11.725,11.71,11.73,109002
2018,2,7,10,53,11.7267,11.75,11.725,11.76,329469
2018,2,7,10,54,11.75,11.76,11.75,11.79,355215
2018,2,7,10,55,11.755,11.745,11.741,11.77,151479
2018,2,7,10,56,11.75,11.75,11.74,11.77,131081
2018,2,7,10,57,11.75,11.74,11.73,11.77,117648
2018,2,7,10,58,11.74,11.725,11.71,11.74,104762
2018,2,7,10,59,11.73,11.735,11.73,11.75,75427
2018,2,7,11,0,11.74,11.735,11.73,11.75,64190
2018,2,7,11,1,11.735,11.735,11.73,11.75,186153
2018,2,7,11,2,11.735,11.72,11.71,11.74,128430
2018,2,7,11,3,11.7241,11.739,11.71,11.74,121101
2018,2,7,11,4,11.73,11.725,11.72,11.74,74118
2018,2,7,11,5,11.725,11.7393,11.72,11.7393,79751
2018,2,7,11,6,11.73,11.765,11.73,11.77,103885
2018,2,7,11,7,11.7638,11.765,11.76,11.78,133036
2018,2,7,11,8,11.764,11.77,11.76,11.77,185542
2018,2,7,11,9,11.775,11.785,11.77,11.79,115295
2018,2,7,11,10,11.7812,11.7875,11.7812,11.8,148281
2018,2,7,11,11,11.785,11.77,11.76,11.79,190670
2018,2,7,11,12,11.771,11.79,11.77,11.79,145861
2018,2,7,11,13,11.79,11.8,11.78,11.8,111151
2018,2,7,11,14,11.799,11.819,11.794,11.82,158258
2018,2,7,11,15,11.82,11.835,11.81,11.84,162479
2018,2,7,11,16,11.831,11.84,11.83,11.84,128770
2018,2,7,11,17,11.835,11.83,11.82,11.84,159768
2018,2,7,11,18,11.825,11.815,11.795,11.83,202483
