year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,169.9900,169.9900,169.9900,169.9900,440
2018,2,2,9,31,170.0000,169.9800,169.6850,170.0000,7495
2018,2,2,9,32,169.9900,170.6550,169.9600,170.7500,4100
2018,2,2,9,33,170.6000,170.9100,170.4300,170.9100,6600
2018,2,2,9,34,170.9100,170.7100,170.7100,171.0500,1550
2018,2,2,9,35,170.7200,171.0300,170.7200,171.0300,600
2018,2,2,9,36,171.0300,170.0000,170.0000,171.0300,4629
2018,2,2,9,37,170.2600,170.5000,170.0500,170.5000,1691
2018,2,2,9,38,170.3400,170.2550,170.2500,170.4300,700
2018,2,2,9,39,170.1900,170.1900,170.1900,170.1900,100
2018,2,2,9,40,169.9400,169.9600,169.9400,170.1550,300
2018,2,2,9,41,170.1150,170.2600,170.1150,170.2600,324
2018,2,2,9,42,170.2600,170.5700,170.2400,170.6400,2458
2018,2,2,9,43,170.5400,170.7000,170.4700,170.7700,2800
2018,2,2,9,44,170.6900,170.5500,170.3800,170.6900,2330
2018,2,2,9,45,170.6200,170.6000,170.5800,170.7500,2500
2018,2,2,9,46,170.3600,170.2650,170.2650,170.3600,500
2018,2,2,9,47,170.4000,170.1800,170.1800,170.4300,4138
2018,2,2,9,48,170.0700,170.3400,170.0700,170.3400,3700
2018,2,2,9,49,170.2550,170.2000,170.1400,170.3600,3900
2018,2,2,9,50,170.0700,169.9450,169.9450,170.0800,500
2018,2,2,9,51,170.0700,170.0900,170.0150,170.0900,1600
2018,2,2,9,52,170.1300,170.3800,170.1300,170.3800,2700
2018,2,2,9,53,170.4300,170.2000,170.2000,170.4300,1400
2018,2,2,9,54,170.2800,170.2800,170.2700,170.2800,300
2018,2,2,9,55,170.2700,170.2800,170.1200,170.3000,1800
2018,2,2,9,56,170.2150,170.2600,170.2150,170.3200,300
2018,2,2,9,57,170.3500,170.3500,170.2700,170.3500,700
2018,2,2,9,58,170.3300,170.5600,170.3300,170.5600,2600
2018,2,2,9,59,170.5250,170.2550,170.2550,170.5250,1000
2018,2,2,10,1,170.1500,169.8800,169.8500,170.1500,2284
2018,2,2,10,2,170.0000,170.1600,169.9900,170.2450,1900
2018,2,2,10,3,170.1400,169.9800,169.9800,170.1400,1900
2018,2,2,10,4,170.0100,169.8400,169.8400,170.0100,900
2018,2,2,10,5,169.8108,169.8600,169.7300,169.9300,2100
2018,2,2,10,6,169.7750,170.1700,169.7750,170.1800,8300
2018,2,2,10,7,170.1700,170.6600,170.1700,170.6600,4048
2018,2,2,10,8,170.7700,170.7500,170.7500,170.7800,800
2018,2,2,10,9,170.6800,170.4400,170.4400,170.8300,1855
2018,2,2,10,10,170.4100,170.5300,170.1700,170.5300,8800
2018,2,2,10,11,170.5600,170.6150,170.4900,170.7000,3692
2018,2,2,10,12,170.7500,170.8100,170.7500,170.8100,400
2018,2,2,10,13,170.6900,170.4100,170.4100,170.7175,3800
2018,2,2,10,14,170.3600,170.5000,170.3200,170.5000,1700
2018,2,2,10,15,170.3500,170.1626,170.1626,170.3700,1033
2018,2,2,10,16,170.3290,170.3600,170.3290,170.3700,3100
2018,2,2,10,17,170.3600,170.3500,170.2850,170.3600,500
2018,2,2,10,18,170.3000,170.2700,170.1400,170.3000,2480
2018,2,2,10,19,170.1600,169.9200,169.9200,170.1700,3236
2018,2,2,10,20,169.8150,169.8500,169.8150,169.8500,200
2018,2,2,10,21,169.8350,169.8400,169.7000,169.8400,2000
2018,2,2,10,22,169.6000,169.7350,169.6000,169.7350,700
2018,2,2,10,23,169.6500,170.1000,169.6500,170.1000,2020
2018,2,2,10,24,170.0100,169.8650,169.8650,170.0350,4200
2018,2,2,10,25,169.8100,169.9400,169.8100,169.9400,1100
2018,2,2,10,26,169.8750,170.2800,169.7900,170.2800,3600
2018,2,2,10,27,170.2000,170.0700,170.0600,170.2100,2700
2018,2,2,10,28,170.0600,170.0800,170.0500,170.0900,1100
2018,2,2,10,29,170.0200,170.1000,170.0000,170.1000,2500
2018,2,2,10,30,170.0600,170.1200,170.0000,170.1200,5543
2018,2,2,10,31,170.0700,169.9400,169.9400,170.0700,1100
2018,2,2,10,32,169.9100,169.7500,169.7500,169.9100,1450
2018,2,2,10,33,169.7400,169.7200,169.6800,169.8000,3835
2018,2,2,10,34,169.7100,169.7900,169.6500,169.7900,3888
2018,2,2,10,35,169.7900,170.2700,169.7900,170.2700,3264
2018,2,2,10,36,170.1900,169.9100,169.9100,170.2450,3300
2018,2,2,10,37,170.0200,170.1500,170.0200,170.1500,800
2018,2,2,10,38,170.0700,170.2400,170.0700,170.3000,1664
2018,2,2,10,39,170.1400,170.0800,170.0600,170.2100,2512
2018,2,2,10,40,170.1100,170.0950,169.9900,170.1100,1300
2018,2,2,10,41,170.0900,170.2100,170.0400,170.2100,800
2018,2,2,10,42,170.1800,170.1450,170.1400,170.1800,1400
2018,2,2,10,43,170.1450,170.2200,170.1300,170.2200,300
2018,2,2,10,44,170.0800,170.1148,170.0800,170.1350,1225
2018,2,2,10,45,170.0400,169.9400,169.9400,170.1200,1041
2018,2,2,10,46,169.9300,170.1300,169.8000,170.1300,4850
2018,2,2,10,47,170.1100,170.0350,170.0000,170.1100,2886
2018,2,2,10,48,170.1000,170.1700,170.1000,170.1800,600
2018,2,2,10,49,170.2200,170.3200,170.2200,170.3200,600
2018,2,2,10,50,170.3700,170.3500,170.2300,170.4200,3400
2018,2,2,10,51,170.3890,170.3700,170.3600,170.4400,2103
2018,2,2,10,52,170.3600,170.4300,170.1500,170.4412,2640
2018,2,2,10,53,170.4300,170.4500,170.4300,170.4500,200
2018,2,2,10,55,170.5400,170.4950,170.3900,170.5400,2222
2018,2,2,10,56,170.4950,170.4300,170.4300,170.4950,200
2018,2,2,10,58,170.4200,170.2600,170.2600,170.4200,2000
2018,2,2,10,59,170.2850,170.2850,170.2100,170.3600,8700
2018,2,2,11,0,170.2700,170.3050,170.1000,170.3200,4540
2018,2,2,11,1,170.3100,170.2300,170.2200,170.3100,3509
2018,2,2,11,2,170.3100,170.4200,170.2600,170.4200,734
2018,2,2,11,3,170.3650,170.3550,170.3400,170.4300,2177
2018,2,2,11,4,170.3500,170.3400,170.3300,170.4400,2700
2018,2,2,11,5,170.3000,170.2100,170.2100,170.3500,2293
2018,2,2,11,6,170.0400,169.9400,169.9400,170.0400,200
2018,2,2,11,7,170.1200,170.1800,169.9800,170.2200,1565
2018,2,2,11,8,170.2500,170.3200,170.1950,170.3200,500
2018,2,2,11,9,170.2500,170.3300,170.2500,170.3300,300
2018,2,2,11,10,170.3300,170.3300,170.3300,170.3300,100
2018,2,2,11,11,170.3500,170.2500,170.2500,170.3500,2301
2018,2,2,11,12,170.1750,170.1000,170.0100,170.1750,1800
2018,2,2,11,13,170.1200,170.2250,170.1200,170.2250,1000
2018,2,2,11,14,170.1600,170.1600,170.1600,170.1600,100
2018,2,2,11,15,170.2350,170.2700,170.2000,170.3400,2180
2018,2,2,11,16,170.2800,170.2700,170.2000,170.2899,828
2018,2,2,11,17,170.2150,170.1400,170.1400,170.2150,800
2018,2,2,11,18,170.1300,170.0300,169.9650,170.1300,1700
2018,2,2,11,19,170.0200,170.0500,170.0100,170.0650,1400
2018,2,2,11,20,169.9600,169.9600,169.8700,170.0350,1500
2018,2,2,11,21,169.9500,169.9700,169.9500,170.0200,1125
2018,2,2,11,22,170.0400,170.1800,170.0400,170.2000,1000
2018,2,2,11,23,170.2000,170.2800,170.1900,170.2800,600
2018,2,2,11,24,170.2200,170.2150,170.2050,170.2550,800
2018,2,2,11,25,170.2200,170.1750,170.1200,170.2200,4092
2018,2,2,11,26,170.1750,170.1700,170.1200,170.1800,1310
2018,2,2,11,27,170.1600,170.1700,170.1200,170.1700,1300
2018,2,2,11,28,170.1300,169.9800,169.9700,170.1350,1100
2018,2,2,11,29,170.0604,170.0200,170.0200,170.0604,200
2018,2,2,11,30,170.0400,170.0900,169.9900,170.0900,532
2018,2,2,11,31,170.0300,170.0300,170.0300,170.0300,100
2018,2,2,11,32,169.9700,169.9700,169.9700,169.9700,100
2018,2,2,11,33,169.9250,169.9250,169.9250,169.9250,1230
2018,2,2,11,34,169.8750,169.8572,169.8572,169.8750,300
2018,2,2,11,35,169.8100,169.8100,169.8000,169.8900,2119
2018,2,2,11,36,169.8250,169.7700,169.7700,169.8250,1100
2018,2,2,11,37,169.7550,169.6900,169.6900,169.7550,300
2018,2,2,11,38,169.7640,169.9000,169.7640,169.9000,1059
2018,2,2,11,40,169.9200,169.9700,169.9050,170.1400,4499
2018,2,2,11,44,170.0400,169.7400,169.7400,170.0400,3100
2018,2,2,11,45,169.8700,169.8600,169.8300,169.9000,1400
2018,2,2,11,46,169.8200,169.6800,169.6800,169.8200,2752
2018,2,2,11,47,169.7250,169.8299,169.7250,169.8300,900
2018,2,2,11,48,169.8300,169.8200,169.7600,169.8300,1100
2018,2,2,11,49,169.7750,169.9000,169.7750,169.9000,800
2018,2,2,11,50,169.8100,169.7750,169.7400,169.8800,3300
2018,2,2,11,51,169.8699,169.7401,169.7401,169.8700,920
2018,2,2,11,52,169.7975,169.8600,169.7975,169.8700,1100
2018,2,2,11,53,169.9000,169.9101,169.9000,170.1500,4321
2018,2,2,11,54,170.0500,170.0550,170.0500,170.0900,1196
2018,2,2,11,55,170.0600,170.1200,170.0600,170.1200,1000
2018,2,2,11,56,170.1500,169.9300,169.9300,170.1500,17800
2018,2,2,11,57,170.0000,169.8800,169.8500,170.0000,2300
2018,2,2,11,58,169.8450,169.8000,169.8000,169.8900,16700
2018,2,2,11,59,169.8200,169.6900,169.6800,169.8300,2400
2018,2,2,12,0,169.6800,169.5600,169.5000,169.6900,6100
2018,2,2,12,1,169.3750,169.4500,169.3300,169.4900,3644
2018,2,2,12,2,169.4500,169.6700,169.4500,169.6700,3546
2018,2,2,12,3,169.6400,169.5900,169.5900,169.6950,2100
2018,2,2,12,4,169.6500,169.6800,169.6100,169.6800,1311
2018,2,2,12,5,169.6000,169.6500,169.5200,169.6500,2481
2018,2,2,12,6,169.6500,169.7300,169.6500,169.7300,1900
2018,2,2,12,7,169.6700,169.6650,169.6650,169.6700,200
2018,2,2,12,8,169.7200,169.8200,169.7200,169.8200,800
2018,2,2,12,9,169.7300,169.7400,169.6650,169.7500,2799
2018,2,2,12,10,169.7600,169.7200,169.6400,169.7600,2700
