year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,166.4000,165.8502,165.5600,166.4000,22013
2018,2,2,9,32,165.9400,165.5800,165.5800,165.9400,300
2018,2,2,9,34,165.8700,165.6000,165.5800,165.9100,2110
2018,2,2,9,35,165.4400,165.1401,165.1401,165.5000,543
2018,2,2,9,36,165.2600,165.2000,165.0300,165.2600,1057
2018,2,2,9,37,165.2000,165.2800,165.2000,165.2800,800
2018,2,2,9,38,165.4100,165.4100,165.4100,165.4100,600
2018,2,2,9,42,165.3300,165.3300,165.3300,165.3300,200
2018,2,2,9,43,165.3100,165.5200,165.3100,165.5200,200
2018,2,2,9,46,165.4850,165.2000,165.2000,165.4900,2209
2018,2,2,9,47,165.1400,164.7910,164.7910,165.1400,2224
2018,2,2,9,48,164.8000,164.5800,164.5700,164.8000,600
2018,2,2,9,49,164.7200,164.7500,164.5920,164.8300,2300
2018,2,2,9,50,164.9400,165.0000,164.7350,165.0100,600
2018,2,2,9,51,165.0100,165.0300,164.8501,165.0400,1313
2018,2,2,9,52,165.0800,165.0300,165.0100,165.1100,400
2018,2,2,9,53,165.0100,165.1100,164.9700,165.1100,997
2018,2,2,9,54,164.9700,164.9000,164.9000,164.9700,470
2018,2,2,9,55,164.9000,164.8300,164.8300,164.9000,300
2018,2,2,9,56,164.7550,164.8300,164.7400,164.8300,2300
2018,2,2,9,57,164.8902,164.8756,164.8100,164.9700,804
2018,2,2,9,58,164.8550,164.9700,164.8550,164.9700,700
2018,2,2,9,59,164.8270,164.8000,164.8000,164.9800,737
2018,2,2,10,0,164.9600,164.9700,164.9600,164.9700,200
2018,2,2,10,1,165.0100,164.7900,164.7700,165.0100,2098
2018,2,2,10,2,164.7900,164.7900,164.7300,164.8100,1300
2018,2,2,10,3,164.8200,164.9200,164.8200,165.0500,900
2018,2,2,10,4,164.9500,164.7650,164.7000,164.9700,3801
2018,2,2,10,5,164.7650,164.7700,164.7600,164.8000,900
2018,2,2,10,6,164.7800,164.8400,164.7700,164.8700,1400
2018,2,2,10,7,164.8400,164.9100,164.8300,164.9100,600
