year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,354.0000,353.8501,353.8501,354.5000,91454
2018,2,2,9,32,354.0000,353.4900,353.2000,354.1844,25743
2018,2,2,9,33,353.3597,353.8600,353.2000,354.0000,24123
2018,2,2,9,34,353.8700,353.6450,353.5832,354.0000,14123
2018,2,2,9,35,353.7574,353.8000,353.5275,354.6770,21080
2018,2,2,9,36,353.8100,354.3250,353.7250,354.6100,15953
2018,2,2,9,37,354.1700,354.3496,353.9400,354.6000,17634
2018,2,2,9,38,354.3800,354.0000,353.9010,354.4590,19469
2018,2,2,9,39,354.0000,353.9800,353.7100,354.0500,20042
2018,2,2,9,40,353.8400,353.7680,353.7000,353.9900,8193
2018,2,2,9,41,353.8120,353.8155,353.7100,354.1000,13599
2018,2,2,9,42,353.7899,353.8000,353.6400,353.9004,11446
2018,2,2,9,43,353.8600,353.9200,353.7100,354.0900,5426
2018,2,2,9,44,353.9100,353.9200,353.8100,354.0800,19046
2018,2,2,9,45,354.0100,353.9300,353.8300,354.0800,14561
2018,2,2,9,46,353.9543,353.8900,353.7400,354.0250,10314
2018,2,2,9,47,353.8600,353.5600,353.4600,353.8600,19112
2018,2,2,9,48,353.4400,353.3868,353.3700,353.7300,16040
2018,2,2,9,49,353.4554,353.5675,353.3800,353.7399,4279
2018,2,2,9,50,353.6000,353.6400,353.5101,353.7050,3235
2018,2,2,9,51,353.5500,353.3050,353.3000,353.6500,8280
2018,2,2,9,52,353.4200,353.3630,353.2500,353.5855,6302
2018,2,2,9,53,353.3631,353.3700,353.3000,353.6700,11251
2018,2,2,9,54,353.3895,353.4400,353.3895,353.6700,5035
2018,2,2,9,55,353.4800,352.7000,352.6900,353.4900,29263
2018,2,2,9,56,352.7000,352.6000,352.5600,352.8000,9709
2018,2,2,9,57,352.6540,352.9500,352.6100,352.9500,8869
2018,2,2,9,58,352.9500,353.0850,352.8427,353.2900,7472
2018,2,2,9,59,353.0000,352.9700,352.8510,353.1000,10751
2018,2,2,10,0,352.9200,352.7500,352.6800,353.1300,6348
2018,2,2,10,1,352.8600,352.6450,352.5294,352.9200,12061
2018,2,2,10,2,352.6918,352.4400,352.3300,352.8000,9739
2018,2,2,10,3,352.5300,352.0644,352.0000,352.5900,8551
2018,2,2,10,4,352.0000,351.4280,351.0500,352.0100,31513
2018,2,2,10,5,351.4240,351.2250,351.0910,351.5500,13139
2018,2,2,10,6,351.1010,350.7100,350.5600,351.2499,34748
2018,2,2,10,7,350.7700,351.0200,350.7100,351.0800,27644
2018,2,2,10,8,351.1020,351.5569,351.0200,351.5569,14402
2018,2,2,10,9,351.4599,352.3925,351.4599,352.4555,25312
2018,2,2,10,10,352.6400,352.1416,352.0100,352.6400,9256
2018,2,2,10,11,352.1682,351.6492,351.6100,352.2900,6927
2018,2,2,10,12,351.6600,352.0484,351.6000,352.1100,8702
2018,2,2,10,13,351.9500,352.1500,351.9400,352.3000,13466
2018,2,2,10,14,352.1300,352.2700,351.7600,352.2800,14049
2018,2,2,10,15,352.1750,352.4000,352.0700,352.6800,9004
2018,2,2,10,16,352.4761,352.6872,352.1700,352.6872,7704
2018,2,2,10,17,352.6617,353.2400,352.5200,353.3000,14738
2018,2,2,10,18,353.1600,353.4500,353.0500,353.9400,20022
2018,2,2,10,19,353.4300,353.7300,353.3000,353.9200,13658
2018,2,2,10,20,353.7100,353.7500,353.7100,354.2500,21514
2018,2,2,10,21,353.8450,353.8400,353.7800,354.1200,9861
2018,2,2,10,22,353.8977,354.1100,353.7800,354.2800,13402
2018,2,2,10,23,354.2100,354.4900,354.0200,354.5900,12241
2018,2,2,10,24,354.5595,353.8300,353.7900,354.5595,27395
2018,2,2,10,25,353.9800,353.6472,353.5100,354.0600,15973
2018,2,2,10,26,353.6799,354.0800,353.6047,354.1700,9785
2018,2,2,10,27,353.8900,354.0400,353.7318,354.0400,10159
2018,2,2,10,28,354.0123,354.3450,354.0123,354.4270,5951
2018,2,2,10,29,354.4400,354.7600,354.3600,354.7650,13640
2018,2,2,10,30,354.7800,354.8950,354.7001,354.9800,14416
2018,2,2,10,31,354.8200,354.8616,354.7600,354.9300,12819
2018,2,2,10,32,354.8000,354.9700,354.8000,355.1990,13462
2018,2,2,10,33,354.9600,354.8250,354.7300,355.0000,7690
2018,2,2,10,34,354.6600,354.4500,354.4500,354.8200,9892
2018,2,2,10,35,354.3700,354.4000,354.2400,354.5029,6055
2018,2,2,10,36,354.3000,354.0000,353.8400,354.4499,11672
2018,2,2,10,37,353.9100,353.7600,353.6800,354.1000,14911
2018,2,2,10,38,353.6900,353.9400,353.2695,353.9700,15147
2018,2,2,10,39,353.7883,353.6500,353.6201,353.8472,2994
2018,2,2,10,40,353.7400,353.4138,353.3400,353.8650,7841
2018,2,2,10,41,353.5100,353.6300,353.3200,353.7553,4075
2018,2,2,10,42,353.4900,353.8900,353.4900,354.0400,7680
2018,2,2,10,43,353.9100,353.7900,353.6900,354.0000,3591
2018,2,2,10,44,353.7500,353.4800,353.3810,353.8800,7341
2018,2,2,10,45,353.4600,353.4200,353.3500,353.7200,3749
2018,2,2,10,46,353.4900,353.3601,353.2000,353.6950,6052
2018,2,2,10,47,353.4000,353.3318,353.1000,353.5500,7624
2018,2,2,10,48,353.3298,353.6900,353.2800,353.7850,6373
2018,2,2,10,49,353.7000,354.0200,353.7000,354.0600,1920
2018,2,2,10,50,354.0200,353.9425,353.8700,354.0300,6960
2018,2,2,10,51,353.9750,353.8900,353.7900,354.0700,7702
2018,2,2,10,52,353.9750,353.7600,353.7600,354.0775,3400
2018,2,2,10,53,353.9500,354.0700,353.8524,354.1950,5240
2018,2,2,10,54,354.1690,354.0300,353.9600,354.1690,7333
2018,2,2,10,55,353.9800,353.9700,353.7000,354.0800,16879
2018,2,2,10,56,354.0800,353.8300,353.8300,354.1400,3408
2018,2,2,10,57,353.8200,353.7800,353.6300,354.0800,8115
2018,2,2,10,58,354.0000,353.9100,353.8300,354.2600,11093
2018,2,2,10,59,353.9500,353.7810,353.7810,354.1450,2400
2018,2,2,11,0,353.9300,353.8620,353.7000,354.0200,10232
2018,2,2,11,1,353.7900,353.6300,353.4050,354.0000,4715
2018,2,2,11,2,353.6510,354.2355,353.6510,354.3220,9320
2018,2,2,11,3,354.2260,354.0400,353.9400,354.2260,4440
2018,2,2,11,4,354.1300,354.0890,353.9400,354.2200,4437
2018,2,2,11,5,354.0000,353.5000,353.3000,354.0000,4705
2018,2,2,11,6,353.5200,353.5900,353.5186,353.7900,3395
2018,2,2,11,7,353.6433,353.6600,353.5400,353.7300,7930
2018,2,2,11,8,353.6100,354.0800,353.5200,354.0800,4250
2018,2,2,11,9,354.2100,354.1110,353.9900,354.4000,5824
2018,2,2,11,10,354.4000,354.2600,354.1100,354.4000,1500
2018,2,2,11,11,354.2743,354.1500,354.0400,354.2743,3638
2018,2,2,11,12,354.2420,354.1200,354.0600,354.2420,425
2018,2,2,11,13,354.1100,354.2100,354.1100,354.3000,2142
2018,2,2,11,14,354.2361,354.2017,354.1200,354.3000,3542
2018,2,2,11,15,354.1400,354.1090,353.9100,354.2100,8680
2018,2,2,11,16,354.0900,353.8499,353.6400,354.2150,7574
2018,2,2,11,17,353.7000,353.6800,353.5200,353.7500,4068
2018,2,2,11,18,353.6000,353.5100,353.3000,353.6000,3465
2018,2,2,11,19,353.3800,353.3500,353.3500,353.6100,7946
2018,2,2,11,20,353.2200,353.5435,353.0900,353.5700,5645
2018,2,2,11,21,353.4100,353.2700,353.1110,353.4800,5511
2018,2,2,11,22,353.3600,353.4800,353.3100,353.5008,6290
