year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,565.2600,565.2600,565.2600,565.2600,100
2018,2,2,9,32,561.5000,561.5000,561.5000,561.5000,100
2018,2,2,9,33,558.1700,558.3756,557.1310,559.9900,22747
2018,2,2,9,34,557.4300,559.1200,557.4300,559.7500,3726
2018,2,2,9,35,558.9500,556.0000,555.4000,558.9500,6763
2018,2,2,9,36,556.4700,556.0000,555.0600,556.8150,22985
2018,2,2,9,37,556.7800,556.8437,556.7600,556.9938,603
2018,2,2,9,38,556.7700,558.0000,556.7200,558.0000,400
2018,2,2,9,39,557.2300,557.7500,557.2300,557.7500,200
2018,2,2,9,40,557.5993,556.2050,556.2050,557.5993,418
2018,2,2,9,41,556.8051,556.8800,556.3200,556.8800,1134
2018,2,2,9,42,556.3100,557.7060,556.3100,557.7060,1475
2018,2,2,9,43,556.8000,556.8000,556.8000,556.8000,100
2018,2,2,9,44,557.2450,558.0000,557.2450,558.0100,939
2018,2,2,9,45,558.7800,559.0000,558.7800,559.6400,1250
2018,2,2,9,46,558.5700,558.6000,558.3800,558.9200,3050
2018,2,2,9,47,558.6350,558.5160,558.5160,558.6350,212
2018,2,2,9,48,558.5450,557.0000,557.0000,558.5450,2269
2018,2,2,9,49,557.8300,557.7700,557.7700,558.2400,400
2018,2,2,9,50,557.7900,557.8300,557.3601,558.2300,456
2018,2,2,9,51,558.0500,558.1200,558.0500,558.1700,800
2018,2,2,9,52,558.0100,557.8600,557.8600,558.0100,900
2018,2,2,9,53,558.2200,557.5000,557.5000,558.2200,300
2018,2,2,9,54,557.6950,557.4856,557.4856,557.6950,200
2018,2,2,9,55,557.7750,557.4200,557.3700,557.7750,1964
2018,2,2,9,56,557.2043,557.5700,557.1200,557.8000,1881
2018,2,2,9,57,557.5900,557.7050,557.2200,557.8800,3185
2018,2,2,9,58,557.6300,558.4533,557.4600,558.4533,1900
2018,2,2,9,59,558.3544,558.0100,557.9100,558.6000,2410
2018,2,2,10,0,558.0900,557.5800,557.3300,558.1000,2500
2018,2,2,10,1,557.7350,557.3500,557.3500,557.7800,1840
2018,2,2,10,2,557.5850,557.5897,557.5850,557.5897,200
2018,2,2,10,3,557.2900,557.2900,557.2900,557.2900,300
2018,2,2,10,4,557.0100,556.7500,556.6900,557.2700,1199
2018,2,2,10,5,556.7300,556.0100,556.0000,556.8700,5253
2018,2,2,10,6,556.1971,555.9255,555.6700,556.2900,2007
2018,2,2,10,7,555.7700,556.4150,555.7700,556.9300,4440
2018,2,2,10,8,556.6100,556.9200,556.4200,556.9200,1767
2018,2,2,10,9,556.6900,556.3155,556.0301,556.7100,1812
2018,2,2,10,10,556.3850,556.0050,555.8600,556.3850,2689
2018,2,2,10,11,556.1950,556.6600,556.1950,556.6800,1418
2018,2,2,10,12,556.7700,556.7900,556.6400,556.7900,620
2018,2,2,10,13,556.6250,556.3360,556.1544,556.9300,7573
2018,2,2,10,14,556.0100,555.9700,555.9700,556.0100,787
2018,2,2,10,15,556.0350,556.0350,556.0350,556.0350,100
2018,2,2,10,16,555.6500,556.1600,555.6100,556.1800,1700
2018,2,2,10,17,555.9410,555.7291,555.7291,556.3059,1228
2018,2,2,10,18,556.2350,556.2350,556.2350,556.2350,100
2018,2,2,10,19,556.2650,556.0800,555.9200,556.2750,2278
2018,2,2,10,20,556.6016,556.6016,556.6016,556.6016,100
2018,2,2,10,21,556.3850,556.3144,556.3144,556.4400,514
2018,2,2,10,22,556.3850,556.2050,555.9700,556.3900,1000
2018,2,2,10,23,556.2350,556.5700,556.2200,556.8500,1300
2018,2,2,10,24,556.6200,556.1300,556.1300,556.6200,1163
2018,2,2,10,25,556.4150,556.4100,555.9600,556.4150,400
2018,2,2,10,26,556.4200,556.0000,555.8500,556.4200,2256
2018,2,2,10,27,556.1200,556.1200,556.1200,556.1200,200
2018,2,2,10,28,556.1400,555.8000,555.8000,556.1400,200
2018,2,2,10,29,556.1300,555.9300,555.9300,556.1350,300
2018,2,2,10,30,556.1850,556.1950,556.1850,556.1950,300
2018,2,2,10,31,556.2200,555.7000,555.7000,556.2200,2230
2018,2,2,10,32,555.9200,556.2100,555.9200,556.4000,1800
2018,2,2,10,33,556.0556,556.0556,556.0556,556.0556,750
2018,2,2,10,34,555.9100,556.1150,555.8900,556.5700,900
2018,2,2,10,35,556.2600,556.7250,556.2600,556.9100,2664
2018,2,2,10,36,556.6500,556.5100,556.5100,556.7300,300
2018,2,2,10,37,556.5501,556.5800,556.5500,556.7750,1459
2018,2,2,10,38,556.5700,557.0250,556.5400,557.0250,2313
2018,2,2,10,39,556.9200,556.7400,556.5500,556.9200,966
2018,2,2,10,40,556.7750,555.6200,555.6200,556.7750,2000
2018,2,2,10,41,555.6400,556.2400,555.5201,556.2550,3770
2018,2,2,10,42,556.0200,556.0100,556.0100,556.0200,413
2018,2,2,10,43,556.1800,556.1750,556.1750,556.1800,200
2018,2,2,10,44,556.0100,556.1650,555.9700,556.1650,800
2018,2,2,10,45,556.0000,556.1700,556.0000,556.1700,200
2018,2,2,10,46,555.9900,555.5600,555.5600,555.9900,700
2018,2,2,10,47,555.6000,555.4700,555.4700,555.6000,700
2018,2,2,10,48,555.4354,555.9450,555.4354,556.0000,1340
2018,2,2,10,49,555.9850,555.9900,555.9850,555.9900,200
2018,2,2,10,50,555.7400,555.6800,555.6500,555.9150,1865
2018,2,2,10,51,556.0000,556.0000,556.0000,556.0000,100
2018,2,2,10,52,555.8450,556.1700,555.8450,556.1700,400
2018,2,2,10,53,556.2200,556.2100,556.1900,556.5900,800
2018,2,2,10,54,556.2000,556.2810,556.1200,556.2810,702
2018,2,2,10,55,556.1900,555.6000,555.6000,556.1900,900
2018,2,2,10,56,555.5900,555.4700,555.4700,555.7800,604
2018,2,2,10,57,555.7341,555.4741,555.4741,555.7341,466
2018,2,2,10,58,555.3700,555.3300,555.3300,555.5000,859
2018,2,2,10,59,555.5000,555.8500,555.5000,555.8500,1000
2018,2,2,11,0,555.5300,555.6402,555.4800,555.7150,3998
2018,2,2,11,1,555.7800,555.7800,555.6439,555.7800,322
2018,2,2,11,2,556.2600,556.1500,555.8400,556.2600,2308
2018,2,2,11,3,556.7300,556.7400,556.3140,556.7400,400
2018,2,2,11,4,556.8000,556.8300,556.5200,556.8300,500
2018,2,2,11,5,556.9500,556.9500,556.9500,556.9500,100
2018,2,2,11,6,556.8172,556.7550,556.5400,556.9500,11100
2018,2,2,11,7,556.9600,556.7800,556.7600,556.9900,890
2018,2,2,11,8,556.9900,557.3000,556.7240,557.3000,1396
2018,2,2,11,9,557.2800,557.5000,557.2800,557.5000,800
2018,2,2,11,10,557.7550,558.0000,557.7550,558.0000,2000
2018,2,2,11,11,558.3600,558.6400,557.9000,558.6400,1200
2018,2,2,11,12,558.6400,558.6400,558.6300,558.6400,600
2018,2,2,11,13,559.0399,558.1900,558.1900,559.0399,1000
2018,2,2,11,14,558.2450,558.1000,558.1000,558.5600,400
2018,2,2,11,15,558.1200,558.6350,558.1200,558.9000,600
2018,2,2,11,16,558.6600,558.6600,558.6600,558.6600,100
2018,2,2,11,17,558.6750,558.5200,558.4400,558.9400,6100
2018,2,2,11,18,558.7000,558.7300,558.4900,558.8400,6030
2018,2,2,11,19,558.6950,558.9100,558.6950,558.9700,1302
2018,2,2,11,20,558.9150,559.2000,558.6300,559.2000,3998
2018,2,2,11,21,559.0050,559.0100,559.0050,559.0100,200
2018,2,2,11,22,558.7200,559.6800,558.7200,559.6800,875
2018,2,2,11,23,559.3400,559.0300,559.0300,559.4800,630
2018,2,2,11,25,559.2804,558.9650,558.9650,559.4800,900
2018,2,2,11,26,559.2500,559.2500,559.2500,559.2500,100
2018,2,2,11,27,559.1685,559.1685,559.1685,559.1685,368
2018,2,2,11,28,559.0251,559.0251,559.0251,559.0251,749
2018,2,2,11,29,559.1150,559.1200,559.1100,559.3700,900
2018,2,2,11,30,559.0000,559.1300,558.7000,559.1300,1218
2018,2,2,11,31,559.0700,558.9912,558.9912,559.0900,414
2018,2,2,11,32,559.6100,559.6100,559.6100,559.6100,100
2018,2,2,11,33,559.0300,558.9300,558.5300,559.0300,800
2018,2,2,11,34,558.8800,559.6000,558.8300,559.6000,600
2018,2,2,11,35,559.1300,559.0000,558.9200,559.1300,1500
2018,2,2,11,36,558.9053,558.9100,558.9053,558.9100,457
2018,2,2,11,38,558.9762,558.7301,558.7301,558.9762,873
2018,2,2,11,39,558.7400,559.2800,558.7300,559.3100,806
2018,2,2,11,40,559.5950,560.0000,559.3210,560.0000,3934
2018,2,2,11,42,559.5400,559.5400,559.5400,559.5400,300
2018,2,2,11,44,559.3850,559.3850,559.3850,559.3850,100
2018,2,2,11,45,559.2400,559.4500,558.9500,559.4500,300
2018,2,2,11,46,559.6300,559.2050,558.9600,559.6300,700
2018,2,2,11,47,558.9500,558.8700,558.5200,558.9500,400
2018,2,2,11,48,558.8240,558.5800,558.5800,559.1900,1148
2018,2,2,11,49,558.5100,559.2400,558.1200,559.2400,1200
2018,2,2,11,50,558.8707,558.8875,558.8554,558.8875,553
2018,2,2,11,53,558.8800,558.8650,558.8650,559.0300,400
2018,2,2,11,54,558.8700,559.2400,558.7800,559.2400,890
2018,2,2,11,55,558.8700,558.8800,558.8300,558.8800,1024
2018,2,2,11,56,558.9550,558.8050,558.6600,558.9550,600
2018,2,2,11,57,558.6000,558.1900,557.8050,558.6000,1200
2018,2,2,11,58,558.1900,558.1600,558.1600,558.2400,1500
2018,2,2,11,59,558.2400,557.7900,557.3800,558.2400,2320
2018,2,2,12,0,557.7250,557.5300,557.4000,557.7250,429
2018,2,2,12,1,556.5500,556.7900,556.0600,556.7900,1000
2018,2,2,12,3,556.9700,557.2300,556.9700,557.5800,400
2018,2,2,12,4,557.0000,556.5700,556.5700,557.3000,1000
2018,2,2,12,5,556.5900,556.4300,556.4300,556.5900,400
2018,2,2,12,6,556.0200,556.3900,556.0200,556.3900,900
2018,2,2,12,8,556.2400,556.7700,556.2400,557.0300,1100
2018,2,2,12,9,556.7100,556.7000,556.6600,556.7100,600
2018,2,2,12,10,556.7100,556.5510,556.5510,556.7500,500
2018,2,2,12,11,556.5900,557.0200,556.5900,557.0200,200
2018,2,2,12,12,556.8450,556.8450,556.8450,556.8450,100
2018,2,2,12,13,556.8400,557.2750,556.8400,557.3900,966
2018,2,2,12,14,557.0000,557.0000,557.0000,557.0000,100
2018,2,2,12,17,557.5600,556.9050,556.8400,557.5600,1779
2018,2,2,12,18,557.1900,557.4600,557.0617,557.4600,527
2018,2,2,12,19,557.5700,557.5725,557.5000,557.5725,1725
2018,2,2,12,20,557.4200,557.3900,557.3900,557.4200,1400
