year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,160.7700,160.7750,160.6400,160.7750,78134
2018,2,2,9,31,160.6600,160.4500,160.1500,160.8000,33496
2018,2,2,9,32,160.4600,160.1400,160.0200,160.6000,14473
2018,2,2,9,33,160.1400,160.2371,160.0400,160.2800,11863
2018,2,2,9,34,160.2700,160.0950,160.0300,160.3000,22092
2018,2,2,9,35,160.1400,160.2000,160.0400,160.2400,15763
2018,2,2,9,36,160.1900,160.1100,160.0800,160.3200,17232
2018,2,2,9,37,160.1100,160.3900,160.0500,160.3900,8258
2018,2,2,9,38,160.3890,160.5700,160.3100,160.5700,13839
2018,2,2,9,39,160.4710,160.3700,160.3348,160.6200,7067
2018,2,2,9,40,160.3500,160.1000,160.1000,160.4500,9171
2018,2,2,9,41,160.1350,160.1400,160.0400,160.2806,19482
2018,2,2,9,42,160.1500,160.0975,160.0100,160.1600,12072
2018,2,2,9,43,160.1100,160.2096,160.0300,160.2400,10334
2018,2,2,9,44,160.2490,160.1700,160.1200,160.2548,16699
2018,2,2,9,45,160.2100,160.1850,160.1100,160.3000,6814
2018,2,2,9,46,160.1200,160.0750,159.9100,160.1700,54032
2018,2,2,9,47,160.0100,160.0500,160.0001,160.2300,19294
2018,2,2,9,48,160.0950,160.0050,160.0000,160.1400,6959
2018,2,2,9,49,160.0154,160.0700,160.0105,160.0800,2427
2018,2,2,9,50,160.0200,160.0100,159.9610,160.0900,12335
2018,2,2,9,51,160.0500,159.9450,159.8800,160.0502,21026
2018,2,2,9,52,159.9800,159.9875,159.9170,160.0400,12915
2018,2,2,9,53,160.0100,160.0401,159.9900,160.1900,14888
2018,2,2,9,54,160.0550,159.8499,159.8499,160.1150,16964
2018,2,2,9,55,159.8500,159.7100,159.7100,159.8800,15358
2018,2,2,9,56,159.7200,159.8400,159.6125,159.8400,16529
2018,2,2,9,57,159.8700,159.8500,159.8020,159.9600,12020
2018,2,2,9,58,159.8500,159.8050,159.7101,159.8700,16992
2018,2,2,9,59,159.8200,159.9298,159.8200,159.9600,3781
2018,2,2,10,0,159.9302,160.0900,159.8300,160.1900,10714
2018,2,2,10,1,160.0838,159.8200,159.7810,160.0838,10925
2018,2,2,10,2,159.8609,159.7700,159.7600,159.8631,14690
2018,2,2,10,3,159.7500,159.7092,159.6500,159.8300,8468
