year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,101.2700,101.5200,101.2700,101.5200,20157
2018,2,2,9,31,101.5700,101.3600,101.2700,101.5700,2100
2018,2,2,9,32,101.3838,101.3900,101.3600,101.3900,2609
2018,2,2,9,33,101.3700,101.5000,101.3000,101.5100,2143
2018,2,2,9,34,101.3601,101.4500,101.3601,101.6600,2700
2018,2,2,9,35,101.4871,101.5400,101.4871,101.5400,200
2018,2,2,9,36,101.5400,101.6000,101.5400,101.6000,2250
2018,2,2,9,37,101.5450,101.6200,101.5450,101.6300,1300
2018,2,2,9,38,101.6500,101.5900,101.5800,101.6500,7396
2018,2,2,9,39,101.6300,101.6200,101.5700,101.6300,600
2018,2,2,9,40,101.6300,101.6700,101.6300,101.6700,800
2018,2,2,9,41,101.6499,101.6200,101.5700,101.7400,8408
2018,2,2,9,42,101.6200,101.6800,101.6200,101.6800,1938
2018,2,2,9,43,101.6800,101.7500,101.6800,101.7500,600
2018,2,2,9,44,101.7100,101.6850,101.6700,101.7100,2772
2018,2,2,9,45,101.6850,101.6850,101.6850,101.7100,800
2018,2,2,9,46,101.6600,101.6800,101.6600,101.7300,4400
2018,2,2,9,47,101.6900,101.6700,101.6600,101.7000,2968
2018,2,2,9,48,101.6800,101.7300,101.6800,101.7400,3000
2018,2,2,9,49,101.7400,101.6500,101.6500,101.7400,2100
2018,2,2,9,50,101.6600,101.6900,101.6600,101.7300,3354
2018,2,2,9,51,101.6750,101.7200,101.6500,101.7200,15279
2018,2,2,9,52,101.7300,101.7800,101.7100,101.7800,5862
2018,2,2,9,53,101.7800,101.8500,101.7600,101.8500,3693
2018,2,2,9,54,101.8300,101.7500,101.7300,101.8316,4250
2018,2,2,9,55,101.7400,101.7900,101.7400,101.7900,5769
2018,2,2,9,56,101.7900,101.7800,101.7600,101.8000,35384
2018,2,2,9,57,101.7800,101.7900,101.7700,101.8300,4520
2018,2,2,9,58,101.8100,101.7857,101.7101,101.8300,15602
2018,2,2,9,59,101.7600,101.7700,101.7450,101.7700,4700
2018,2,2,10,0,101.7600,101.7950,101.7300,101.8100,19961
2018,2,2,10,1,101.7900,101.7000,101.6900,101.7900,28763
2018,2,2,10,2,101.6900,101.7150,101.6900,101.7600,11604
2018,2,2,10,3,101.7200,101.7000,101.6900,101.7300,7482
2018,2,2,10,4,101.7100,101.7500,101.6750,101.7600,14118
2018,2,2,10,5,101.7400,101.6500,101.6500,101.7400,8220
2018,2,2,10,6,101.5800,101.7600,101.5600,101.7600,8037
2018,2,2,10,7,101.7700,101.8700,101.7000,101.8700,8338
