year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,142.8400,142.8800,142.8400,142.8800,92713
2018,2,2,9,31,142.8800,143.1500,142.8300,143.2900,8282
2018,2,2,9,32,143.1900,143.1900,143.1900,143.3800,800
2018,2,2,9,33,143.4500,143.3150,143.3150,143.5200,600
2018,2,2,9,34,143.6750,144.1050,143.6750,144.1050,1100
2018,2,2,9,35,144.3800,144.0800,144.0800,144.3800,200
2018,2,2,9,36,144.1200,144.2100,144.0500,144.2100,1900
2018,2,2,9,37,144.1950,144.2400,144.0000,144.2400,2049
2018,2,2,9,38,144.2600,144.4100,144.2600,144.4200,800
2018,2,2,9,39,144.1954,144.4600,144.1954,144.5000,995
2018,2,2,9,40,144.6600,144.4850,144.4500,144.7500,4220
2018,2,2,9,41,144.5800,144.7300,144.4550,144.8100,3326
2018,2,2,9,42,144.6112,144.7300,144.6112,144.8900,1140
2018,2,2,9,43,144.6800,145.0000,144.6800,145.0000,1215
2018,2,2,9,44,145.0300,145.0718,145.0300,145.0718,500
2018,2,2,9,45,145.1200,145.1900,145.1200,145.1900,200
2018,2,2,9,46,145.0850,145.2450,145.0000,145.2450,419
2018,2,2,9,47,145.2000,145.2000,145.2000,145.2000,200
2018,2,2,9,49,144.9800,145.1200,144.9500,145.1500,4637
2018,2,2,9,50,145.0300,145.2750,144.9900,145.3400,3899
2018,2,2,9,51,145.3150,145.2300,145.2300,145.3150,3527
2018,2,2,9,53,145.1100,145.2600,145.1100,145.2600,300
2018,2,2,9,54,145.2200,145.2200,145.2200,145.2200,100
2018,2,2,9,55,145.1600,144.5600,144.5600,145.1600,2900
2018,2,2,9,56,144.5300,144.5300,144.5300,144.5300,200
2018,2,2,9,57,144.6500,144.6200,144.6200,144.7500,2200
2018,2,2,9,58,144.7100,144.7600,144.7100,144.7600,400
2018,2,2,9,59,144.9300,144.9200,144.9200,144.9300,300
2018,2,2,10,0,144.8400,144.9300,144.8200,145.1200,1300
2018,2,2,10,1,145.0900,144.8900,144.8900,145.0900,1100
2018,2,2,10,2,144.8500,144.7800,144.7800,144.8650,2039
2018,2,2,10,4,144.6850,144.5300,144.5300,144.6850,700
2018,2,2,10,5,144.5100,144.6400,144.5100,144.6400,900
2018,2,2,10,6,144.6200,144.3500,144.2900,144.6200,2300
2018,2,2,10,7,144.4100,144.4600,144.3950,144.4600,850
2018,2,2,10,8,144.4900,144.3150,144.2500,144.4900,1700
2018,2,2,10,9,144.3700,144.3900,144.2700,144.3900,5096
2018,2,2,10,10,144.3800,144.4500,144.2800,144.4800,3339
2018,2,2,10,11,144.3400,144.4600,144.2600,144.4600,5064
2018,2,2,10,12,144.4007,144.5800,144.4007,144.5800,2143
2018,2,2,10,13,144.6600,144.7200,144.6550,144.7200,800
2018,2,2,10,14,144.7500,144.7500,144.7500,144.7500,400
2018,2,2,10,15,144.6700,144.6400,144.6400,144.7250,1575
2018,2,2,10,16,144.6600,144.6600,144.6600,144.6600,200
2018,2,2,10,17,144.6300,144.5800,144.5800,144.6725,1600
2018,2,2,10,18,144.4850,144.4850,144.4850,144.4850,182
2018,2,2,10,19,144.4100,144.4087,144.3800,144.4450,1101
2018,2,2,10,20,144.4500,144.5050,144.4300,144.5200,2609
2018,2,2,10,21,144.5000,144.4650,144.4650,144.5000,1200
2018,2,2,10,22,144.5300,144.5600,144.5300,144.5600,600
2018,2,2,10,23,144.5300,144.6300,144.5300,144.6300,516
2018,2,2,10,24,144.6500,144.6550,144.6500,144.7100,400
2018,2,2,10,25,144.6409,144.6550,144.6000,144.7200,2400
2018,2,2,10,26,144.6500,144.8700,144.6500,144.8700,1700
2018,2,2,10,27,144.9000,144.8200,144.8000,144.9000,2930
2018,2,2,10,28,144.8500,144.8500,144.8500,144.8500,400
2018,2,2,10,30,144.8550,144.8550,144.8550,144.8550,200
2018,2,2,10,31,144.8700,144.9000,144.8300,144.9200,2961
2018,2,2,10,32,144.9600,145.1400,144.9600,145.1400,3094
2018,2,2,10,33,145.0600,144.9900,144.9900,145.1050,4482
2018,2,2,10,34,145.0300,144.9700,144.9700,145.0300,1400
2018,2,2,10,35,144.9800,144.9800,144.9800,144.9800,100
2018,2,2,10,36,144.9101,144.9101,144.9101,144.9101,300
2018,2,2,10,37,144.9700,144.9700,144.9700,144.9700,100
2018,2,2,10,38,145.0200,145.1800,145.0200,145.1800,2100
2018,2,2,10,39,145.1100,145.0550,145.0500,145.1450,3200
2018,2,2,10,40,145.0200,145.0700,145.0200,145.0700,998
2018,2,2,10,41,145.0300,145.0800,145.0200,145.0800,1098
2018,2,2,10,42,145.1400,145.3100,145.1400,145.3100,3251
2018,2,2,10,43,145.2950,145.3250,145.2500,145.3600,1800
2018,2,2,10,44,145.2900,145.3000,145.2500,145.3000,2100
2018,2,2,10,45,145.2900,145.3100,145.2400,145.3100,1551
2018,2,2,10,46,145.2400,145.1600,145.1400,145.2800,4257
2018,2,2,10,47,145.1700,145.2200,145.1200,145.2200,1899
2018,2,2,10,48,145.2500,145.3100,145.2500,145.3100,200
2018,2,2,10,49,145.2800,145.2500,145.2500,145.2800,200
2018,2,2,10,50,145.2900,145.2900,145.2800,145.3200,800
2018,2,2,10,51,145.3100,145.2500,145.2500,145.3200,4724
2018,2,2,10,52,145.2722,145.2722,145.2722,145.2722,880
