year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,102.9900,102.9900,102.9900,102.9900,7387
2018,2,2,9,32,102.8700,102.8700,102.8700,102.8700,100
2018,2,2,9,34,102.6300,102.7700,102.6100,102.7700,5066
2018,2,2,9,35,102.8100,102.8700,102.8100,102.9000,739
2018,2,2,9,36,102.9900,103.1500,102.9900,103.1500,950
2018,2,2,9,38,103.1100,103.2000,103.1100,103.2000,5000
2018,2,2,9,40,103.1000,103.3000,103.1000,103.3000,3428
2018,2,2,9,41,103.4500,103.2400,103.2400,103.4500,1800
2018,2,2,9,42,103.3900,103.5500,103.3800,103.6000,2100
2018,2,2,9,43,103.5300,103.6300,103.5300,103.7100,3450
2018,2,2,9,44,103.5192,103.6700,103.5192,103.6800,300
2018,2,2,9,45,103.6000,103.5300,103.4700,103.6000,2700
2018,2,2,9,46,103.4500,103.3700,103.2500,103.4600,1100
2018,2,2,9,47,103.2500,103.4300,103.2500,103.4300,500
2018,2,2,9,48,103.4400,103.4400,103.4400,103.4900,1300
2018,2,2,9,49,103.4500,103.4850,103.4300,103.5200,2900
2018,2,2,9,50,103.4300,103.5300,103.4300,103.5300,300
2018,2,2,9,51,103.5150,103.4700,103.4700,103.5150,600
2018,2,2,9,52,103.4700,103.3600,103.2500,103.4700,3937
2018,2,2,9,53,103.3950,103.4500,103.3900,103.4500,1500
2018,2,2,9,54,103.5400,103.4800,103.4200,103.5400,1988
2018,2,2,9,55,103.4300,103.4100,103.3900,103.5150,2800
2018,2,2,9,56,103.2650,103.4200,103.2650,103.4400,2320
2018,2,2,9,57,103.4000,103.4000,103.4000,103.4000,300
2018,2,2,9,58,103.3000,103.5200,103.3000,103.5200,900
2018,2,2,9,59,103.4800,103.5800,103.4500,103.5800,1651
2018,2,2,10,1,103.5900,103.6300,103.5900,103.6300,1100
2018,2,2,10,2,103.6500,103.6400,103.5926,103.7000,1005
2018,2,2,10,3,103.6900,103.5930,103.5800,103.6900,1916
2018,2,2,10,4,103.5800,103.6000,103.5000,103.6000,5043
2018,2,2,10,5,103.6000,103.5700,103.5700,103.6000,300
2018,2,2,10,6,103.5200,103.6800,103.5000,103.6800,3912
2018,2,2,10,7,103.6265,103.8200,103.6265,103.8200,1356
2018,2,2,10,8,103.8400,103.8400,103.8400,103.8400,100
2018,2,2,10,9,103.8400,103.9100,103.8100,103.9100,5937
2018,2,2,10,10,103.9100,103.8860,103.8860,103.9500,1360
2018,2,2,10,12,103.7700,104.0000,103.7700,104.0000,4852
2018,2,2,10,13,103.9400,103.9400,103.9400,103.9400,100
2018,2,2,10,14,104.0600,104.1300,104.0000,104.1300,2011
2018,2,2,10,15,104.1089,104.1400,104.1089,104.1400,1229
2018,2,2,10,16,104.0200,103.8000,103.8000,104.0200,2494
2018,2,2,10,17,103.7600,103.6780,103.6300,103.7600,1296
2018,2,2,10,18,103.5700,103.7200,103.5700,103.7200,300
2018,2,2,10,19,103.6400,103.5400,103.4000,103.6400,1200
2018,2,2,10,20,103.5700,103.6300,103.5400,103.6300,1398
2018,2,2,10,21,103.5650,103.6000,103.5100,103.6000,800
2018,2,2,10,22,103.4100,103.6100,103.4100,103.6100,1000
2018,2,2,10,23,103.4300,103.5400,103.4300,103.6200,1500
2018,2,2,10,24,103.4700,103.5950,103.4700,103.6900,7008
2018,2,2,10,25,103.6700,103.6300,103.6300,103.8500,1700
2018,2,2,10,26,103.6400,103.6700,103.5200,103.7400,5796
2018,2,2,10,27,103.7500,103.8350,103.7400,103.8350,400
2018,2,2,10,28,103.7200,103.7700,103.7100,103.7700,2520
2018,2,2,10,29,103.6900,103.6600,103.6300,103.7300,4000
2018,2,2,10,30,103.6600,103.7050,103.5500,103.7050,2613
2018,2,2,10,31,103.6700,103.5800,103.5600,103.6900,1315
2018,2,2,10,33,103.5900,103.4900,103.4900,103.5900,1100
2018,2,2,10,34,103.5200,103.6200,103.5200,103.6200,3628
2018,2,2,10,35,103.6100,103.7075,103.6100,103.7350,700
2018,2,2,10,36,103.6900,103.6185,103.5900,103.7000,2352
2018,2,2,10,37,103.6000,103.7900,103.6000,103.7900,2100
2018,2,2,10,38,103.7800,103.7850,103.7800,103.8400,1700
2018,2,2,10,39,103.7500,103.5450,103.5450,103.7500,1610
2018,2,2,10,41,103.4600,103.4600,103.4600,103.5300,700
2018,2,2,10,42,103.5300,103.6600,103.5300,103.6600,673
2018,2,2,10,43,103.6550,103.6600,103.6100,103.6600,500
2018,2,2,10,44,103.6500,103.6000,103.5900,103.6500,1410
2018,2,2,10,45,103.5600,103.5750,103.5600,103.5750,300
2018,2,2,10,46,103.5300,103.4900,103.4600,103.5300,1010
2018,2,2,10,47,103.3700,103.5100,103.3700,103.5100,1839
2018,2,2,10,48,103.5300,103.6100,103.5300,103.7278,2000
2018,2,2,10,49,103.6200,103.6200,103.6200,103.6900,3830
