year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,94.7500,95.1600,94.7500,95.1600,19239
2018,2,2,9,31,94.6600,93.9100,93.8100,94.6900,5266
2018,2,2,9,32,94.0900,94.0840,93.9800,94.2400,4976
2018,2,2,9,33,94.1600,93.8100,93.8000,94.1700,14601
2018,2,2,9,34,94.0300,94.7300,93.7500,94.7300,23480
2018,2,2,9,35,94.6500,94.6450,94.5750,94.7200,600
2018,2,2,9,36,94.5700,94.4200,94.3700,94.7200,9898
2018,2,2,9,37,94.4400,94.7300,94.4400,94.7300,3700
2018,2,2,9,38,94.8100,94.6200,94.5000,94.8200,1800
2018,2,2,9,39,94.7000,94.8000,94.6200,94.8100,2890
2018,2,2,9,40,94.7800,94.9850,94.6500,95.0100,15881
2018,2,2,9,41,94.8750,94.6400,94.6000,95.0000,5705
2018,2,2,9,42,94.6300,94.6500,94.6100,94.7300,1000
2018,2,2,9,43,94.7400,94.9300,94.6800,95.0600,25938
2018,2,2,9,44,94.8000,94.6000,94.6000,94.9300,3600
2018,2,2,9,45,94.6100,94.5900,94.5900,94.6850,11000
2018,2,2,9,46,94.5900,94.6300,94.4400,94.6300,1900
2018,2,2,9,47,94.6450,94.6200,94.5500,94.8600,3300
2018,2,2,9,48,94.7500,94.7550,94.7500,94.8300,1400
2018,2,2,9,49,94.7700,94.8300,94.7300,94.8400,2100
2018,2,2,9,50,94.8900,94.8200,94.8000,94.9200,4600
2018,2,2,9,51,94.8200,94.8650,94.7300,94.9200,2700
2018,2,2,9,52,94.9400,94.8350,94.7800,94.9400,6100
2018,2,2,9,53,94.8500,94.8700,94.7900,94.9200,2400
2018,2,2,9,54,94.8100,94.8800,94.7700,94.8800,3054
2018,2,2,9,55,94.8500,94.6200,94.4100,94.8800,6280
2018,2,2,9,56,94.5700,94.7300,94.5700,94.7300,1900
2018,2,2,9,57,94.7100,94.7000,94.7000,94.7100,200
2018,2,2,9,58,94.7200,94.6900,94.6900,94.7400,1528
2018,2,2,9,59,94.7200,94.8300,94.7200,94.8500,6102
2018,2,2,10,0,94.7800,95.0800,94.7600,95.1000,8577
2018,2,2,10,1,95.0400,95.1000,95.0300,95.1000,2000
2018,2,2,10,2,95.1200,95.1800,95.1200,95.2100,1800
2018,2,2,10,3,95.1062,94.9900,94.9800,95.1062,1410
2018,2,2,10,4,94.8800,94.8400,94.8400,94.9400,500
2018,2,2,10,5,94.8700,95.0900,94.8700,95.1200,2600
2018,2,2,10,6,95.1450,95.0500,95.0300,95.1450,800
2018,2,2,10,7,95.1000,95.2700,95.1000,95.3100,1300
2018,2,2,10,8,95.3500,95.3400,95.2850,95.3700,1358
2018,2,2,10,9,95.3300,95.3300,95.3200,95.3300,500
2018,2,2,10,10,95.3300,95.0900,95.0800,95.3300,3800
2018,2,2,10,11,95.0400,94.9300,94.9300,95.0400,1100
2018,2,2,10,12,95.0500,95.3250,95.0500,95.3250,5894
2018,2,2,10,13,95.3200,95.3100,95.0800,95.3600,6202
2018,2,2,10,14,95.2700,95.0600,95.0600,95.2700,2780
2018,2,2,10,15,95.0650,95.1000,95.0300,95.1700,5090
2018,2,2,10,16,95.0900,95.0300,94.9700,95.0900,2760
2018,2,2,10,17,95.0900,94.9501,94.9075,95.0900,2151
2018,2,2,10,18,94.9900,94.9300,94.9200,95.1100,4092
2018,2,2,10,19,94.9400,94.8200,94.6900,94.9400,3300
2018,2,2,10,20,94.9100,94.8200,94.8200,94.9500,2500
2018,2,2,10,21,94.8500,94.7300,94.6850,94.8500,1600
2018,2,2,10,22,94.7600,94.8500,94.4600,94.8700,4920
2018,2,2,10,23,94.8900,94.8400,94.8400,94.9000,1100
2018,2,2,10,24,94.7537,94.7600,94.7200,94.8100,3478
2018,2,2,10,25,94.7900,94.6600,94.6500,94.7900,2633
2018,2,2,10,26,94.6200,94.6000,94.5200,94.6200,717
2018,2,2,10,27,94.5800,94.6400,94.5800,94.6800,2100
2018,2,2,10,28,94.6400,94.6800,94.6400,94.6800,1850
2018,2,2,10,29,94.7000,94.6201,94.6201,94.7100,2596
2018,2,2,10,30,94.6200,94.6100,94.6000,94.7100,3000
2018,2,2,10,31,94.5900,94.6400,94.5900,94.6892,1198
2018,2,2,10,32,94.6600,94.6100,94.6100,94.6600,1600
2018,2,2,10,33,94.6100,94.3900,94.3900,94.6100,2800
2018,2,2,10,34,94.4100,94.4600,94.4100,94.4600,1100
2018,2,2,10,35,94.4650,94.4900,94.4500,94.5000,3100
2018,2,2,10,36,94.4200,94.4600,94.4150,94.4700,500
2018,2,2,10,37,94.4150,94.4150,94.4150,94.4150,100
2018,2,2,10,38,94.4800,94.5600,94.4800,94.5600,3000
2018,2,2,10,39,94.5400,94.3600,94.3600,94.5400,2600
2018,2,2,10,40,94.3400,94.1700,94.1700,94.3400,700
2018,2,2,10,41,94.1800,94.1100,94.1100,94.2800,6788
2018,2,2,10,42,94.1100,94.0800,93.9950,94.1400,9516
2018,2,2,10,43,94.1100,94.0500,94.0100,94.1100,1400
2018,2,2,10,44,94.0400,94.0950,94.0400,94.0950,600
2018,2,2,10,46,94.0600,94.0680,94.0600,94.0680,300
2018,2,2,10,47,94.1400,94.0400,94.0400,94.1400,1490
2018,2,2,10,48,94.0400,94.0900,94.0350,94.0900,6349
2018,2,2,10,49,94.0700,94.0850,94.0700,94.2100,2498
2018,2,2,10,50,94.1100,94.1250,94.1000,94.1400,2450
2018,2,2,10,51,94.1250,94.2300,94.1250,94.2300,1500
2018,2,2,10,52,94.3350,94.2700,94.2600,94.3350,2050
2018,2,2,10,53,94.2900,94.3100,94.2900,94.3500,2721
2018,2,2,10,54,94.3400,94.2900,94.2800,94.3600,2025
2018,2,2,10,55,94.2700,94.1900,94.1900,94.2700,1573
2018,2,2,10,56,94.1800,94.2400,94.1500,94.3200,2900
2018,2,2,10,57,94.2800,94.2800,94.2450,94.3200,1200
2018,2,2,10,58,94.2400,94.2500,94.2400,94.3300,1000
2018,2,2,10,59,94.2700,94.2400,94.2400,94.3200,2000
2018,2,2,11,0,94.2527,94.3300,94.2527,94.3300,1183
2018,2,2,11,1,94.3300,94.2000,94.2000,94.3600,1800
2018,2,2,11,2,94.2600,94.3000,94.2500,94.3400,3806
2018,2,2,11,3,94.2938,94.3300,94.2400,94.3400,2593
2018,2,2,11,4,94.3300,94.3400,94.3300,94.3700,2000
2018,2,2,11,5,94.3000,94.2400,94.2400,94.3000,1100
2018,2,2,11,6,94.1750,94.1600,94.1600,94.2200,2791
2018,2,2,11,7,94.2000,94.1300,94.1300,94.2000,1500
2018,2,2,11,8,94.1100,94.1600,94.0210,94.1600,1723
2018,2,2,11,9,94.1400,94.1400,94.0401,94.1600,3300
2018,2,2,11,10,94.1450,94.1800,94.1000,94.1800,4600
2018,2,2,11,11,94.1700,94.1800,94.1700,94.1800,700
2018,2,2,11,12,94.1900,94.0800,94.0800,94.1900,1600
2018,2,2,11,13,94.1100,94.1100,94.1100,94.1100,100
2018,2,2,11,14,94.1400,94.1400,94.1050,94.1500,5200
2018,2,2,11,15,94.1600,94.2000,94.1000,94.2000,3745
2018,2,2,11,16,94.1700,94.1300,94.1300,94.1700,894
2018,2,2,11,17,94.1100,94.0500,94.0400,94.1100,1500
2018,2,2,11,18,94.0800,94.0700,94.0700,94.1300,1600
2018,2,2,11,19,94.0950,94.0950,94.0950,94.0950,100
2018,2,2,11,20,94.1000,93.9970,93.9800,94.1100,2200
2018,2,2,11,21,93.9800,93.9800,93.9800,93.9900,500
2018,2,2,11,22,94.0100,93.9301,93.9301,94.0300,3400
2018,2,2,11,23,93.9400,94.0000,93.9100,94.0000,1000
2018,2,2,11,24,94.0000,93.9500,93.9500,94.0000,1000
2018,2,2,11,25,93.9100,93.9100,93.9100,93.9450,900
2018,2,2,11,26,93.9100,93.9300,93.8800,93.9700,2700
2018,2,2,11,27,93.9500,93.9300,93.9300,93.9800,600
2018,2,2,11,28,93.9600,93.9600,93.8701,93.9600,2400
2018,2,2,11,29,93.9900,93.9901,93.9900,94.0300,1700
2018,2,2,11,30,94.0100,94.0700,94.0100,94.0700,300
2018,2,2,11,31,94.0900,94.0600,94.0600,94.0900,600
2018,2,2,11,32,94.0500,94.0261,94.0000,94.0900,3800
2018,2,2,11,33,94.0100,94.1500,94.0100,94.1500,2150
2018,2,2,11,34,94.1200,94.0800,94.0800,94.1200,1000
2018,2,2,11,35,94.0400,94.0500,94.0300,94.0500,700
2018,2,2,11,36,94.0750,93.9800,93.9800,94.1100,1306
2018,2,2,11,37,94.0126,94.0700,94.0100,94.1600,2800
2018,2,2,11,38,94.1100,94.0500,94.0500,94.1100,1100
2018,2,2,11,39,94.0400,93.9801,93.9800,94.0700,2162
2018,2,2,11,40,94.0500,94.1000,94.0500,94.1000,1050
2018,2,2,11,41,94.1100,94.1800,94.0500,94.1800,2007
2018,2,2,11,42,94.1600,94.2000,94.1300,94.2000,1000
2018,2,2,11,43,94.1850,94.1700,94.1600,94.2300,1600
2018,2,2,11,44,94.1900,94.1000,94.1000,94.1900,1172
2018,2,2,11,45,94.1200,94.0950,94.0950,94.1200,200
