year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,48.1900,48.2900,48.1900,48.2900,16629
2018,2,2,9,31,48.2800,48.1500,48.0400,48.2800,2500
2018,2,2,9,32,48.0400,47.8700,47.8600,48.1900,5406
2018,2,2,9,33,47.9700,47.9300,47.8800,47.9900,2400
2018,2,2,9,34,47.9100,47.9100,47.8900,48.0800,8800
2018,2,2,9,35,47.9000,48.1000,47.7700,48.1000,12352
2018,2,2,9,36,48.1500,48.1400,48.1100,48.1500,1700
2018,2,2,9,37,48.0800,48.1300,48.0300,48.1300,7700
2018,2,2,9,38,48.0900,48.0600,48.0500,48.1000,800
2018,2,2,9,39,48.0500,48.1600,48.0200,48.1700,5660
2018,2,2,9,40,48.1400,48.2000,48.1400,48.2554,1500
2018,2,2,9,41,48.1800,48.1400,48.0700,48.1800,6400
2018,2,2,9,42,48.1600,48.0900,48.0600,48.1600,5362
2018,2,2,9,43,48.0600,48.1200,48.0600,48.1600,4950
2018,2,2,9,44,48.1450,48.0900,48.0900,48.1450,400
2018,2,2,9,45,48.1000,48.1000,48.0500,48.1600,7621
2018,2,2,9,46,48.0050,48.0200,47.8900,48.0600,8835
2018,2,2,9,47,48.0533,48.0300,48.0300,48.1000,2500
2018,2,2,9,48,48.0500,48.0000,47.9900,48.0500,3900
2018,2,2,9,49,48.0300,48.0300,47.9900,48.0400,5100
2018,2,2,9,50,48.0700,48.0500,48.0500,48.0800,500
2018,2,2,9,51,48.0600,48.0400,48.0150,48.0700,13817
2018,2,2,9,52,48.0500,48.0613,48.0400,48.1000,3240
2018,2,2,9,53,48.0400,48.0600,48.0150,48.0600,15848
2018,2,2,9,54,48.0450,48.0700,48.0200,48.0700,6300
2018,2,2,9,55,48.0600,48.0400,48.0300,48.0600,6100
2018,2,2,9,56,48.0300,48.0600,48.0200,48.0700,8576
2018,2,2,9,57,48.0800,48.0600,48.0300,48.0800,3540
2018,2,2,9,58,48.0700,48.0864,48.0700,48.1200,3535
2018,2,2,9,59,48.0510,48.1500,48.0500,48.1700,4400
2018,2,2,10,0,48.1300,48.1300,48.1100,48.1400,5842
2018,2,2,10,1,48.1300,48.2100,48.1300,48.2100,3495
2018,2,2,10,2,48.1800,48.1500,48.1500,48.1800,2900
2018,2,2,10,3,48.1500,48.0000,48.0000,48.1600,4200
2018,2,2,10,4,48.0000,48.0500,47.9500,48.0700,8701
2018,2,2,10,5,48.0700,48.0100,47.9900,48.0777,5229
2018,2,2,10,6,48.0000,48.0500,47.9700,48.0500,5709
2018,2,2,10,7,48.0800,48.1600,48.0800,48.1700,5613
2018,2,2,10,8,48.1900,48.1950,48.1500,48.2100,3481
2018,2,2,10,9,48.2200,48.1900,48.1300,48.2300,3146
2018,2,2,10,10,48.1750,48.1300,48.1200,48.1900,2110
2018,2,2,10,11,48.1300,48.1850,48.1300,48.1850,4050
2018,2,2,10,12,48.2000,48.2600,48.1900,48.2600,5258
2018,2,2,10,13,48.2300,48.2743,48.2000,48.2743,1925
2018,2,2,10,14,48.2400,48.2800,48.2200,48.3100,5313
2018,2,2,10,15,48.3000,48.2900,48.2800,48.3060,900
2018,2,2,10,16,48.2700,48.1900,48.1900,48.2800,4300
2018,2,2,10,17,48.1800,48.2000,48.1700,48.2200,6100
2018,2,2,10,18,48.2100,48.2700,48.2100,48.3000,15200
2018,2,2,10,19,48.3000,48.2900,48.2700,48.3000,13907
2018,2,2,10,20,48.3200,48.3100,48.3050,48.3250,600
2018,2,2,10,21,48.3100,48.2800,48.2600,48.3100,8703
2018,2,2,10,22,48.2900,48.2600,48.2600,48.3100,1977
2018,2,2,10,23,48.2900,48.3000,48.2900,48.3100,2500
2018,2,2,10,24,48.3050,48.2737,48.2600,48.3050,2047
2018,2,2,10,25,48.2900,48.2500,48.2500,48.3000,2495
2018,2,2,10,26,48.2300,48.2150,48.1800,48.2300,1600
2018,2,2,10,27,48.1900,48.1700,48.1700,48.1900,300
2018,2,2,10,28,48.1900,48.1700,48.1400,48.1900,3478
2018,2,2,10,29,48.1400,48.1700,48.1400,48.2000,3806
2018,2,2,10,30,48.1900,48.2800,48.1800,48.2900,13000
2018,2,2,10,31,48.2300,48.1200,48.1200,48.2300,2499
2018,2,2,10,32,48.1000,48.0800,48.0800,48.1400,7643
2018,2,2,10,33,48.0800,48.0700,48.0700,48.0800,807
2018,2,2,10,34,48.0550,48.0800,48.0200,48.0800,3603
2018,2,2,10,35,48.0600,48.0800,48.0400,48.0800,2348
2018,2,2,10,36,48.0900,48.0800,48.0800,48.1050,1057
2018,2,2,10,37,48.0700,48.0800,48.0600,48.1000,5300
2018,2,2,10,38,48.0800,48.1500,48.0500,48.1500,5736
2018,2,2,10,39,48.1300,48.0700,48.0600,48.1400,2100
2018,2,2,10,40,48.0400,48.0100,48.0100,48.0500,2204
2018,2,2,10,41,48.0151,48.0700,48.0151,48.0700,2500
2018,2,2,10,42,48.0400,48.0700,48.0100,48.0700,2734
2018,2,2,10,43,48.0800,48.0300,48.0300,48.0800,1303
2018,2,2,10,44,48.0200,48.0300,48.0000,48.0490,4200
2018,2,2,10,45,48.0200,47.9700,47.9700,48.0200,3500
2018,2,2,10,46,47.9700,47.9700,47.9500,47.9900,5710
2018,2,2,10,47,47.9700,47.9900,47.9500,47.9900,7183
2018,2,2,10,48,48.0000,48.0300,47.9700,48.0300,2600
2018,2,2,10,49,47.9900,47.9900,47.9800,48.0000,3100
2018,2,2,10,50,47.9700,47.9000,47.9000,47.9800,9291
2018,2,2,10,51,47.9500,47.9650,47.9250,47.9700,3791
2018,2,2,10,52,47.9600,47.9450,47.9400,47.9850,8020
2018,2,2,10,53,47.9450,47.9600,47.9300,47.9700,2348
2018,2,2,10,54,47.9501,47.9300,47.9300,47.9700,3745
2018,2,2,10,55,47.9200,47.9000,47.9000,47.9300,5020
2018,2,2,10,56,47.9050,47.9050,47.8800,47.9200,2080
2018,2,2,10,57,47.8900,47.8900,47.8900,47.8900,408
2018,2,2,10,58,47.8700,47.8400,47.8400,47.8750,3200
2018,2,2,10,59,47.8500,47.8650,47.8500,47.8800,1400
2018,2,2,11,0,47.8800,47.8700,47.8500,47.8800,4275
2018,2,2,11,1,47.8800,47.8200,47.7800,47.8800,8743
2018,2,2,11,2,47.8250,47.8300,47.8000,47.8300,1781
2018,2,2,11,3,47.8300,47.8400,47.8200,47.8400,2827
2018,2,2,11,4,47.8600,47.8600,47.8500,47.8800,2700
2018,2,2,11,5,47.8500,47.8100,47.8100,47.8500,2940
2018,2,2,11,6,47.8000,47.7898,47.7800,47.8000,800
2018,2,2,11,7,47.7800,47.7500,47.7400,47.8000,4941
2018,2,2,11,8,47.7230,47.7300,47.7230,47.7600,3007
2018,2,2,11,9,47.7400,47.7000,47.7000,47.7500,2725
2018,2,2,11,10,47.7100,47.8100,47.7100,47.8100,5400
2018,2,2,11,11,47.7900,47.7900,47.7600,47.7900,2900
2018,2,2,11,12,47.7800,47.7200,47.7200,47.7891,2622
2018,2,2,11,13,47.7300,47.7500,47.7200,47.7542,2803
2018,2,2,11,14,47.7400,47.7500,47.7400,47.7700,3531
2018,2,2,11,15,47.7450,47.7300,47.7300,47.7500,1800
2018,2,2,11,16,47.7300,47.6464,47.6464,47.7300,6533
2018,2,2,11,17,47.6300,47.5900,47.5800,47.6300,5952
2018,2,2,11,18,47.5900,47.6500,47.5700,47.6700,13128
2018,2,2,11,19,47.6599,47.6500,47.6500,47.6700,2350
