year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,158.6900,158.8700,158.3400,158.8700,32198
2018,2,2,9,32,158.8700,158.5600,158.5600,158.9200,906
2018,2,2,9,33,158.9100,158.5800,158.5800,158.9100,2588
2018,2,2,9,34,158.6200,158.5200,158.3750,158.6200,5304
2018,2,2,9,35,158.4546,158.5695,158.4200,158.6400,3630
2018,2,2,9,36,158.5600,158.4800,158.4800,158.5600,2850
2018,2,2,9,37,158.3900,158.5200,158.3900,158.6200,3653
2018,2,2,9,38,158.5100,158.5550,158.4800,158.6000,1392
2018,2,2,9,39,158.5000,158.4700,158.4700,158.5373,3540
2018,2,2,9,40,158.4700,158.5300,158.4700,158.5900,4500
2018,2,2,9,41,158.5900,158.4900,158.4800,158.5900,4977
2018,2,2,9,42,158.4900,158.4800,158.4800,158.6200,3700
2018,2,2,9,43,158.5700,158.8700,158.5200,158.8700,6003
2018,2,2,9,44,158.8800,158.9000,158.8800,158.9000,780
2018,2,2,9,45,158.9200,158.9400,158.9100,159.0000,10732
2018,2,2,9,46,158.9000,158.9300,158.8100,158.9300,2600
2018,2,2,9,47,158.9100,158.8600,158.8600,158.9631,3900
2018,2,2,9,48,158.9000,158.9200,158.9000,158.9200,800
2018,2,2,9,49,158.9638,159.1000,158.9500,159.1000,9122
2018,2,2,9,50,159.0600,159.1200,159.0200,159.1200,1919
2018,2,2,9,51,159.1100,159.0805,159.0805,159.1350,2899
2018,2,2,9,52,159.1500,159.2700,159.1500,159.2700,3615
2018,2,2,9,53,159.3100,159.4800,159.2700,159.4800,3471
2018,2,2,9,54,159.4000,159.4300,159.4000,159.5114,4613
2018,2,2,9,55,159.4534,159.2000,159.1700,159.4534,7288
2018,2,2,9,56,159.1900,159.1400,159.1400,159.2650,15877
2018,2,2,9,57,159.2956,159.2250,159.1700,159.2956,3550
2018,2,2,9,58,159.2000,159.3350,159.2000,159.3350,4010
2018,2,2,9,59,159.3600,159.4050,159.3000,159.4050,2500
2018,2,2,10,0,159.4300,159.4300,159.4300,159.4800,955
2018,2,2,10,1,159.4300,159.4100,159.3900,159.4500,4086
