year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,23.0800,23.0700,22.9800,23.1300,178308
2018,2,2,9,32,23.0800,23.0993,23.0300,23.1900,47492
2018,2,2,9,33,23.1000,23.1500,23.1000,23.1600,28899
2018,2,2,9,34,23.1500,23.1100,23.1100,23.1900,25945
2018,2,2,9,35,23.1100,23.1350,23.0800,23.1650,49118
2018,2,2,9,36,23.1400,23.1150,23.1100,23.1400,17977
2018,2,2,9,37,23.1100,23.0800,23.0600,23.1100,18045
2018,2,2,9,38,23.0700,23.0601,23.0500,23.0700,6364
2018,2,2,9,39,23.0700,23.0600,23.0400,23.0800,33980
2018,2,2,9,40,23.0550,23.0900,23.0550,23.0900,4925
2018,2,2,9,41,23.0900,23.0500,23.0500,23.0900,32910
2018,2,2,9,42,23.0600,23.0400,23.0400,23.0700,14832
2018,2,2,9,43,23.0400,23.0200,23.0100,23.0500,38398
2018,2,2,9,44,23.0150,23.0050,22.9900,23.0150,14291
2018,2,2,9,45,23.0033,22.9750,22.9750,23.0033,10235
2018,2,2,9,46,22.9750,22.9650,22.9400,22.9900,46758
2018,2,2,9,47,22.9600,22.9600,22.9600,22.9900,27133
2018,2,2,9,48,22.9600,22.9400,22.9250,22.9650,23025
2018,2,2,9,49,22.9450,22.9600,22.9450,22.9800,10012
2018,2,2,9,50,22.9600,22.9750,22.9600,22.9750,7597
2018,2,2,9,51,22.9700,22.9750,22.9600,22.9800,15217
2018,2,2,9,52,22.9750,22.9784,22.9600,22.9800,17183
2018,2,2,9,53,22.9700,22.9750,22.9700,22.9800,6882
2018,2,2,9,54,22.9700,22.9600,22.9400,22.9700,14169
2018,2,2,9,55,22.9500,22.9500,22.9440,22.9600,9331
2018,2,2,9,56,22.9500,22.9800,22.9500,22.9800,7050
2018,2,2,9,57,22.9800,22.9600,22.9500,22.9800,11094
2018,2,2,9,58,22.9600,22.9600,22.9600,22.9850,16365
2018,2,2,9,59,22.9600,22.9500,22.9300,22.9600,38789
2018,2,2,10,0,22.9500,22.9700,22.9500,22.9700,6488
2018,2,2,10,1,22.9732,22.9300,22.9200,22.9732,14476
2018,2,2,10,2,22.9300,22.8600,22.8600,22.9300,33153
2018,2,2,10,3,22.8700,22.8700,22.8600,22.8800,13831
2018,2,2,10,4,22.8800,22.8500,22.8500,22.8800,21836
2018,2,2,10,5,22.8500,22.8400,22.8200,22.8500,20368
2018,2,2,10,6,22.8300,22.8100,22.7800,22.8300,41653
2018,2,2,10,7,22.8100,22.8600,22.8100,22.8600,14595
2018,2,2,10,8,22.8700,22.8701,22.8600,22.8800,17078
2018,2,2,10,9,22.8800,22.8800,22.8700,22.8900,20922
2018,2,2,10,10,22.8800,22.9100,22.8500,22.9100,21275
2018,2,2,10,11,22.9100,22.8964,22.8900,22.9100,15513
2018,2,2,10,12,22.8952,22.8750,22.8700,22.8952,17450
2018,2,2,10,13,22.8750,22.8950,22.8750,22.9000,20142
2018,2,2,10,14,22.8950,22.8693,22.8600,22.8950,18790
2018,2,2,10,15,22.8700,22.9000,22.8700,22.9000,17076
2018,2,2,10,16,22.9000,22.9000,22.8900,22.9000,10557
2018,2,2,10,17,22.8900,22.8750,22.8700,22.8900,9460
2018,2,2,10,18,22.8750,22.8700,22.8700,22.8900,23904
2018,2,2,10,19,22.8800,22.8700,22.8600,22.8850,14089
2018,2,2,10,20,22.8700,22.8750,22.8700,22.8850,9732
2018,2,2,10,21,22.8800,22.8850,22.8800,22.8950,9430
2018,2,2,10,22,22.8850,22.8800,22.8700,22.8950,51365
2018,2,2,10,23,22.8800,22.8900,22.8700,22.8950,24498
2018,2,2,10,24,22.8970,22.9000,22.8800,22.9100,12501
2018,2,2,10,25,22.9050,22.8900,22.8900,22.9200,17814
2018,2,2,10,26,22.8900,22.9000,22.8900,22.9000,6330
2018,2,2,10,27,22.8900,22.8993,22.8700,22.9000,29227
2018,2,2,10,28,22.8900,22.8700,22.8700,22.9000,9800
2018,2,2,10,29,22.8800,22.8900,22.8725,22.8900,9046
2018,2,2,10,30,22.8900,22.8800,22.8800,22.8950,13948
2018,2,2,10,31,22.8850,22.8650,22.8650,22.8850,4556
2018,2,2,10,32,22.8700,22.8700,22.8650,22.8800,8196
2018,2,2,10,33,22.8700,22.8700,22.8700,22.8750,1500
