year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,26.0300,26.0300,26.0300,26.0300,14216
2018,2,2,9,31,25.9600,25.9600,25.9600,25.9600,100
2018,2,2,9,32,25.9700,25.9400,25.9100,26.0000,2800
2018,2,2,9,33,25.9500,25.9700,25.9300,25.9800,1500
2018,2,2,9,34,25.9500,25.8500,25.8300,25.9600,7512
2018,2,2,9,35,25.8565,25.8700,25.8400,25.8800,3213
2018,2,2,9,36,25.8800,25.8900,25.8700,25.8900,900
2018,2,2,9,37,25.8800,25.8900,25.8500,25.8900,5048
2018,2,2,9,38,25.8900,25.8700,25.8600,25.8900,1100
2018,2,2,9,39,25.8800,25.8500,25.8400,25.8900,2400
2018,2,2,9,40,25.8500,25.8300,25.8300,25.8500,737
2018,2,2,9,41,25.8500,25.9000,25.8100,25.9000,8346
2018,2,2,9,42,25.9100,25.9600,25.9100,25.9999,8286
2018,2,2,9,43,25.9700,25.9800,25.9700,26.0000,5201
2018,2,2,9,44,25.9800,25.9800,25.9700,25.9900,2770
2018,2,2,9,45,25.9850,26.0100,25.9800,26.0300,2900
2018,2,2,9,46,26.0050,26.0200,26.0050,26.0300,4100
2018,2,2,9,47,26.0200,26.0650,26.0200,26.0700,6100
2018,2,2,9,48,26.0600,26.0800,26.0600,26.0800,3262
2018,2,2,9,49,26.0750,26.0600,26.0500,26.0800,1501
2018,2,2,9,50,26.0600,26.0800,26.0600,26.0850,1600
2018,2,2,9,51,26.0800,26.0200,26.0200,26.0850,3628
2018,2,2,9,52,26.0200,26.0900,26.0100,26.1000,7547
2018,2,2,9,53,26.0900,26.0400,26.0200,26.0900,4900
2018,2,2,9,54,26.0400,26.0200,26.0000,26.0400,6900
2018,2,2,9,55,26.0300,26.0600,26.0300,26.0700,4300
2018,2,2,9,56,26.0500,26.0500,26.0150,26.1000,6367
2018,2,2,9,57,26.0500,26.0200,26.0150,26.0700,8210
2018,2,2,9,58,26.0300,26.0100,26.0100,26.0300,4300
2018,2,2,9,59,26.0000,25.9550,25.9550,26.0000,5798
2018,2,2,10,0,25.9500,25.9800,25.9500,26.0500,16746
2018,2,2,10,1,25.9800,25.9900,25.9300,26.0100,13839
2018,2,2,10,2,25.9900,26.0200,25.9800,26.0200,2050
2018,2,2,10,3,26.0300,26.0100,26.0000,26.0300,2500
2018,2,2,10,4,26.0100,25.9750,25.9700,26.0100,1798
2018,2,2,10,5,25.9700,25.9400,25.9300,25.9750,5800
2018,2,2,10,6,25.9400,25.9700,25.9300,25.9700,4237
2018,2,2,10,7,25.9900,26.0000,25.9650,26.0000,4522
2018,2,2,10,8,26.0100,25.9800,25.9700,26.0100,2200
2018,2,2,10,9,25.9900,25.9800,25.9800,26.0100,3500
2018,2,2,10,10,25.9800,25.9500,25.9300,25.9800,7578
2018,2,2,10,11,25.9400,25.9050,25.9000,25.9400,13963
2018,2,2,10,12,25.9100,25.9100,25.9000,25.9200,6300
2018,2,2,10,13,25.9100,25.9100,25.9100,25.9300,4615
2018,2,2,10,14,25.9100,25.8600,25.8550,25.9100,6406
2018,2,2,10,15,25.8650,25.8600,25.8600,25.8700,1100
2018,2,2,10,16,25.8650,25.8700,25.8500,25.8800,2700
2018,2,2,10,17,25.8700,25.8550,25.8500,25.8700,2205
2018,2,2,10,18,25.8554,25.8500,25.8500,25.8554,1000
2018,2,2,10,19,25.8400,25.8100,25.8100,25.8400,1200
2018,2,2,10,20,25.8200,25.8200,25.8100,25.8400,5782
2018,2,2,10,21,25.8200,25.8300,25.8100,25.8300,1950
2018,2,2,10,22,25.8300,25.8300,25.8300,25.8350,1100
2018,2,2,10,23,25.8300,25.8600,25.8300,25.8700,4362
2018,2,2,10,24,25.8600,25.8500,25.8500,25.8600,1100
2018,2,2,10,25,25.8500,25.8000,25.8000,25.8500,3300
2018,2,2,10,26,25.8000,25.8200,25.8000,25.8200,3600
2018,2,2,10,27,25.8100,25.8400,25.8100,25.8450,4061
2018,2,2,10,28,25.8400,25.8000,25.7900,25.8400,1604
2018,2,2,10,29,25.7950,25.8300,25.7900,25.8300,6300
2018,2,2,10,30,25.8300,25.8050,25.8050,25.8300,1300
2018,2,2,10,31,25.8000,25.8000,25.8000,25.8150,3187
2018,2,2,10,32,25.8000,25.7950,25.7800,25.8000,6522
