year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,161.7000,161.6200,161.6200,161.7000,93929
2018,2,2,9,31,161.7650,161.6350,161.3000,161.7650,55747
2018,2,2,9,32,161.6200,161.6700,161.6000,161.8600,6901
2018,2,2,9,33,161.6300,161.5299,161.3100,161.6300,12546
2018,2,2,9,34,161.5000,161.1900,161.1900,161.5000,11686
2018,2,2,9,35,161.1700,160.9900,160.7000,161.1800,39916
2018,2,2,9,36,160.9800,160.6000,160.5400,160.9800,31439
2018,2,2,9,37,160.5200,160.4100,160.4000,160.6600,21211
2018,2,2,9,38,160.4800,160.5700,160.3000,160.6400,13755
2018,2,2,9,39,160.4900,160.4900,160.4000,160.6900,13061
2018,2,2,9,40,160.4900,160.5020,160.4650,160.6700,10651
2018,2,2,9,41,160.5100,160.4000,160.3500,160.5300,20003
2018,2,2,9,42,160.4168,160.6250,160.4000,160.6900,13831
2018,2,2,9,43,160.6000,160.8400,160.5500,160.8500,8066
2018,2,2,9,44,160.7940,160.8200,160.7000,160.8500,10442
2018,2,2,9,45,160.8550,160.9600,160.8200,161.1200,11678
2018,2,2,9,46,160.9450,160.9600,160.8500,161.0300,12374
2018,2,2,9,47,160.9800,160.8300,160.8200,161.0200,14861
2018,2,2,9,48,160.9100,160.8629,160.8600,161.1500,16499
2018,2,2,9,49,160.9274,160.9500,160.8900,161.2000,10962
2018,2,2,9,50,160.9845,161.1110,160.9100,161.1800,6412
2018,2,2,9,51,161.2199,161.0750,160.9700,161.2199,7828
2018,2,2,9,52,161.1300,161.2600,161.0700,161.2900,7512
2018,2,2,9,53,161.3000,161.2436,161.1900,161.3800,9096
2018,2,2,9,54,161.2500,161.0400,161.0400,161.2700,7401
2018,2,2,9,55,161.0400,161.0229,161.0100,161.1000,5066
2018,2,2,9,56,161.0000,161.0500,160.8900,161.0500,14331
2018,2,2,9,57,161.0600,160.9700,160.9500,161.1250,5856
2018,2,2,9,58,160.9650,161.0100,160.9400,161.1200,8004
2018,2,2,9,59,161.0400,161.0600,160.9800,161.0600,2250
2018,2,2,10,0,161.0100,161.0600,160.9800,161.1000,4214
2018,2,2,10,1,161.0500,160.8900,160.8900,161.0850,4713
2018,2,2,10,2,160.9068,160.8600,160.8000,160.9316,6039
2018,2,2,10,3,160.8000,160.7700,160.7700,160.8739,3920
2018,2,2,10,4,160.7700,160.7900,160.6100,160.8400,8330
2018,2,2,10,5,160.8611,160.8200,160.7200,160.8900,8310
2018,2,2,10,6,160.8500,160.6700,160.5700,160.8500,13317
2018,2,2,10,7,160.7500,160.9500,160.7500,160.9500,9077
2018,2,2,10,8,160.9800,161.1100,160.8400,161.1100,6363
2018,2,2,10,9,161.1428,161.0700,160.9700,161.1700,6950
2018,2,2,10,10,161.0700,161.0800,160.8350,161.0800,7331
