year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,74.6000,74.6400,74.4300,74.6450,12279
2018,2,2,9,32,74.6100,74.8891,74.6100,74.9450,6744
2018,2,2,9,33,74.9200,75.0900,74.8800,75.0900,15480
2018,2,2,9,34,75.0900,75.0200,74.9800,75.2850,9947
2018,2,2,9,35,74.9700,75.0100,74.9700,75.1000,3105
2018,2,2,9,36,75.0800,75.1500,74.9650,75.2200,5200
2018,2,2,9,37,75.1500,75.1400,75.0300,75.1800,1812
2018,2,2,9,38,75.1400,75.1050,75.1050,75.1400,727
2018,2,2,9,39,75.1098,75.1700,75.1000,75.2500,2403
2018,2,2,9,40,75.1600,75.1200,75.1200,75.1800,1020
2018,2,2,9,41,75.1500,75.0400,75.0200,75.1500,1323
2018,2,2,9,42,75.0600,75.0900,75.0600,75.1700,1951
2018,2,2,9,43,75.0500,74.9800,74.9800,75.1500,4830
2018,2,2,9,44,74.9800,74.8900,74.8300,74.9800,4790
2018,2,2,9,45,74.8900,74.8499,74.8000,74.8900,659
2018,2,2,9,46,74.8600,74.9190,74.7900,74.9190,1533
2018,2,2,9,47,74.9000,74.9200,74.8965,74.9200,803
2018,2,2,9,48,75.0000,74.9700,74.9700,75.0224,1700
2018,2,2,9,49,74.9800,75.0000,74.9800,75.0100,1200
2018,2,2,9,50,74.9900,74.9400,74.8900,75.0300,9200
2018,2,2,9,51,74.9700,75.0800,74.9700,75.0800,4251
2018,2,2,9,52,75.1000,75.0890,75.0000,75.1100,2626
2018,2,2,9,53,75.0500,75.1000,75.0400,75.1600,11744
2018,2,2,9,54,75.1300,75.0400,75.0400,75.1300,1692
2018,2,2,9,55,75.0600,75.0846,75.0600,75.1000,2455
2018,2,2,9,56,75.0700,75.1000,75.0700,75.1100,1653
2018,2,2,9,57,75.1400,75.1500,75.1100,75.1500,1420
2018,2,2,9,58,75.1600,75.2400,75.1600,75.2900,3589
2018,2,2,9,59,75.2300,75.2790,75.2300,75.2790,6644
2018,2,2,10,0,75.2500,75.1600,75.1600,75.2500,2255
2018,2,2,10,1,75.1500,75.0650,75.0650,75.1500,2557
2018,2,2,10,2,75.0400,75.0200,75.0000,75.0600,3339
2018,2,2,10,3,75.0400,75.0300,75.0300,75.0700,1300
2018,2,2,10,4,75.0100,74.9600,74.9200,75.0100,2841
2018,2,2,10,5,74.9500,74.9300,74.9300,74.9500,1490
2018,2,2,10,6,74.9114,74.9800,74.9114,75.0000,6996
2018,2,2,10,7,75.0100,75.0300,75.0000,75.0800,7523
2018,2,2,10,8,75.0586,75.0200,75.0200,75.0586,1172
2018,2,2,10,9,75.0400,74.9900,74.9700,75.0600,5762
2018,2,2,10,10,74.9500,74.9050,74.8900,74.9500,2015
2018,2,2,10,11,74.8900,74.8400,74.8400,74.9000,4200
2018,2,2,10,12,74.8600,74.8600,74.8500,74.8800,3000
2018,2,2,10,13,74.8400,74.8300,74.8100,74.8500,5064
2018,2,2,10,14,74.8200,74.7900,74.7800,74.8350,5000
2018,2,2,10,15,74.8100,74.8300,74.8000,74.8300,1835
2018,2,2,10,16,74.8300,74.9400,74.8300,74.9400,4923
2018,2,2,10,17,74.9300,74.9000,74.9000,74.9600,4321
2018,2,2,10,18,74.9000,74.8300,74.8300,74.9000,3700
2018,2,2,10,19,74.8200,74.8300,74.7900,74.8300,1621
2018,2,2,10,20,74.8200,74.8524,74.8100,74.8524,1000
2018,2,2,10,21,74.8500,74.7900,74.7900,74.8500,1200
2018,2,2,10,22,74.7900,74.8500,74.7900,74.8500,945
2018,2,2,10,23,74.8800,74.8700,74.8600,74.9000,2551
2018,2,2,10,24,74.8900,74.8400,74.8400,74.9100,2000
2018,2,2,10,25,74.8500,74.8800,74.8500,74.8800,1900
2018,2,2,10,26,74.8724,74.9200,74.8500,74.9200,1592
2018,2,2,10,27,74.9300,74.9500,74.9100,74.9500,1000
2018,2,2,10,28,74.9200,74.8600,74.8600,74.9200,1600
2018,2,2,10,29,74.8600,74.9200,74.8450,74.9200,2223
2018,2,2,10,30,74.9100,74.8600,74.8200,74.9100,3429
2018,2,2,10,31,74.8400,74.8500,74.8400,74.8700,2305
2018,2,2,10,32,74.8600,74.8600,74.8600,74.8700,706
2018,2,2,10,33,74.8500,74.8300,74.8300,74.8500,1435
2018,2,2,10,34,74.8200,74.8700,74.8000,74.8900,2116
2018,2,2,10,35,74.8600,74.9100,74.8600,74.9100,1148
2018,2,2,10,36,74.9300,74.9100,74.9000,74.9300,1806
2018,2,2,10,37,74.9186,74.9400,74.9186,74.9700,3280
2018,2,2,10,38,74.9400,74.9400,74.8900,74.9400,3189
2018,2,2,10,39,74.9300,74.9300,74.9200,74.9300,700
2018,2,2,10,40,74.8700,74.8699,74.8699,74.8700,339
2018,2,2,10,41,74.8500,74.8200,74.8200,74.8908,3515
