year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,119.9000,119.9000,119.9000,119.9000,6129
2018,2,2,9,31,119.8100,119.6000,119.0370,120.1000,10624
2018,2,2,9,32,119.6600,119.6600,119.6600,119.6600,150
2018,2,2,9,33,119.6200,119.5800,119.0800,119.6200,4128
2018,2,2,9,34,119.6000,119.4150,119.2950,119.6000,2038
2018,2,2,9,36,119.5900,119.6250,119.4900,119.8700,6719
2018,2,2,9,37,119.4901,119.5000,119.4900,119.7200,1700
2018,2,2,9,38,119.4900,119.5400,119.3400,119.5400,885
2018,2,2,9,39,119.4650,119.1100,119.1100,119.4650,4500
2018,2,2,9,40,119.2500,119.3500,119.1100,119.3500,400
2018,2,2,9,41,119.2800,119.3300,119.2400,119.3700,2300
2018,2,2,9,42,119.4500,119.2925,119.2925,119.5000,1900
2018,2,2,9,43,119.3700,118.9300,118.9300,119.3850,18823
2018,2,2,9,44,119.0450,118.8410,118.8400,119.0600,600
2018,2,2,9,45,118.8500,118.8650,118.8500,119.1000,2637
2018,2,2,9,46,118.9850,119.0200,118.8900,119.0300,2400
2018,2,2,9,47,118.8900,118.5700,118.5600,118.9400,6898
2018,2,2,9,48,118.6300,118.6400,118.6100,118.6400,600
2018,2,2,9,49,118.7200,118.6800,118.6200,118.8400,9535
2018,2,2,9,50,118.7000,118.6750,118.6750,118.7000,600
2018,2,2,9,51,118.6950,118.9375,118.6500,119.0100,8305
2018,2,2,9,52,118.9350,118.9900,118.8800,119.0200,1800
2018,2,2,9,53,119.0500,119.2600,118.9850,119.2600,2601
2018,2,2,9,54,119.2700,119.1900,119.1900,119.2850,3093
2018,2,2,9,55,119.1900,119.1500,118.9900,119.1900,1700
2018,2,2,9,56,119.2300,119.2600,119.2050,119.2700,1400
2018,2,2,9,57,119.2550,119.2450,119.2450,119.2550,600
2018,2,2,9,58,119.3300,119.2750,119.2600,119.3600,1100
2018,2,2,9,59,119.3600,119.3750,119.3500,119.4550,5710
2018,2,2,10,0,119.4300,119.2800,119.2800,119.4300,1500
2018,2,2,10,1,119.3400,119.0900,118.9900,119.3400,4000
2018,2,2,10,2,119.0200,119.0750,119.0100,119.1000,682
2018,2,2,10,3,119.1200,119.1800,119.1200,119.3200,11145
2018,2,2,10,4,119.0100,118.8500,118.8500,119.0200,1751
