year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,25.3800,25.4200,25.3700,25.4200,53371
2018,2,2,9,31,25.3850,25.4625,25.3800,25.4900,48325
2018,2,2,9,32,25.4700,25.5000,25.4500,25.5399,119205
2018,2,2,9,33,25.5000,25.3700,25.3600,25.5100,48265
2018,2,2,9,34,25.3750,25.1700,25.1700,25.3800,32886
2018,2,2,9,35,25.1900,25.1400,25.1100,25.2000,59347
2018,2,2,9,36,25.1400,25.0500,25.0400,25.1400,57924
2018,2,2,9,37,25.0400,25.1150,25.0250,25.1200,33320
2018,2,2,9,38,25.1150,25.0735,25.0700,25.1150,32085
2018,2,2,9,39,25.0709,25.0900,25.0600,25.1170,31353
2018,2,2,9,40,25.1000,25.1700,25.1000,25.1800,20175
2018,2,2,9,41,25.1700,25.2400,25.1400,25.2400,22760
2018,2,2,9,42,25.2350,25.1900,25.1900,25.2700,17694
2018,2,2,9,43,25.1850,25.3050,25.1700,25.3099,44115
2018,2,2,9,44,25.3100,25.2300,25.2300,25.3100,40239
2018,2,2,9,45,25.2300,25.2400,25.2200,25.2800,11330
2018,2,2,9,46,25.2400,25.1600,25.1400,25.2400,30826
2018,2,2,9,47,25.1500,25.1400,25.1200,25.1800,40970
2018,2,2,9,48,25.1400,25.1350,25.1200,25.1600,15343
2018,2,2,9,49,25.1400,25.1300,25.1250,25.1800,15609
2018,2,2,9,50,25.1200,25.1700,25.1100,25.1700,16591
2018,2,2,9,51,25.1600,25.1700,25.1600,25.2300,23501
2018,2,2,9,52,25.1700,25.1900,25.1300,25.1900,16190
2018,2,2,9,53,25.1700,25.1200,25.1100,25.1771,28203
2018,2,2,9,54,25.1200,25.1400,25.0900,25.1400,32988
2018,2,2,9,55,25.1449,24.9600,24.9600,25.1600,172820
2018,2,2,9,56,24.9500,24.9900,24.9500,25.0152,43286
2018,2,2,9,57,24.9801,24.9500,24.9336,24.9900,29888
2018,2,2,9,58,24.9500,24.9950,24.9500,25.0300,18275
2018,2,2,9,59,25.0000,24.9799,24.9700,25.0100,46508
2018,2,2,10,0,24.9750,24.9600,24.9300,24.9850,22752
2018,2,2,10,1,24.9500,25.0300,24.9350,25.0500,28285
2018,2,2,10,2,25.0300,25.0750,25.0300,25.1059,30807
2018,2,2,10,3,25.0800,25.0300,25.0100,25.0900,20312
2018,2,2,10,4,25.0245,25.0600,25.0150,25.0600,21450
2018,2,2,10,5,25.0400,24.9900,24.9800,25.0500,35163
2018,2,2,10,6,24.9900,25.0000,24.9700,25.0200,59060
2018,2,2,10,7,25.0000,25.0900,25.0000,25.0906,20567
2018,2,2,10,8,25.1000,25.1267,25.0700,25.1300,19209
2018,2,2,10,9,25.1300,25.1442,25.1100,25.1600,14298
2018,2,2,10,10,25.1400,25.1200,25.0700,25.1500,18875
2018,2,2,10,11,25.1012,25.1500,25.1000,25.1500,19022
2018,2,2,10,12,25.1500,25.2241,25.1500,25.2300,39749
2018,2,2,10,13,25.2200,25.2100,25.1900,25.2200,12110
2018,2,2,10,14,25.2100,25.1750,25.1750,25.2300,16700
2018,2,2,10,15,25.1700,25.1600,25.1500,25.2100,15301
2018,2,2,10,16,25.1600,25.1800,25.1600,25.1900,12700
2018,2,2,10,17,25.1800,25.1400,25.1400,25.1800,9591
2018,2,2,10,18,25.1500,25.1600,25.1200,25.1600,11121
2018,2,2,10,19,25.1600,25.0600,25.0600,25.1600,13171
2018,2,2,10,20,25.0650,25.1100,25.0650,25.1300,11124
2018,2,2,10,21,25.1000,25.0600,25.0300,25.1000,50716
2018,2,2,10,22,25.0550,25.0400,25.0400,25.0700,36056
2018,2,2,10,23,25.0400,25.0300,25.0201,25.0400,16732
2018,2,2,10,24,25.0335,25.0300,25.0300,25.0400,20619
2018,2,2,10,25,25.0400,25.0200,25.0200,25.0400,50300
2018,2,2,10,26,25.0200,25.0150,25.0050,25.0200,57545
2018,2,2,10,27,25.0200,25.0400,25.0150,25.0400,21527
2018,2,2,10,28,25.0400,25.0600,25.0300,25.0600,10616
2018,2,2,10,29,25.0550,25.1100,25.0550,25.1200,15484
2018,2,2,10,30,25.1100,25.0700,25.0600,25.1150,10433
2018,2,2,10,31,25.0700,25.0400,25.0400,25.0700,3675
2018,2,2,10,32,25.0500,25.0550,25.0450,25.0700,14099
2018,2,2,10,33,25.0561,25.0300,25.0300,25.0600,21842
2018,2,2,10,34,25.0300,25.0500,25.0100,25.0600,22421
2018,2,2,10,35,25.0550,25.0800,25.0400,25.0800,15438
2018,2,2,10,36,25.0800,25.1100,25.0750,25.1200,20921
2018,2,2,10,37,25.1100,25.1400,25.1000,25.1400,14853
2018,2,2,10,38,25.1400,25.2100,25.1357,25.2300,96680
2018,2,2,10,39,25.2100,25.1400,25.1210,25.2100,31915
2018,2,2,10,40,25.1300,25.1000,25.1000,25.1300,22018
2018,2,2,10,41,25.1100,25.1200,25.1000,25.1300,43295
2018,2,2,10,42,25.1200,25.1300,25.1100,25.1300,8535
2018,2,2,10,43,25.1300,25.0700,25.0700,25.1300,15967
2018,2,2,10,44,25.0750,25.0300,25.0300,25.0800,33930
2018,2,2,10,45,25.0300,25.0300,25.0200,25.0400,16385
2018,2,2,10,46,25.0200,24.9800,24.9650,25.0246,50013
2018,2,2,10,47,24.9870,24.9600,24.9500,24.9899,31019
2018,2,2,10,48,24.9700,24.9599,24.9500,24.9700,3980
2018,2,2,10,49,24.9500,24.9600,24.9400,24.9630,15595
2018,2,2,10,50,24.9600,24.9500,24.9500,24.9700,25934
2018,2,2,10,51,24.9400,24.9550,24.9250,24.9600,25793
2018,2,2,10,52,24.9550,24.9599,24.9500,24.9900,15121
2018,2,2,10,53,24.9550,24.9600,24.9400,24.9700,11050
2018,2,2,10,54,24.9650,24.9499,24.9400,24.9650,9272
2018,2,2,10,55,24.9500,24.8500,24.8200,24.9500,145374
2018,2,2,10,56,24.8500,24.8600,24.8300,24.8600,26871
2018,2,2,10,57,24.8600,24.8550,24.8500,24.8670,20100
2018,2,2,10,58,24.8500,24.8500,24.8500,24.8600,13919
2018,2,2,10,59,24.8500,24.8750,24.8450,24.8900,47786
2018,2,2,11,0,24.8650,24.8800,24.8650,24.8900,17155
2018,2,2,11,1,24.8850,24.8101,24.8101,24.8850,29014
2018,2,2,11,2,24.8150,24.8250,24.8100,24.8300,9000
2018,2,2,11,3,24.8200,24.8200,24.8050,24.8299,29848
2018,2,2,11,4,24.8100,24.7700,24.7700,24.8100,16936
2018,2,2,11,5,24.7700,24.7544,24.7500,24.7800,29998
2018,2,2,11,6,24.7600,24.7700,24.7550,24.7900,21719
2018,2,2,11,7,24.7746,24.7550,24.7550,24.7800,31082
2018,2,2,11,8,24.7534,24.7250,24.7200,24.7600,34058
2018,2,2,11,9,24.7300,24.7400,24.7130,24.7400,32352
2018,2,2,11,10,24.7450,24.8300,24.7350,24.8400,47612
2018,2,2,11,11,24.8200,24.8550,24.7900,24.8600,63969
2018,2,2,11,12,24.8500,24.9402,24.8500,24.9700,100094
2018,2,2,11,13,24.9450,24.9100,24.9000,24.9500,54743
2018,2,2,11,14,24.9100,24.9194,24.8900,24.9200,23190
2018,2,2,11,15,24.9100,24.9000,24.8900,24.9100,16649
2018,2,2,11,16,24.9050,24.8800,24.8800,24.9400,27559
2018,2,2,11,17,24.8900,24.9000,24.8800,24.9200,30451
2018,2,2,11,18,24.9000,24.8946,24.8800,24.9050,11092
2018,2,2,11,19,24.8950,24.8995,24.8950,24.9050,8103
2018,2,2,11,20,24.9000,24.8900,24.8854,24.9050,17793
2018,2,2,11,21,24.8900,24.8501,24.8500,24.8900,14292
2018,2,2,11,22,24.8401,24.8400,24.8400,24.8799,14700
2018,2,2,11,23,24.8400,24.8750,24.8400,24.8758,11461
2018,2,2,11,24,24.8730,24.9050,24.8730,24.9100,12406
2018,2,2,11,25,24.9050,24.8900,24.8900,24.9200,20282
2018,2,2,11,26,24.9000,24.9150,24.9000,24.9200,26000
2018,2,2,11,27,24.9200,24.9000,24.9000,24.9200,6605
2018,2,2,11,28,24.9000,24.9000,24.8700,24.9000,13147
2018,2,2,11,29,24.9030,24.9850,24.9030,25.0450,250052
2018,2,2,11,30,24.9862,24.9800,24.9600,25.0000,54657
2018,2,2,11,31,24.9800,24.9830,24.9800,24.9900,16816
2018,2,2,11,32,24.9850,25.0000,24.9799,25.0000,13904
2018,2,2,11,33,25.0000,25.0199,24.9900,25.0200,15676
2018,2,2,11,34,25.0100,25.0100,25.0050,25.0300,22195
2018,2,2,11,35,25.0150,25.0600,25.0145,25.0600,21594
2018,2,2,11,36,25.0700,25.0600,25.0500,25.0700,17024
2018,2,2,11,37,25.0400,25.0200,25.0150,25.0400,9201
2018,2,2,11,38,25.0200,25.0050,25.0050,25.0200,6475
2018,2,2,11,39,25.0050,25.0300,25.0000,25.0400,19387
2018,2,2,11,40,25.0400,25.0300,25.0200,25.0650,28403
2018,2,2,11,41,25.0300,25.0695,25.0300,25.0700,23279
2018,2,2,11,42,25.0700,25.0700,25.0600,25.0750,10391
2018,2,2,11,43,25.0600,25.0300,25.0300,25.0600,13171
2018,2,2,11,44,25.0300,25.0034,25.0000,25.0300,9820
2018,2,2,11,45,25.0000,24.9900,24.9800,25.0100,10461
2018,2,2,11,46,24.9800,24.9700,24.9650,25.0000,33763
2018,2,2,11,47,24.9800,24.9900,24.9700,24.9900,7181
2018,2,2,11,48,24.9900,24.9700,24.9700,25.0000,7018
2018,2,2,11,49,24.9700,24.9650,24.9600,24.9700,6100
2018,2,2,11,50,24.9600,24.9200,24.9200,24.9600,30284
2018,2,2,11,51,24.9250,24.9050,24.9000,24.9350,20856
2018,2,2,11,52,24.9000,24.8867,24.8800,24.9150,27835
2018,2,2,11,53,24.8810,24.9042,24.8800,24.9100,14389
2018,2,2,11,54,24.9050,24.9150,24.8850,24.9200,11374
2018,2,2,11,55,24.9181,24.9300,24.9100,24.9343,10919
2018,2,2,11,56,24.9200,24.8650,24.8600,24.9200,24080
2018,2,2,11,57,24.8650,24.8750,24.8650,24.8851,9079
2018,2,2,11,58,24.8700,24.8600,24.8600,24.8700,1700
2018,2,2,11,59,24.8600,24.8500,24.8400,24.8600,12410
2018,2,2,12,0,24.8400,24.7900,24.7900,24.8400,17429
2018,2,2,12,1,24.7900,24.7725,24.7536,24.7900,29771
2018,2,2,12,2,24.7800,24.7950,24.7750,24.8000,19602
2018,2,2,12,3,24.7900,24.8150,24.7900,24.8200,14888
2018,2,2,12,4,24.8200,24.8348,24.8100,24.8350,25758
2018,2,2,12,5,24.8400,24.8310,24.8300,24.8600,15216
2018,2,2,12,6,24.8300,24.8450,24.8300,24.8500,2800
2018,2,2,12,7,24.8450,24.8500,24.8400,24.8600,8504
2018,2,2,12,8,24.8500,24.8899,24.8400,24.8899,6533
2018,2,2,12,9,24.8800,24.8700,24.8600,24.8800,4500
2018,2,2,12,10,24.8800,24.9200,24.8750,24.9699,108380
2018,2,2,12,11,24.9200,24.9400,24.9100,24.9400,21356
2018,2,2,12,12,24.9450,24.9599,24.9450,24.9800,40557
2018,2,2,12,13,24.9600,24.9752,24.9550,25.0100,34193
2018,2,2,12,14,24.9800,24.9900,24.9600,25.0199,17410
2018,2,2,12,15,24.9861,24.9600,24.9450,24.9861,24173
2018,2,2,12,16,24.9600,24.9800,24.9450,24.9800,13775
2018,2,2,12,17,24.9700,24.9400,24.9400,24.9700,9090
2018,2,2,12,18,24.9300,24.9300,24.9250,24.9400,8725
2018,2,2,12,19,24.9200,24.9010,24.9000,24.9300,9012
2018,2,2,12,20,24.9000,24.9000,24.9000,24.9100,2000
2018,2,2,12,21,24.9050,24.9050,24.8900,24.9100,12836
2018,2,2,12,22,24.9000,24.8900,24.8850,24.9000,5100
2018,2,2,12,23,24.8900,24.8900,24.8750,24.8950,12340
2018,2,2,12,24,24.8950,24.8950,24.8950,24.9100,33753
2018,2,2,12,25,24.9000,24.8850,24.8850,24.9000,2000
2018,2,2,12,26,24.8800,24.8799,24.8650,24.8850,11993
2018,2,2,12,27,24.8700,24.8586,24.8501,24.8800,7698
2018,2,2,12,28,24.8550,24.8700,24.8550,24.8700,11040
2018,2,2,12,29,24.8700,24.8600,24.8500,24.8700,4509
2018,2,2,12,30,24.8700,24.8800,24.8600,24.8800,6511
2018,2,2,12,31,24.8700,24.8700,24.8650,24.8790,8978
2018,2,2,12,32,24.8650,24.8642,24.8600,24.8700,1700
2018,2,2,12,33,24.8700,24.8652,24.8600,24.8700,2760
2018,2,2,12,34,24.8700,24.8700,24.8600,24.8700,5917
2018,2,2,12,35,24.8700,24.8644,24.8644,24.8800,4600
