year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,146.6900,146.6900,146.6900,146.6900,10273
2018,2,2,9,31,146.6350,146.3200,146.3200,146.7600,2331
2018,2,2,9,32,146.4900,146.6100,146.4400,146.6100,2000
2018,2,2,9,33,146.5500,146.4500,146.4500,146.5900,3660
2018,2,2,9,34,146.5250,146.4700,146.3600,146.6551,3074
2018,2,2,9,35,146.6400,146.5200,146.4900,146.6400,600
2018,2,2,9,36,146.4700,146.6300,146.4400,146.6750,1600
2018,2,2,9,37,146.6300,146.9600,146.6200,146.9600,1099
2018,2,2,9,38,146.9700,146.8900,146.8900,147.0100,900
2018,2,2,9,39,146.8900,146.5800,146.5800,146.8900,900
2018,2,2,9,40,146.5800,146.5100,146.5100,146.7700,5892
2018,2,2,9,41,146.5000,146.4600,146.4500,146.5500,2010
2018,2,2,9,42,146.4500,146.6500,146.4500,146.8200,4580
2018,2,2,9,43,146.6100,146.6100,146.6000,146.6217,600
2018,2,2,9,44,146.6200,146.5100,146.5100,146.6200,500
2018,2,2,9,45,146.4800,146.5200,146.4500,146.6500,2150
2018,2,2,9,46,146.5100,146.7700,146.4800,146.8100,3600
2018,2,2,9,47,146.6700,146.7200,146.6200,146.7300,2097
2018,2,2,9,48,146.6600,146.6100,146.5600,146.7200,2400
2018,2,2,9,49,146.5600,146.6700,146.5500,146.7900,4600
2018,2,2,9,50,146.6950,146.7300,146.6700,146.7600,1600
2018,2,2,9,51,146.6900,146.6800,146.6200,146.7500,2200
2018,2,2,9,52,146.6800,146.8100,146.5400,146.8100,6600
2018,2,2,9,53,146.7700,146.7200,146.7000,146.7800,3200
2018,2,2,9,54,146.7400,146.6000,146.6000,146.7600,3300
2018,2,2,9,55,146.6000,146.6300,146.6000,146.7200,5500
2018,2,2,9,56,146.6500,146.6200,146.6000,146.6650,4897
2018,2,2,9,57,146.6200,146.5100,146.5000,146.6700,3750
2018,2,2,9,58,146.5200,146.5250,146.5000,146.6500,5200
2018,2,2,9,59,146.5400,146.5000,146.4300,146.5500,17278
2018,2,2,10,0,146.5200,146.5200,146.4500,146.5700,4550
2018,2,2,10,1,146.5200,146.3800,146.2400,146.5200,3500
2018,2,2,10,2,146.3400,146.1400,146.0200,146.3400,5281
2018,2,2,10,3,146.2000,146.0300,146.0300,146.2000,550
2018,2,2,10,4,145.9000,145.7050,145.6400,145.9550,12402
2018,2,2,10,5,145.7500,145.6100,145.6100,145.7600,1600
2018,2,2,10,6,145.6100,145.5700,145.3700,145.6600,15627
2018,2,2,10,7,145.5400,145.6600,145.5200,145.7000,5150
2018,2,2,10,8,145.6300,145.6700,145.6200,145.7400,1600
