year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,170.8000,170.8000,170.6300,170.9900,59812
2018,2,2,9,31,171.0000,170.8900,170.6000,171.0400,15343
2018,2,2,9,32,170.9600,170.6800,170.6200,171.0500,6400
2018,2,2,9,33,170.7000,170.8900,170.7000,170.9000,8164
2018,2,2,9,34,170.8900,170.8600,170.7500,170.9200,11835
2018,2,2,9,35,170.9700,170.8200,170.7600,171.0300,15065
2018,2,2,9,36,170.8900,171.2000,170.8300,171.2000,8100
2018,2,2,9,37,171.2560,171.6600,171.2500,171.8100,33371
2018,2,2,9,38,171.7000,171.8300,171.6800,172.0000,14692
2018,2,2,9,39,171.8650,171.2100,171.2000,171.9500,10630
2018,2,2,9,40,171.2300,171.2300,170.9600,171.4000,17307
2018,2,2,9,41,171.3700,171.9750,171.3314,171.9800,13307
2018,2,2,9,42,171.9100,172.0950,171.8300,172.2200,11515
2018,2,2,9,43,172.1000,172.0600,172.0100,172.1000,7500
2018,2,2,9,44,172.0600,172.2300,172.0000,172.3800,23108
2018,2,2,9,45,172.2300,172.1500,172.1000,172.3400,5570
2018,2,2,9,46,172.0400,171.7853,171.7750,172.0650,12264
2018,2,2,9,47,171.7500,171.7200,171.6700,171.9200,11368
2018,2,2,9,48,171.7100,171.7420,171.6400,171.7800,5412
2018,2,2,9,49,171.7800,172.1000,171.7800,172.1300,11118
2018,2,2,9,50,172.1200,171.9600,171.8050,172.1200,8432
2018,2,2,9,51,171.9819,171.9600,171.9600,172.1700,15856
2018,2,2,9,52,171.9900,172.1600,171.9800,172.1600,9911
2018,2,2,9,53,172.1300,172.2900,172.0500,172.3300,18948
2018,2,2,9,54,172.2900,172.2900,172.2900,172.5199,19748
2018,2,2,9,55,172.3500,172.4700,172.3500,172.7299,15402
2018,2,2,9,56,172.4600,172.4250,172.4200,172.5800,14880
2018,2,2,9,57,172.4100,172.4000,172.3300,172.5000,9420
2018,2,2,9,58,172.3700,172.3200,172.2400,172.5000,10223
2018,2,2,9,59,172.2600,172.2500,172.2405,172.3400,6174
2018,2,2,10,0,172.2500,172.1100,172.1100,172.2500,4189
2018,2,2,10,1,171.9800,171.9900,171.9000,172.1590,9292
2018,2,2,10,2,171.9400,171.8765,171.8765,171.9800,10317
2018,2,2,10,3,171.9400,171.8200,171.6800,172.0000,7050
2018,2,2,10,4,171.8200,171.4100,171.4100,171.8200,11744
2018,2,2,10,5,171.4799,171.4700,171.4700,171.5900,6272
2018,2,2,10,6,171.5100,171.5400,171.2400,171.5400,16398
2018,2,2,10,7,171.5700,171.7100,171.5500,171.7300,11041
2018,2,2,10,8,171.7100,172.0000,171.6749,172.0000,5268
2018,2,2,10,9,172.0100,171.8500,171.8300,172.0400,7812
2018,2,2,10,10,171.8650,171.8000,171.6900,171.8900,10750
2018,2,2,10,11,171.8200,171.4700,171.4700,171.8300,3865
2018,2,2,10,12,171.5400,171.8250,171.5400,171.8800,9687
2018,2,2,10,13,171.8250,171.7300,171.7000,171.8600,6326
2018,2,2,10,14,171.7900,171.6847,171.6762,171.8100,3499
2018,2,2,10,15,171.6853,171.6400,171.6000,171.7300,10503
2018,2,2,10,16,171.6350,171.7850,171.6300,171.8100,6926
2018,2,2,10,17,171.7900,171.8000,171.7394,171.8100,7054
2018,2,2,10,18,171.7500,171.8000,171.7500,171.8300,3800
2018,2,2,10,19,171.8050,171.7450,171.7200,171.8800,7041
2018,2,2,10,20,171.7700,171.8100,171.6475,171.8400,8265
2018,2,2,10,21,171.8200,171.7300,171.7300,171.8500,5500
2018,2,2,10,22,171.7501,171.8196,171.7501,171.8500,4007
2018,2,2,10,23,171.8450,171.7900,171.7500,171.8550,4906
