year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,67.6600,67.6600,67.6600,67.6600,12630
2018,2,2,9,31,67.6600,67.8500,67.6000,67.8600,2875
2018,2,2,9,35,67.6650,67.6650,67.6650,67.6650,200
2018,2,2,9,36,67.6050,67.6050,67.6050,67.6050,300
2018,2,2,9,37,67.6500,67.5844,67.5600,67.6900,1238
2018,2,2,9,38,67.6051,67.5000,67.5000,67.6300,3750
2018,2,2,9,39,67.5000,67.2400,67.2400,67.5000,5198
2018,2,2,9,40,67.3900,67.5600,67.3900,67.5900,3229
2018,2,2,9,41,67.5200,67.5400,67.4900,67.5400,2155
2018,2,2,9,42,67.4700,67.4700,67.3800,67.5000,3903
2018,2,2,9,43,67.4800,67.4900,67.4800,67.5300,1606
2018,2,2,9,44,67.4800,67.4200,67.4200,67.4900,716
2018,2,2,9,45,67.4000,67.4900,67.4000,67.4900,1300
2018,2,2,9,46,67.4300,67.4196,67.3800,67.4700,5035
2018,2,2,9,47,67.4800,67.4631,67.4631,67.4900,1300
2018,2,2,9,48,67.5200,67.5300,67.5200,67.5300,500
2018,2,2,9,49,67.5600,67.6000,67.5600,67.6000,800
2018,2,2,9,50,67.5700,67.5600,67.5100,67.5800,4101
2018,2,2,9,51,67.5500,67.5100,67.4700,67.5500,3600
2018,2,2,9,52,67.4950,67.4400,67.4200,67.4950,2300
2018,2,2,9,53,67.3900,67.3900,67.3700,67.3900,400
2018,2,2,9,54,67.3600,67.3600,67.2500,67.4000,3400
2018,2,2,9,55,67.4000,67.4000,67.4000,67.4000,100
2018,2,2,9,56,67.4000,67.4100,67.3800,67.4300,700
2018,2,2,9,57,67.4600,67.3100,67.3100,67.4600,2435
2018,2,2,9,58,67.4000,67.3800,67.3600,67.4400,1700
2018,2,2,9,59,67.4100,67.3600,67.3600,67.4200,700
2018,2,2,10,0,67.4100,67.2900,67.2900,67.4100,2348
2018,2,2,10,1,67.3200,67.3844,67.2600,67.3844,3166
