year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,69.9000,69.8900,69.3900,69.9000,1800
2018,2,2,9,33,69.9000,69.9300,69.9000,69.9300,1057
2018,2,2,9,34,69.9300,70.0300,69.8200,70.0300,1916
2018,2,2,9,35,70.0900,70.0950,70.0200,70.0950,800
2018,2,2,9,36,70.0900,70.1500,70.0000,70.1500,196382
2018,2,2,9,37,70.1500,70.1200,70.0800,70.1800,22547
2018,2,2,9,38,70.1200,70.0700,70.0600,70.1700,38629
2018,2,2,9,39,70.0600,70.0000,69.9650,70.0800,22960
2018,2,2,9,40,70.0000,70.0700,69.9900,70.1200,23961
2018,2,2,9,41,70.0800,70.1100,70.0700,70.2000,23473
2018,2,2,9,42,70.1300,70.0500,70.0000,70.2000,29313
2018,2,2,9,43,70.0550,70.1300,70.0500,70.1700,25765
2018,2,2,9,44,70.1000,70.0900,70.0200,70.1500,45079
2018,2,2,9,45,70.0900,70.1500,70.0756,70.1600,21407
2018,2,2,9,46,70.1300,70.0800,70.0700,70.1300,9000
2018,2,2,9,47,70.0900,70.1400,70.0700,70.1500,17772
2018,2,2,9,48,70.1500,70.1600,70.1300,70.1800,14766
2018,2,2,9,49,70.1700,70.2300,70.1600,70.2530,30230
2018,2,2,9,50,70.2200,70.3200,70.2000,70.3200,12817
2018,2,2,9,51,70.3400,70.2800,70.2800,70.4000,36484
2018,2,2,9,52,70.2800,70.1400,70.1300,70.2900,19201
2018,2,2,9,53,70.1400,70.1750,70.1349,70.2051,13838
2018,2,2,9,54,70.1700,70.0800,70.0800,70.1900,23095
2018,2,2,9,55,70.0900,70.1002,70.0800,70.1200,18414
2018,2,2,9,56,70.1000,70.1200,70.1000,70.1300,12483
2018,2,2,9,57,70.1200,70.1100,70.0900,70.1300,18798
2018,2,2,9,58,70.1100,70.1200,70.0500,70.1400,19709
2018,2,2,9,59,70.1100,70.1250,70.1100,70.1400,8030
2018,2,2,10,0,70.1250,70.1300,70.1200,70.1900,15148
2018,2,2,10,1,70.1300,70.3700,70.1300,70.3900,14899
2018,2,2,10,2,70.3700,70.4700,70.3500,70.4800,23129
2018,2,2,10,3,70.4600,70.3800,70.3800,70.4800,21658
2018,2,2,10,4,70.4000,70.4000,70.3700,70.4300,14869
2018,2,2,10,5,70.3963,70.3400,70.3400,70.4200,17465
2018,2,2,10,6,70.3100,70.4700,70.2900,70.4800,12653
2018,2,2,10,7,70.4650,70.4309,70.3900,70.5000,25441
2018,2,2,10,8,70.4300,70.4350,70.3900,70.4600,14687
2018,2,2,10,9,70.4160,70.4200,70.3576,70.4800,24295
2018,2,2,10,10,70.4250,70.3800,70.3700,70.4900,21603
2018,2,2,10,11,70.3600,70.3350,70.3300,70.3600,10111
2018,2,2,10,12,70.3250,70.3100,70.2900,70.3600,24913
2018,2,2,10,13,70.3200,70.2792,70.2792,70.3400,17498
2018,2,2,10,14,70.2600,70.2676,70.2300,70.2900,11833
2018,2,2,10,15,70.2799,70.2400,70.2400,70.3200,16728
2018,2,2,10,16,70.2469,70.2550,70.2200,70.2700,12980
2018,2,2,10,17,70.2700,70.2568,70.2568,70.2800,3588
2018,2,2,10,18,70.2500,70.3100,70.2400,70.3400,9690
2018,2,2,10,19,70.3100,70.3000,70.2801,70.3200,11601
2018,2,2,10,20,70.3100,70.3950,70.3100,70.4200,10710
2018,2,2,10,21,70.3900,70.3800,70.3491,70.4000,13623
2018,2,2,10,22,70.3850,70.3800,70.3400,70.3900,10330
2018,2,2,10,23,70.3900,70.4150,70.3800,70.4200,9060
2018,2,2,10,24,70.4200,70.4200,70.4000,70.4200,4102
2018,2,2,10,25,70.4200,70.3800,70.3700,70.4200,17396
2018,2,2,10,26,70.3950,70.3800,70.3600,70.4000,13624
2018,2,2,10,27,70.3902,70.3500,70.3500,70.4100,13312
2018,2,2,10,28,70.3700,70.3200,70.3143,70.3800,20234
2018,2,2,10,29,70.3187,70.3800,70.3187,70.4000,14009
2018,2,2,10,30,70.3800,70.3600,70.3600,70.3900,4355
2018,2,2,10,31,70.3600,70.4000,70.3600,70.4190,11840
2018,2,2,10,32,70.3900,70.3950,70.3900,70.4200,8339
2018,2,2,10,33,70.3900,70.4090,70.3900,70.4200,13762
2018,2,2,10,34,70.4100,70.4100,70.3800,70.4300,13848
2018,2,2,10,35,70.4150,70.4600,70.4150,70.4600,8659
