year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,14.5000,14.5000,14.5000,14.5000,15514
2018,2,2,9,31,14.2900,14.4450,14.2900,14.4800,3050
2018,2,2,9,32,14.4700,14.5050,14.4700,14.5100,10423
2018,2,2,9,33,14.5100,14.4900,14.4900,14.5150,3191
2018,2,2,9,34,14.4900,14.4700,14.4700,14.5000,1463
2018,2,2,9,35,14.4650,14.4700,14.4600,14.4700,900
2018,2,2,9,36,14.4600,14.4400,14.4300,14.4600,3144
2018,2,2,9,37,14.4300,14.4200,14.4000,14.4400,3958
2018,2,2,9,38,14.4300,14.4100,14.4100,14.4300,2900
2018,2,2,9,39,14.4150,14.4200,14.4150,14.4400,3700
2018,2,2,9,40,14.4100,14.4000,14.4000,14.4100,2500
2018,2,2,9,41,14.3900,14.4300,14.3900,14.4400,4510
2018,2,2,9,42,14.4400,14.4400,14.4300,14.4600,4710
2018,2,2,9,43,14.4450,14.4500,14.4400,14.4700,4200
2018,2,2,9,44,14.4550,14.4250,14.4250,14.4550,3109
2018,2,2,9,45,14.4300,14.3950,14.3950,14.4300,3109
2018,2,2,9,46,14.4000,14.4200,14.3900,14.4200,4709
2018,2,2,9,47,14.4150,14.4300,14.4100,14.4500,4582
2018,2,2,9,48,14.4200,14.4250,14.4200,14.4300,1000
2018,2,2,9,49,14.4250,14.4250,14.4100,14.4300,2129
2018,2,2,9,50,14.4200,14.4200,14.4100,14.4200,11059
2018,2,2,9,51,14.4100,14.4200,14.4100,14.4200,4636
2018,2,2,9,52,14.4300,14.4650,14.4300,14.4700,3884
2018,2,2,9,53,14.4600,14.4400,14.4400,14.4600,2800
2018,2,2,9,54,14.4301,14.4600,14.4301,14.4600,3700
2018,2,2,9,55,14.4500,14.4800,14.4500,14.4800,33500
2018,2,2,9,56,14.4750,14.4700,14.4700,14.4750,700
2018,2,2,9,57,14.4800,14.5000,14.4750,14.5000,2500
2018,2,2,9,58,14.5000,14.4950,14.4900,14.5100,4800
2018,2,2,9,59,14.4900,14.5100,14.4900,14.5100,15044
2018,2,2,10,0,14.5050,14.5100,14.4900,14.5100,7895
2018,2,2,10,1,14.5100,14.5000,14.4900,14.5150,17800
2018,2,2,10,2,14.5000,14.5000,14.4900,14.5100,6469
2018,2,2,10,3,14.5000,14.4300,14.4300,14.5000,56069
2018,2,2,10,4,14.4300,14.4300,14.4200,14.4300,3370
2018,2,2,10,5,14.4300,14.3950,14.3950,14.4300,6240
2018,2,2,10,6,14.4000,14.4250,14.4000,14.4300,4099
2018,2,2,10,7,14.4300,14.4300,14.4100,14.4300,4800
2018,2,2,10,8,14.4400,14.4300,14.4200,14.4400,2605
2018,2,2,10,9,14.4250,14.4200,14.4100,14.4300,4258
2018,2,2,10,10,14.4100,14.4100,14.3900,14.4150,5300
2018,2,2,10,11,14.4100,14.4100,14.3900,14.4200,5220
2018,2,2,10,12,14.4150,14.4400,14.4100,14.4400,3017
2018,2,2,10,13,14.4300,14.4300,14.4200,14.4400,3000
2018,2,2,10,14,14.4200,14.4300,14.4200,14.4400,3861
2018,2,2,10,15,14.4300,14.4100,14.4100,14.4300,2131
2018,2,2,10,16,14.4050,14.4000,14.4000,14.4100,2600
2018,2,2,10,17,14.4000,14.3900,14.3850,14.4050,2532
2018,2,2,10,18,14.3850,14.3700,14.3700,14.3900,7971
2018,2,2,10,19,14.3700,14.3700,14.3700,14.3700,2000
2018,2,2,10,20,14.3700,14.3700,14.3700,14.3750,3846
2018,2,2,10,21,14.3700,14.3500,14.3450,14.3700,2843
2018,2,2,10,22,14.3550,14.3650,14.3500,14.3700,2300
2018,2,2,10,23,14.3700,14.3800,14.3700,14.3800,4373
2018,2,2,10,24,14.3800,14.3650,14.3600,14.3800,2728
2018,2,2,10,25,14.3700,14.3600,14.3600,14.3700,4500
2018,2,2,10,26,14.3650,14.3750,14.3500,14.3750,5900
2018,2,2,10,27,14.3800,14.3700,14.3700,14.3800,2714
2018,2,2,10,28,14.3700,14.3800,14.3700,14.3800,1730
2018,2,2,10,29,14.3700,14.3700,14.3700,14.3800,800
2018,2,2,10,30,14.3700,14.3500,14.3450,14.3700,7360
2018,2,2,10,31,14.3500,14.3500,14.3450,14.3500,2000
2018,2,2,10,32,14.3400,14.3300,14.3300,14.3400,3600
2018,2,2,10,33,14.3400,14.3350,14.3300,14.3400,5550
2018,2,2,10,34,14.3400,14.3300,14.3250,14.3400,3218
2018,2,2,10,35,14.3200,14.3200,14.3100,14.3300,6000
2018,2,2,10,36,14.3300,14.3200,14.3200,14.3300,3728
2018,2,2,10,37,14.3300,14.3300,14.3200,14.3400,4300
2018,2,2,10,38,14.3300,14.3500,14.3300,14.3500,3071
2018,2,2,10,39,14.3400,14.3350,14.3300,14.3400,2200
2018,2,2,10,40,14.3300,14.3200,14.3200,14.3300,2700
2018,2,2,10,41,14.3250,14.3500,14.3250,14.3500,4363
2018,2,2,10,42,14.3400,14.3500,14.3400,14.3500,2972
2018,2,2,10,43,14.3500,14.3400,14.3400,14.3500,2512
2018,2,2,10,44,14.3300,14.3200,14.3200,14.3300,800
2018,2,2,10,45,14.3250,14.3250,14.3200,14.3250,800
2018,2,2,10,46,14.3200,14.3050,14.2950,14.3200,6386
2018,2,2,10,47,14.3100,14.3100,14.3000,14.3100,7264
2018,2,2,10,48,14.3100,14.3200,14.3100,14.3200,2283
2018,2,2,10,49,14.3200,14.3200,14.3100,14.3200,7676
2018,2,2,10,50,14.3150,14.3200,14.3100,14.3200,1500
2018,2,2,10,51,14.3150,14.3100,14.3100,14.3300,4858
2018,2,2,10,52,14.3150,14.3200,14.3150,14.3200,800
2018,2,2,10,53,14.3200,14.3400,14.3150,14.3400,3753
2018,2,2,10,54,14.3300,14.3400,14.3300,14.3400,2346
2018,2,2,10,55,14.3300,14.3150,14.3100,14.3300,3680
2018,2,2,10,56,14.3000,14.3050,14.3000,14.3050,200
2018,2,2,10,57,14.3000,14.3050,14.3000,14.3100,3901
2018,2,2,10,58,14.3000,14.3200,14.3000,14.3200,16678
2018,2,2,10,59,14.3100,14.3100,14.3050,14.3200,11597
2018,2,2,11,0,14.3150,14.3300,14.3100,14.3300,2400
2018,2,2,11,1,14.3250,14.3050,14.3050,14.3300,10679
2018,2,2,11,2,14.3100,14.3200,14.3000,14.3200,3220
2018,2,2,11,3,14.3200,14.3300,14.3100,14.3300,14172
2018,2,2,11,4,14.3250,14.3200,14.3200,14.3250,3347
2018,2,2,11,5,14.3200,14.3050,14.3000,14.3200,6441
2018,2,2,11,6,14.3050,14.3050,14.2950,14.3100,8416
2018,2,2,11,7,14.3050,14.3100,14.3000,14.3100,3790
2018,2,2,11,8,14.3050,14.3200,14.3000,14.3200,7486
2018,2,2,11,9,14.3300,14.3300,14.3200,14.3300,1915
2018,2,2,11,10,14.3300,14.3250,14.3200,14.3300,2290
2018,2,2,11,11,14.3300,14.3200,14.3200,14.3300,5849
2018,2,2,11,12,14.3300,14.3150,14.3100,14.3300,4854
2018,2,2,11,13,14.3100,14.3100,14.3100,14.3100,200
2018,2,2,11,14,14.3150,14.3150,14.3100,14.3150,2819
2018,2,2,11,15,14.3100,14.3200,14.3100,14.3200,11824
