year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,147.1500,147.1500,147.1500,147.1500,17799
2018,2,2,9,31,147.1600,147.8500,147.1600,147.8500,7355
2018,2,2,9,32,147.5100,147.5200,147.4900,147.5200,500
2018,2,2,9,33,147.8203,147.8203,147.8203,147.8203,200
2018,2,2,9,34,147.4200,147.0149,147.0149,147.4400,3167
2018,2,2,9,35,147.0100,146.6040,146.4200,147.2200,7077
2018,2,2,9,36,146.6100,146.6900,146.6100,146.7000,2900
2018,2,2,9,37,146.6900,146.6200,146.6200,146.8600,718
2018,2,2,9,39,146.6500,146.3902,146.1800,146.7400,10519
2018,2,2,9,40,146.1800,145.5500,145.5300,146.3800,34568
2018,2,2,9,41,145.5500,145.3000,145.2800,145.6900,11360
2018,2,2,9,42,145.3250,145.6200,145.3250,145.6200,500
2018,2,2,9,43,145.5300,145.5500,145.5300,146.1000,36585
2018,2,2,9,44,145.5500,145.5700,145.4000,145.5700,4200
2018,2,2,9,45,145.6800,145.9200,145.6000,146.0250,20025
2018,2,2,9,46,145.8850,145.7500,145.7500,146.0300,11500
2018,2,2,9,47,145.9120,145.7250,145.7150,145.9120,665
2018,2,2,9,48,145.8700,145.7100,145.7000,146.0400,1400
2018,2,2,9,49,145.8650,145.7050,145.7000,145.8800,2193
2018,2,2,9,50,145.7200,145.9800,145.7200,145.9800,3700
2018,2,2,9,51,146.1500,145.9600,145.8300,146.1500,400
2018,2,2,9,52,146.0800,146.1550,145.9600,146.2800,6259
2018,2,2,9,53,146.1850,146.3175,146.1850,146.3175,810
2018,2,2,9,54,146.2950,146.3700,146.2950,146.3700,1400
2018,2,2,9,55,146.4000,146.2400,146.2400,146.4000,1400
2018,2,2,9,56,146.1200,145.6100,145.6100,146.2250,8300
2018,2,2,9,57,145.6900,144.9900,144.9900,145.6900,26080
2018,2,2,9,58,144.9900,145.3700,144.9900,145.4950,12100
2018,2,2,9,59,145.4900,145.7400,145.4600,145.7800,1816
2018,2,2,10,0,145.8700,145.9000,145.8300,146.0100,2169
2018,2,2,10,1,145.9150,145.9100,145.9100,145.9150,300
2018,2,2,10,2,145.7510,145.7510,145.7510,145.7510,334
2018,2,2,10,3,145.8200,145.6600,145.6600,145.8200,2800
2018,2,2,10,4,145.6400,145.3600,145.3600,145.6400,5400
2018,2,2,10,5,145.4200,145.1600,145.1600,145.4600,7768
2018,2,2,10,6,145.2650,145.4400,145.2600,145.4400,1700
2018,2,2,10,7,145.4500,145.8800,145.4500,145.8800,2170
2018,2,2,10,8,145.9400,146.0300,145.9400,146.0800,1100
2018,2,2,10,9,146.1400,146.0900,146.0400,146.1400,5970
