year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,260.7200,260.6900,260.6900,260.7200,7513
2018,2,2,9,31,260.6800,260.7800,260.6800,262.3700,5416
2018,2,2,9,33,261.3300,259.7100,258.0400,261.5800,18482
2018,2,2,9,34,259.4300,259.8735,258.3800,259.8735,905
2018,2,2,9,35,259.5300,260.6700,259.5300,260.6700,3000
2018,2,2,9,36,260.0500,260.9800,260.0500,261.0200,2103
2018,2,2,9,37,261.0000,260.2800,260.2800,261.0000,7100
2018,2,2,9,38,260.0800,261.4000,260.0800,261.4000,1750
2018,2,2,9,39,261.3200,261.3200,261.3200,261.3200,100
2018,2,2,9,40,260.7300,261.3150,260.5200,261.3150,1100
2018,2,2,9,41,261.1500,261.0500,260.1200,261.2000,5800
2018,2,2,9,42,261.0700,261.4000,260.7800,261.4900,1400
2018,2,2,9,43,260.8900,261.6400,260.8900,262.2200,3298
2018,2,2,9,44,262.0841,261.5600,261.5000,262.2150,3252
2018,2,2,9,45,261.6800,262.4197,261.6700,262.6700,5081
2018,2,2,9,46,262.1900,261.4450,261.4450,262.2100,2750
2018,2,2,9,47,261.8300,262.0400,261.8300,262.0400,2250
2018,2,2,9,48,262.5200,262.2345,262.2345,262.5200,400
2018,2,2,9,49,262.2300,262.1400,262.1400,262.6700,1200
2018,2,2,9,50,262.3100,262.3100,262.3100,262.3100,100
2018,2,2,9,51,262.3200,261.6400,261.6400,262.3450,2300
2018,2,2,9,52,262.0600,262.3000,261.9100,263.0800,4993
2018,2,2,9,53,262.3100,261.8100,261.8100,262.3300,2550
2018,2,2,9,54,261.9000,261.9000,261.9000,261.9000,100
2018,2,2,9,55,261.8500,261.7300,261.4500,262.4800,1100
2018,2,2,9,56,261.7200,261.5650,261.1300,261.7200,1100
2018,2,2,9,57,261.2800,261.2800,261.2100,261.2800,500
2018,2,2,9,58,261.7900,262.0600,261.6200,262.1600,1847
2018,2,2,9,59,261.6700,261.6700,261.6700,261.6700,100
2018,2,2,10,0,261.7000,261.7000,261.7000,261.7000,100
2018,2,2,10,1,261.7000,261.1300,261.1300,261.7100,2300
2018,2,2,10,2,261.5500,262.1500,261.3600,262.3750,3400
2018,2,2,10,4,261.9200,260.9300,260.9200,261.9200,8201
