year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,90.7200,90.7200,90.7200,90.7200,6565
2018,2,2,9,31,90.7600,90.7900,90.7600,90.7900,200
2018,2,2,9,32,90.7800,90.8000,90.7800,90.9100,1825
2018,2,2,9,33,91.0000,90.9900,90.9700,91.0325,3277
2018,2,2,9,34,90.9800,90.9800,90.9800,90.9800,400
2018,2,2,9,36,91.0600,90.9500,90.8100,91.0600,1710
2018,2,2,9,37,91.0100,91.0100,91.0100,91.0100,200
2018,2,2,9,39,91.0000,90.7800,90.7700,91.0000,1700
2018,2,2,9,40,90.9000,91.0400,90.9000,91.0400,500
2018,2,2,9,41,90.9900,90.5700,90.4200,90.9900,2666
2018,2,2,9,42,90.6600,90.6300,90.6300,90.6800,800
2018,2,2,9,44,90.6950,90.6900,90.6900,90.7600,300
2018,2,2,9,45,90.7700,90.8500,90.7700,90.9500,809
2018,2,2,9,46,90.8300,90.7000,90.7000,90.8300,933
2018,2,2,9,47,90.6600,90.8100,90.6600,90.8100,200
2018,2,2,9,50,90.7900,90.7900,90.7900,90.7900,100
2018,2,2,9,51,90.7600,90.5700,90.5700,90.7600,1713
2018,2,2,9,52,90.5500,90.6300,90.5000,90.6300,1301
2018,2,2,9,53,90.7700,90.7700,90.7700,90.7700,100
2018,2,2,9,55,90.7350,90.6600,90.6100,90.7350,900
2018,2,2,9,56,90.5900,90.4800,90.4800,90.5900,725
2018,2,2,9,57,90.4000,90.4600,90.4000,90.4600,400
2018,2,2,10,0,90.3400,90.3400,90.3100,90.3400,2419
2018,2,2,10,1,90.3500,90.3600,90.3400,90.5600,2197
2018,2,2,10,2,90.3100,90.3100,90.3100,90.3100,400
2018,2,2,10,3,90.2900,90.3600,90.1500,90.3600,3405
2018,2,2,10,4,90.3499,90.2500,90.2100,90.3499,1100
2018,2,2,10,5,90.1800,90.0400,90.0400,90.1800,500
2018,2,2,10,6,90.0497,90.0500,89.9500,90.0800,2644
2018,2,2,10,7,90.0350,90.1200,89.8800,90.1200,3104
2018,2,2,10,9,90.2200,90.2200,90.2200,90.2200,200
2018,2,2,10,10,90.2600,90.1200,90.1200,90.3250,1432
2018,2,2,10,11,90.1100,90.1700,90.0700,90.2099,2345
2018,2,2,10,13,90.1400,90.2450,90.1300,90.2450,1025
2018,2,2,10,14,90.2450,90.2450,90.2450,90.2450,300
2018,2,2,10,15,90.2400,90.1600,90.1500,90.2400,2100
2018,2,2,10,17,90.2200,90.2200,90.2200,90.2200,100
2018,2,2,10,18,90.2600,90.2700,90.2500,90.2700,300
2018,2,2,10,19,90.2500,90.2800,90.2500,90.2800,300
2018,2,2,10,21,90.2800,90.1700,90.1300,90.3000,7332
2018,2,2,10,22,90.1600,90.2400,90.1600,90.2500,300
2018,2,2,10,23,90.2400,90.2400,90.2400,90.2400,100
2018,2,2,10,25,90.2900,90.6400,90.2900,90.6400,2100
2018,2,2,10,26,90.6100,90.6400,90.6100,90.6400,400
2018,2,2,10,27,90.6400,90.5300,90.5200,90.6400,900
2018,2,2,10,28,90.5100,90.4900,90.4900,90.5100,906
2018,2,2,10,31,90.4900,90.4600,90.4600,90.5500,1520
2018,2,2,10,33,90.4750,90.3750,90.3100,90.4750,1300
2018,2,2,10,34,90.3300,90.3300,90.3300,90.3300,100
2018,2,2,10,35,90.3719,90.5000,90.3719,90.5000,1211
2018,2,2,10,38,90.4700,90.5700,90.4700,90.5700,200
2018,2,2,10,39,90.5100,90.4100,90.4100,90.5100,1000
2018,2,2,10,41,90.3300,90.4500,90.3300,90.4500,400
2018,2,2,10,43,90.4200,90.2900,90.2500,90.4200,4000
2018,2,2,10,44,90.2800,90.3599,90.2800,90.3599,1400
2018,2,2,10,45,90.2400,90.2300,90.2300,90.2400,600
2018,2,2,10,46,90.2100,90.1000,90.1000,90.2100,2160
2018,2,2,10,47,90.0800,90.0100,89.9600,90.0800,2100
2018,2,2,10,48,90.0800,90.1600,90.0800,90.1600,800
2018,2,2,10,50,90.2150,90.2150,90.2150,90.2150,100
2018,2,2,10,51,90.1997,90.4000,90.1997,90.4000,528
2018,2,2,10,55,90.3242,90.4100,90.3242,90.4100,200
2018,2,2,10,56,90.3550,90.3650,90.3000,90.3650,3290
2018,2,2,10,57,90.3100,90.2450,90.2000,90.3300,1800
2018,2,2,10,58,90.2000,90.1000,90.0600,90.2400,800
2018,2,2,10,59,90.0800,90.0100,90.0100,90.0800,400
2018,2,2,11,0,90.0550,90.0200,90.0200,90.0550,400
2018,2,2,11,1,90.0550,90.0300,90.0200,90.0897,1100
2018,2,2,11,2,90.0900,90.1300,90.0799,90.1300,2864
2018,2,2,11,3,90.1300,90.1300,90.1300,90.1300,500
2018,2,2,11,4,90.2200,90.2200,90.2200,90.2200,200
2018,2,2,11,5,90.2200,90.2200,90.2200,90.2600,700
2018,2,2,11,6,90.2550,90.3300,90.2550,90.3300,300
2018,2,2,11,7,90.2100,90.2450,90.2100,90.2900,300
2018,2,2,11,8,90.2700,90.2899,90.2700,90.2899,700
2018,2,2,11,9,90.2100,90.3499,90.2100,90.3499,3614
2018,2,2,11,10,90.3200,90.3399,90.3200,90.3400,500
2018,2,2,11,11,90.3050,90.3050,90.3050,90.3050,118
2018,2,2,11,12,90.3500,90.3699,90.3500,90.3699,300
2018,2,2,11,13,90.3700,90.4900,90.3700,90.4900,300
2018,2,2,11,14,90.4000,90.4800,90.4000,90.4800,300
2018,2,2,11,16,90.4600,90.4600,90.4600,90.4600,100
2018,2,2,11,17,90.4600,90.4000,90.3700,90.4750,1537
2018,2,2,11,18,90.3400,90.2500,90.2500,90.3400,671
2018,2,2,11,20,90.2500,90.1500,90.1500,90.2800,1100
2018,2,2,11,22,90.1050,90.2700,90.1050,90.2700,1600
2018,2,2,11,23,90.3100,90.3450,90.3100,90.3450,300
2018,2,2,11,24,90.3400,90.3800,90.3100,90.3800,2600
2018,2,2,11,25,90.4800,90.4600,90.4100,90.4800,1600
2018,2,2,11,26,90.4700,90.4000,90.4000,90.4700,2530
2018,2,2,11,27,90.3800,90.2800,90.2800,90.3900,1000
2018,2,2,11,28,90.2700,90.2300,90.2300,90.2700,200
2018,2,2,11,29,90.3000,90.3650,90.3000,90.3650,400
2018,2,2,11,33,90.3200,90.3650,90.3200,90.3650,700
2018,2,2,11,34,90.2600,90.2600,90.2600,90.2600,200
2018,2,2,11,35,90.2950,90.2950,90.2950,90.2950,100
2018,2,2,11,36,90.3002,90.2897,90.2500,90.3199,2570
2018,2,2,11,37,90.2100,90.2700,90.2100,90.3100,2146
2018,2,2,11,38,90.3200,90.3650,90.3200,90.3650,200
2018,2,2,11,40,90.4100,90.4200,90.4100,90.4200,500
2018,2,2,11,41,90.3800,90.3800,90.3800,90.3800,200
2018,2,2,11,42,90.4300,90.3850,90.3700,90.4300,2300
2018,2,2,11,43,90.3600,90.3450,90.3100,90.3600,900
2018,2,2,11,44,90.3100,90.2900,90.2800,90.3150,887
2018,2,2,11,46,90.2450,90.2900,90.1900,90.2900,2000
2018,2,2,11,47,90.3200,90.4900,90.2600,90.5100,5200
2018,2,2,11,48,90.4300,90.4300,90.4300,90.4300,100
2018,2,2,11,49,90.4600,90.4600,90.4600,90.4600,100
