year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,60.3600,60.3600,60.3600,60.3600,100
2018,2,2,9,31,60.3500,60.0100,60.0000,60.3600,1000
2018,2,2,9,32,59.9400,59.9900,59.9400,59.9900,7013
2018,2,2,9,33,59.8900,59.7400,59.7400,59.8900,1742
2018,2,2,9,34,59.7500,59.6700,59.6700,59.7500,205
2018,2,2,9,35,59.8000,59.8800,59.8000,59.8800,621
2018,2,2,9,36,60.0500,60.0100,59.9000,60.0500,400
2018,2,2,9,37,60.0200,59.9300,59.9300,60.0600,900
2018,2,2,9,38,60.0200,59.8800,59.8800,60.0200,1200
2018,2,2,9,39,59.9400,59.9200,59.9200,60.0800,4200
2018,2,2,9,40,59.9200,59.9600,59.9100,59.9825,1300
2018,2,2,9,41,59.9950,60.0000,59.9700,60.1000,1628
2018,2,2,9,42,60.1000,60.2000,60.0800,60.2000,955
2018,2,2,9,43,60.1800,60.2450,60.1800,60.2600,1310
2018,2,2,9,44,60.2000,60.3400,60.2000,60.3400,713
2018,2,2,9,45,60.3700,60.3300,60.3300,60.4500,2024
2018,2,2,9,46,60.2900,60.3050,60.2900,60.3600,400
2018,2,2,9,47,60.3050,60.2000,60.2000,60.3300,2500
2018,2,2,9,48,60.2200,60.2500,60.1800,60.2700,2976
2018,2,2,9,49,60.2900,60.3200,60.2500,60.3400,2900
2018,2,2,9,50,60.3800,60.5100,60.3300,60.5300,2000
2018,2,2,9,51,60.4800,60.5100,60.4500,60.5100,1730
2018,2,2,9,52,60.5100,60.5450,60.4800,60.5800,2752
2018,2,2,9,53,60.5700,60.2650,60.2650,60.5700,4400
2018,2,2,9,54,60.2300,60.2250,60.2250,60.2300,300
2018,2,2,9,55,60.2150,60.2150,60.2150,60.2150,100
2018,2,2,9,56,60.2450,60.3000,60.2450,60.3000,1215
2018,2,2,9,57,60.2800,60.2100,60.2100,60.2800,1300
2018,2,2,9,58,60.2950,60.2500,60.2500,60.2950,600
2018,2,2,9,59,60.3300,60.2700,60.2500,60.3400,1000
2018,2,2,10,0,60.3300,60.3800,60.3300,60.3800,1500
2018,2,2,10,1,60.3600,60.5150,60.3500,60.5150,1700
2018,2,2,10,2,60.4400,60.3800,60.3400,60.4400,3900
2018,2,2,10,3,60.3750,60.4050,60.3750,60.4200,2600
2018,2,2,10,4,60.4050,60.3700,60.3600,60.4300,2400
2018,2,2,10,5,60.4200,60.4600,60.3800,60.4600,16158
2018,2,2,10,6,60.4300,60.3900,60.3700,60.4300,1105
2018,2,2,10,7,60.3600,60.4900,60.3600,60.4900,3240
2018,2,2,10,8,60.5500,60.4800,60.4800,60.7000,5593
2018,2,2,10,9,60.6000,60.6400,60.6000,60.6400,900
2018,2,2,10,10,60.7050,60.6400,60.6300,60.7050,600
2018,2,2,10,11,60.6400,60.5800,60.5800,60.6400,1319
2018,2,2,10,12,60.6050,60.5400,60.5300,60.6050,2308
2018,2,2,10,13,60.5600,60.7400,60.5600,60.7400,6324
2018,2,2,10,14,60.7100,60.6600,60.6600,60.7400,5500
2018,2,2,10,15,60.6900,60.6699,60.6250,60.6900,1105
2018,2,2,10,16,60.5800,60.5600,60.5400,60.5800,1200
2018,2,2,10,17,60.5650,60.5200,60.5100,60.5900,6159
2018,2,2,10,18,60.5700,60.6150,60.5700,60.6200,1761
2018,2,2,10,19,60.6125,60.6600,60.5900,60.6600,1042
2018,2,2,10,20,60.6400,60.6050,60.6000,60.6400,1600
2018,2,2,10,21,60.6050,60.6600,60.6050,60.6800,3600
2018,2,2,10,22,60.6500,60.6400,60.6300,60.6500,707
2018,2,2,10,23,60.6200,60.6500,60.6200,60.6500,1100
2018,2,2,10,24,60.7000,60.6800,60.6800,60.7000,410
2018,2,2,10,25,60.6900,60.6600,60.6300,60.6900,1100
2018,2,2,10,26,60.5900,60.5900,60.5900,60.5900,527
2018,2,2,10,27,60.5500,60.5200,60.4900,60.5500,5503
2018,2,2,10,28,60.5450,60.5550,60.5400,60.5550,3600
2018,2,2,10,29,60.5500,60.5450,60.5212,60.5993,7275
2018,2,2,10,30,60.5200,60.5200,60.4900,60.5400,500
2018,2,2,10,31,60.4850,60.4512,60.4400,60.4850,1821
2018,2,2,10,32,60.4500,60.5100,60.4500,60.5100,2282
2018,2,2,10,33,60.4900,60.4900,60.4900,60.5100,400
2018,2,2,10,34,60.4800,60.5000,60.4500,60.5000,1791
2018,2,2,10,35,60.5000,60.5050,60.5000,60.5100,1800
2018,2,2,10,36,60.4800,60.5100,60.4800,60.5100,400
2018,2,2,10,37,60.5100,60.4700,60.4700,60.5100,1300
2018,2,2,10,38,60.4600,60.4700,60.4500,60.4700,800
2018,2,2,10,39,60.4400,60.4200,60.4200,60.4700,1260
2018,2,2,10,40,60.4600,60.4400,60.4400,60.4800,1300
2018,2,2,10,41,60.4700,60.5000,60.4700,60.5000,1434
2018,2,2,10,42,60.4600,60.4700,60.4600,60.5000,1589
2018,2,2,10,43,60.5000,60.5100,60.4700,60.5100,1200
2018,2,2,10,44,60.4700,60.4400,60.4400,60.4700,800
2018,2,2,10,45,60.4400,60.4567,60.4000,60.4567,1753
2018,2,2,10,46,60.4000,60.4000,60.4000,60.4000,200
2018,2,2,10,47,60.4100,60.4000,60.4000,60.4100,937
2018,2,2,10,48,60.4000,60.4000,60.4000,60.4100,1774
2018,2,2,10,49,60.4200,60.3800,60.3800,60.4200,300
2018,2,2,10,50,60.4100,60.4200,60.3950,60.4200,400
2018,2,2,10,51,60.4200,60.4500,60.4200,60.4600,925
2018,2,2,10,52,60.4600,60.4500,60.4500,60.4600,298
2018,2,2,10,53,60.4600,60.4000,60.4000,60.4600,2500
2018,2,2,10,54,60.3700,60.4000,60.3700,60.4000,300
2018,2,2,10,55,60.4300,60.4300,60.4300,60.4300,200
2018,2,2,10,56,60.4300,60.4300,60.4250,60.4400,3372
2018,2,2,10,57,60.4400,60.4400,60.4200,60.4400,614
2018,2,2,10,58,60.4200,60.3500,60.3500,60.4200,2271
2018,2,2,10,59,60.3000,60.3260,60.2600,60.3260,836
2018,2,2,11,0,60.2910,60.2910,60.2910,60.2910,233
2018,2,2,11,1,60.3400,60.3500,60.3000,60.3500,500
2018,2,2,11,2,60.3400,60.3600,60.3400,60.3600,920
2018,2,2,11,3,60.3300,60.2800,60.2500,60.3300,2319
2018,2,2,11,5,60.2900,60.3000,60.2900,60.3300,1700
2018,2,2,11,6,60.3000,60.3000,60.3000,60.3000,100
2018,2,2,11,7,60.3000,60.3100,60.3000,60.3100,300
2018,2,2,11,8,60.3099,60.3200,60.3099,60.3200,1381
2018,2,2,11,9,60.3300,60.3000,60.3000,60.3300,1100
2018,2,2,11,10,60.3200,60.2900,60.2900,60.3300,300
2018,2,2,11,11,60.3300,60.3600,60.3300,60.3600,1078
2018,2,2,11,12,60.3550,60.3300,60.3300,60.3900,600
2018,2,2,11,13,60.3800,60.3900,60.3800,60.3900,600
2018,2,2,11,14,60.3900,60.4200,60.3400,60.4200,2000
2018,2,2,11,15,60.4300,60.4500,60.4300,60.4500,300
2018,2,2,11,16,60.4400,60.4500,60.4400,60.4500,500
2018,2,2,11,17,60.4200,60.3600,60.3600,60.4200,2000
2018,2,2,11,18,60.3400,60.3400,60.3300,60.3600,700
2018,2,2,11,19,60.3540,60.4100,60.3540,60.4100,1218
2018,2,2,11,20,60.4100,60.4600,60.4100,60.4600,700
2018,2,2,11,21,60.4600,60.4700,60.4600,60.4700,500
2018,2,2,11,22,60.4800,60.4600,60.4600,60.4800,1300
2018,2,2,11,23,60.4800,60.4900,60.4800,60.4900,200
2018,2,2,11,24,60.5000,60.5000,60.5000,60.5000,200
2018,2,2,11,25,60.5100,60.4900,60.4900,60.5100,300
2018,2,2,11,26,60.5100,60.5400,60.5100,60.5500,900
2018,2,2,11,27,60.5400,60.5500,60.5200,60.5500,1600
2018,2,2,11,28,60.5100,60.4800,60.4800,60.5100,1000
