year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,345.1700,345.1650,345.1600,345.1700,7588
2018,2,2,9,31,345.1600,348.1900,345.1000,348.2599,3800
2018,2,2,9,32,348.6300,347.8400,347.0000,348.7000,3177
2018,2,2,9,33,348.4142,349.4999,348.2555,349.4999,1200
2018,2,2,9,34,348.7500,349.5209,348.5000,349.7300,5257
2018,2,2,9,35,349.6200,351.0100,348.7400,351.5200,7367
2018,2,2,9,36,351.0000,352.6200,351.0000,353.9500,7591
2018,2,2,9,37,353.3800,351.5000,351.2000,353.9700,6400
2018,2,2,9,38,351.1300,349.0350,348.3900,351.1300,4868
2018,2,2,9,39,348.9900,348.9150,348.1600,349.0000,1300
2018,2,2,9,40,348.2400,346.7400,345.5000,348.2400,7048
2018,2,2,9,41,347.4400,348.1500,347.4400,348.1500,3350
2018,2,2,9,42,348.0500,347.6083,346.8900,348.0500,3900
2018,2,2,9,43,347.1100,348.1400,347.1100,348.3900,4843
2018,2,2,9,44,348.6950,347.7600,347.0200,348.6950,9250
2018,2,2,9,45,347.4600,347.5100,347.1000,348.3200,3100
2018,2,2,9,46,348.0100,348.4000,347.5100,349.2100,4225
2018,2,2,9,47,348.3900,347.7500,347.7500,349.4999,6355
2018,2,2,9,48,347.7400,348.0600,347.7100,348.0600,300
2018,2,2,9,49,349.4899,348.4000,348.2000,349.4899,1200
2018,2,2,9,50,349.2500,348.4300,348.4300,349.2500,1000
2018,2,2,9,51,348.7397,347.2100,347.2100,348.7397,2452
2018,2,2,9,52,347.4684,348.2600,347.4684,348.5700,3400
2018,2,2,9,53,348.7100,348.3396,348.3396,348.7200,700
2018,2,2,9,54,348.8200,349.3600,348.7700,349.3600,1796
2018,2,2,9,55,348.8500,348.7400,348.5300,348.8500,1250
2018,2,2,9,56,348.3050,348.5700,348.3050,348.5700,700
2018,2,2,9,57,348.8399,348.1100,347.7000,348.8399,3548
2018,2,2,9,59,347.8600,347.5000,347.5000,347.9300,2100
2018,2,2,10,0,347.6400,346.9800,346.7500,347.6900,4200
2018,2,2,10,1,347.2550,346.8900,346.0400,347.2550,2994
2018,2,2,10,2,346.5100,346.5250,346.5100,346.5250,400
2018,2,2,10,3,346.7600,346.1000,346.1000,346.8150,3037
2018,2,2,10,4,346.5000,345.7250,345.4200,346.7700,3950
2018,2,2,10,5,345.9000,345.7400,345.7400,346.6400,3314
2018,2,2,10,6,345.4850,345.7097,345.4200,345.8600,2500
2018,2,2,10,7,345.6100,346.0100,345.5200,346.0900,1692
2018,2,2,10,8,346.1600,345.3300,345.3300,346.1600,3010
