year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,129.9300,129.9300,129.9300,129.9300,10475
2018,2,2,9,31,129.4701,129.6100,129.4701,129.9400,1346
2018,2,2,9,32,129.6100,129.6900,129.3200,129.6900,3900
2018,2,2,9,33,129.2900,129.2300,129.1600,129.6066,1863
2018,2,2,9,34,129.3600,129.4100,129.3500,129.6500,5800
2018,2,2,9,35,129.6200,129.8000,129.6200,129.8000,3100
2018,2,2,9,36,129.8100,129.7500,129.7200,129.8350,3263
2018,2,2,9,37,129.7650,129.6702,129.6702,129.7650,307
2018,2,2,9,38,129.7750,129.7000,129.6700,129.7750,500
2018,2,2,9,39,129.7100,129.6198,129.5200,129.7100,400
2018,2,2,9,40,129.5800,129.4400,129.3800,129.6200,2600
2018,2,2,9,41,129.5200,129.5300,129.3500,129.5300,3952
2018,2,2,9,42,129.5250,129.4100,129.4100,129.5300,1400
2018,2,2,9,43,129.4800,129.3600,129.3400,129.5300,2264
2018,2,2,9,44,129.3900,129.3400,129.2900,129.4450,3322
2018,2,2,9,45,129.3750,129.4200,129.3700,129.5000,500
2018,2,2,9,46,129.4300,129.6900,129.4300,129.6900,1137
2018,2,2,9,47,129.6900,129.5523,129.4300,129.8500,2117
2018,2,2,9,48,129.6700,129.6100,129.6100,129.7000,1423
2018,2,2,9,49,129.5300,129.4900,129.4900,129.5300,1220
2018,2,2,9,50,129.5850,129.2900,129.1600,129.5850,21322
2018,2,2,9,51,129.4152,129.3000,129.2500,129.4152,900
2018,2,2,9,52,129.2800,129.0992,129.0100,129.3400,9292
2018,2,2,9,53,129.0400,128.9150,128.8800,129.0950,11338
2018,2,2,9,54,128.9168,128.8031,128.8031,128.9168,1235
2018,2,2,9,55,128.7700,128.6300,128.6100,128.7700,2745
2018,2,2,9,56,128.7400,128.6600,128.5200,128.7700,7520
2018,2,2,9,57,128.6500,128.7500,128.6500,128.8500,1800
2018,2,2,9,58,128.7650,128.8800,128.7650,128.8800,1708
2018,2,2,9,59,128.9700,129.0881,128.9700,129.0881,1650
2018,2,2,10,0,129.1100,128.7300,128.7300,129.1100,4442
2018,2,2,10,1,128.8100,128.5250,128.4700,128.8100,4957
2018,2,2,10,2,128.4700,128.3000,128.2700,128.4700,2734
2018,2,2,10,3,128.3000,128.3300,128.2600,128.4100,2200
2018,2,2,10,4,128.4100,128.3600,128.2200,128.4100,4537
2018,2,2,10,5,128.2946,128.2400,128.1100,128.2946,1707
2018,2,2,10,6,128.1800,127.8900,127.8900,128.1800,3402
2018,2,2,10,7,127.9300,128.0900,127.8700,128.1400,3400
2018,2,2,10,8,128.1742,128.2300,128.1000,128.2800,2094
2018,2,2,10,9,128.2300,128.2500,128.2300,128.3150,2000
2018,2,2,10,10,128.3500,128.2500,128.1550,128.3700,4814
2018,2,2,10,11,128.2452,128.1900,128.1500,128.2452,2380
2018,2,2,10,12,128.1500,128.3500,128.1500,128.3500,5730
2018,2,2,10,13,128.2850,128.4100,128.2500,128.4400,2400
2018,2,2,10,14,128.4000,128.2650,128.1600,128.4000,3250
2018,2,2,10,15,128.3500,128.3700,128.3100,128.3800,1074
2018,2,2,10,16,128.4300,128.5800,128.4300,128.5800,1311
2018,2,2,10,17,128.4966,128.6300,128.4966,128.6300,700
