year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,55.9000,55.8200,55.7900,55.9000,156361
2018,2,2,9,31,55.8140,55.9950,55.8100,56.0300,66523
2018,2,2,9,32,56.0300,56.0150,55.9500,56.0500,55520
2018,2,2,9,33,56.0200,56.0100,55.9200,56.0300,33867
2018,2,2,9,34,56.0000,55.9801,55.9700,56.0000,29010
2018,2,2,9,35,55.9713,55.9800,55.9650,56.0000,26883
2018,2,2,9,36,55.9701,55.9700,55.9700,56.0200,62336
2018,2,2,9,37,55.9700,55.9500,55.9350,55.9900,35690
2018,2,2,9,38,55.9550,55.8750,55.8500,55.9650,52121
2018,2,2,9,39,55.8750,55.8450,55.8200,55.8890,43898
2018,2,2,9,40,55.8400,55.9000,55.8400,55.9075,31992
2018,2,2,9,41,55.9050,56.0400,55.9050,56.0400,71369
2018,2,2,9,42,56.0450,56.0300,56.0150,56.0800,57802
2018,2,2,9,43,56.0350,56.0100,56.0025,56.0850,45731
2018,2,2,9,44,56.0100,55.9800,55.9700,56.0400,64914
2018,2,2,9,45,55.9900,56.0399,55.9800,56.0500,33635
2018,2,2,9,46,56.0300,56.0910,56.0150,56.1000,26022
2018,2,2,9,47,56.0900,56.0950,56.0750,56.1600,121665
2018,2,2,9,48,56.1000,56.1432,56.1000,56.1500,35395
2018,2,2,9,49,56.1401,56.2100,56.1400,56.2400,48604
2018,2,2,9,50,56.2100,56.2900,56.1900,56.2900,33797
2018,2,2,9,51,56.3000,56.1800,56.1700,56.3100,66053
2018,2,2,9,52,56.1900,56.3000,56.1900,56.3200,24361
2018,2,2,9,53,56.3100,56.2100,56.2000,56.3100,44121
2018,2,2,9,54,56.2000,56.0300,56.0300,56.2000,48565
2018,2,2,9,55,56.0400,56.0200,55.9800,56.0450,42420
2018,2,2,9,56,56.0100,56.0200,55.9850,56.0300,36257
2018,2,2,9,57,56.0100,56.0777,56.0100,56.0800,19240
2018,2,2,9,58,56.0800,56.0900,56.0400,56.1000,157425
2018,2,2,9,59,56.0800,56.0200,56.0200,56.0900,28452
2018,2,2,10,0,56.0100,56.0100,55.9350,56.0300,57744
2018,2,2,10,1,56.0000,56.0100,55.9831,56.0100,27844
2018,2,2,10,2,56.0100,56.0400,56.0000,56.0700,17346
2018,2,2,10,3,56.0300,56.0032,55.9700,56.0400,76712
2018,2,2,10,4,56.0000,55.9300,55.9300,56.0000,23674
2018,2,2,10,5,55.9200,55.9000,55.8900,56.0000,283354
2018,2,2,10,6,55.8950,55.9400,55.8750,55.9400,43043
2018,2,2,10,7,55.9400,55.9300,55.8900,55.9600,30277
2018,2,2,10,8,55.9200,55.9500,55.9200,55.9500,16222
2018,2,2,10,9,55.9500,55.9500,55.9400,55.9900,33247
2018,2,2,10,10,55.9450,56.0000,55.9250,56.0000,64741
2018,2,2,10,11,55.9900,55.9950,55.9850,56.0200,315931
2018,2,2,10,12,56.0000,55.9899,55.9700,56.0025,52918
2018,2,2,10,13,55.9890,56.0050,55.9800,56.0100,67625
2018,2,2,10,14,56.0100,55.9800,55.9500,56.0100,48855
2018,2,2,10,15,55.9716,55.9200,55.9200,55.9716,23042
2018,2,2,10,16,55.9100,55.9100,55.8900,55.9300,22334
2018,2,2,10,17,55.9050,55.8300,55.8300,55.9050,17839
2018,2,2,10,18,55.8300,55.8600,55.8300,55.8700,43364
