year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,88.4100,88.4100,88.4100,88.4100,2813
2018,2,2,9,31,88.5400,88.4400,88.4400,88.6300,2713
2018,2,2,9,32,88.4500,88.4000,88.4000,88.4500,312
2018,2,2,9,34,88.4400,88.4300,88.4300,88.4400,2112
2018,2,2,9,35,88.4600,88.4600,88.4600,88.4600,200
2018,2,2,9,37,88.3900,88.3700,88.3700,88.3900,200
2018,2,2,9,38,88.3600,88.4000,88.3600,88.4000,700
2018,2,2,9,39,88.3500,88.4100,88.3500,88.4100,300
2018,2,2,9,41,88.4000,88.3200,88.2800,88.4500,14958
2018,2,2,9,42,88.3900,88.3800,88.3500,88.4100,5542
2018,2,2,9,43,88.3700,88.4000,88.3700,88.4000,300
2018,2,2,9,44,88.3200,88.3600,88.2500,88.3600,6472
2018,2,2,9,45,88.3500,88.3400,88.3300,88.3500,500
2018,2,2,9,46,88.2850,88.2900,88.2850,88.3300,482
2018,2,2,9,47,88.2900,88.2000,88.1700,88.3000,9529
2018,2,2,9,48,88.2100,88.2200,88.1100,88.2200,4600
2018,2,2,9,49,88.2100,88.1900,88.1150,88.2200,4720
2018,2,2,9,50,88.1900,88.2800,88.1900,88.2800,1098
2018,2,2,9,51,88.3000,88.3300,88.3000,88.4300,2384
2018,2,2,9,52,88.2600,88.2600,88.2600,88.2600,100
2018,2,2,9,53,88.3244,88.4000,88.2500,88.4000,575
2018,2,2,9,54,88.2400,88.3200,88.2400,88.4100,3950
2018,2,2,9,55,88.4000,88.3450,88.3450,88.4000,200
2018,2,2,9,56,88.3100,88.4100,88.3100,88.4100,200
2018,2,2,9,57,88.3900,88.3500,88.3500,88.4100,1800
2018,2,2,9,58,88.3800,88.4000,88.3800,88.4000,600
2018,2,2,9,59,88.4000,88.4000,88.4000,88.4000,479
2018,2,2,10,0,88.3600,88.3500,88.3500,88.3600,300
2018,2,2,10,1,88.3500,88.3800,88.3500,88.3800,564
2018,2,2,10,2,88.3600,88.4300,88.3400,88.4400,7794
2018,2,2,10,3,88.4000,88.3900,88.3700,88.4400,4403
2018,2,2,10,4,88.3900,88.4000,88.3600,88.4600,12861
2018,2,2,10,5,88.4000,88.4000,88.3400,88.4400,5556
2018,2,2,10,6,88.3900,88.4400,88.3800,88.4400,6460
2018,2,2,10,7,88.4400,88.4200,88.3800,88.4400,6509
2018,2,2,10,8,88.4100,88.3900,88.3900,88.4400,1400
2018,2,2,10,9,88.4400,88.3900,88.3900,88.4400,1803
2018,2,2,10,10,88.3900,88.4300,88.3600,88.4300,6652
2018,2,2,10,11,88.4000,88.3800,88.3700,88.4200,2600
2018,2,2,10,12,88.4400,88.4600,88.4000,88.4700,1700
2018,2,2,10,13,88.4600,88.4100,88.4000,88.4600,2500
2018,2,2,10,14,88.4000,88.4500,88.3800,88.4900,11109
2018,2,2,10,15,88.4400,88.4100,88.4100,88.4500,4800
2018,2,2,10,16,88.4000,88.4000,88.4000,88.4000,800
2018,2,2,10,17,88.3900,88.3600,88.2800,88.4000,9935
2018,2,2,10,18,88.3900,88.3300,88.3300,88.3900,600
2018,2,2,10,19,88.2500,88.3100,88.2500,88.3100,300
2018,2,2,10,20,88.3100,88.3200,88.2600,88.3300,600
2018,2,2,10,22,88.3300,88.3300,88.3300,88.3300,100
2018,2,2,10,23,88.3800,88.3500,88.3500,88.3800,200
2018,2,2,10,26,88.3800,88.3800,88.3500,88.3800,600
2018,2,2,10,28,88.3550,88.3900,88.3550,88.3900,200
2018,2,2,10,29,88.3500,88.3550,88.3500,88.3550,200
2018,2,2,10,30,88.3900,88.3900,88.3900,88.3900,100
2018,2,2,10,31,88.3200,88.3200,88.3200,88.3200,700
2018,2,2,10,32,88.3100,88.2500,88.2300,88.3100,11200
2018,2,2,10,33,88.2400,88.3000,88.2300,88.3200,2874
2018,2,2,10,34,88.2950,88.3000,88.2950,88.3000,200
2018,2,2,10,37,88.3300,88.3300,88.3300,88.3300,100
2018,2,2,10,38,88.3000,88.3000,88.3000,88.3000,100
2018,2,2,10,40,88.3600,88.3500,88.3500,88.3900,1313
2018,2,2,10,41,88.3900,88.3900,88.3900,88.4100,500
2018,2,2,10,42,88.4100,88.4300,88.4000,88.4300,400
2018,2,2,10,43,88.4100,88.4100,88.4100,88.4100,100
2018,2,2,10,44,88.3900,88.3900,88.3900,88.3900,100
2018,2,2,10,45,88.3800,88.3700,88.3600,88.4000,1200
2018,2,2,10,46,88.3500,88.3500,88.3500,88.3700,700
2018,2,2,10,47,88.3100,88.3100,88.3100,88.3100,200
2018,2,2,10,49,88.3500,88.3600,88.3500,88.3600,800
2018,2,2,10,50,88.3500,88.3100,88.2600,88.3600,6500
2018,2,2,10,51,88.3000,88.3000,88.3000,88.3000,100
2018,2,2,10,53,88.3000,88.3200,88.2900,88.3500,1978
2018,2,2,10,54,88.3000,88.3000,88.3000,88.3000,300
2018,2,2,10,55,88.3000,88.3000,88.3000,88.3000,200
2018,2,2,10,56,88.3000,88.3300,88.2900,88.3300,1300
2018,2,2,10,58,88.2800,88.2900,88.2800,88.3000,10600
2018,2,2,10,59,88.3000,88.3000,88.3000,88.3000,300
2018,2,2,11,0,88.3000,88.3000,88.3000,88.3200,1900
2018,2,2,11,1,88.3000,88.3200,88.3000,88.3200,200
2018,2,2,11,2,88.3100,88.3100,88.3100,88.3100,200
2018,2,2,11,3,88.2800,88.3100,88.2800,88.3100,300
2018,2,2,11,4,88.2900,88.3000,88.2900,88.3000,400
2018,2,2,11,5,88.2900,88.3000,88.2900,88.3000,600
2018,2,2,11,6,88.2900,88.2900,88.2800,88.3000,3930
2018,2,2,11,7,88.2900,88.3050,88.2900,88.3050,700
2018,2,2,11,8,88.3000,88.3000,88.3000,88.3200,800
2018,2,2,11,9,88.3100,88.3100,88.2900,88.3100,300
2018,2,2,11,10,88.3100,88.3700,88.2900,88.4000,7723
2018,2,2,11,11,88.3800,88.3800,88.3800,88.3800,200
2018,2,2,11,13,88.4100,88.4100,88.4100,88.4100,400
2018,2,2,11,14,88.4100,88.4400,88.4100,88.4400,300
2018,2,2,11,15,88.4700,88.4700,88.4700,88.4700,100
2018,2,2,11,17,88.4600,88.4300,88.4200,88.4600,1400
2018,2,2,11,18,88.4200,88.4200,88.3950,88.4500,3290
2018,2,2,11,19,88.3900,88.4400,88.3900,88.4400,300
2018,2,2,11,20,88.4200,88.4200,88.4100,88.4200,400
2018,2,2,11,21,88.4200,88.4200,88.4200,88.4200,200
2018,2,2,11,24,88.4700,88.4700,88.4700,88.4700,100
2018,2,2,11,25,88.4400,88.4400,88.4400,88.4400,100
2018,2,2,11,26,88.4600,88.4700,88.4350,88.4700,300
2018,2,2,11,27,88.4400,88.4700,88.4400,88.4800,500
2018,2,2,11,28,88.4400,88.4200,88.4000,88.4400,3200
2018,2,2,11,29,88.4200,88.4500,88.4100,88.4500,1011
2018,2,2,11,30,88.4200,88.4100,88.4000,88.4400,1200
2018,2,2,11,31,88.4100,88.3900,88.3800,88.4400,3700
2018,2,2,11,32,88.3950,88.4400,88.3800,88.4400,800
2018,2,2,11,33,88.4200,88.4300,88.4150,88.4300,500
2018,2,2,11,35,88.4300,88.4600,88.4300,88.4700,700
2018,2,2,11,36,88.4700,88.4100,88.4100,88.4700,200
2018,2,2,11,37,88.4100,88.4000,88.3800,88.4300,2400
2018,2,2,11,38,88.4100,88.4500,88.4100,88.4500,800
2018,2,2,11,39,88.4000,88.4000,88.4000,88.4000,100
2018,2,2,11,40,88.4400,88.4400,88.4200,88.4400,400
2018,2,2,11,41,88.4600,88.4900,88.4600,88.4900,2700
2018,2,2,11,43,88.4900,88.4800,88.4800,88.6300,7890
2018,2,2,11,44,88.4800,88.4400,88.4400,88.5150,3980
2018,2,2,11,45,88.4400,88.4100,88.4100,88.4800,3568
2018,2,2,11,46,88.4200,88.3600,88.3600,88.4300,600
2018,2,2,11,47,88.3900,88.3900,88.3900,88.3900,100
2018,2,2,11,48,88.3800,88.4000,88.3500,88.4000,800
2018,2,2,11,49,88.4100,88.3900,88.3850,88.4200,1400
2018,2,2,11,50,88.3500,88.3500,88.3500,88.3500,500
2018,2,2,11,51,88.3350,88.3350,88.3350,88.3350,100
2018,2,2,11,52,88.3700,88.3700,88.3700,88.3700,100
2018,2,2,11,53,88.3600,88.3600,88.3600,88.3600,200
2018,2,2,11,54,88.3500,88.3500,88.3500,88.3500,100
2018,2,2,11,55,88.3200,88.3100,88.3100,88.3500,400
2018,2,2,11,56,88.3200,88.3500,88.2700,88.3700,36522
2018,2,2,11,57,88.3000,88.2700,88.2500,88.3700,19786
2018,2,2,11,58,88.2700,88.3000,88.2600,88.3000,700
2018,2,2,11,59,88.2500,88.2500,88.2500,88.2800,8254
2018,2,2,12,0,88.2500,88.2400,88.2200,88.2800,25752
2018,2,2,12,1,88.2400,88.2300,88.2200,88.2500,3300
2018,2,2,12,2,88.1800,88.1700,88.1500,88.2300,6310
2018,2,2,12,3,88.1850,88.1400,88.1400,88.2000,3369
2018,2,2,12,4,88.1600,88.1000,88.0900,88.1700,3900
2018,2,2,12,5,88.1200,88.1200,88.0700,88.1200,4500
2018,2,2,12,6,88.1200,88.0900,88.0800,88.1200,1500
2018,2,2,12,7,88.1100,88.1200,88.0800,88.1400,1700
2018,2,2,12,8,88.0950,88.0950,88.0800,88.1050,600
2018,2,2,12,9,88.1200,88.0700,88.0700,88.1300,1300
2018,2,2,12,10,88.1200,88.1100,88.0700,88.1200,500
2018,2,2,12,11,88.0800,88.1500,88.0800,88.1500,1400
2018,2,2,12,12,88.1600,88.1750,88.1600,88.1900,1100
2018,2,2,12,13,88.1600,88.2300,88.1600,88.2300,1200
2018,2,2,12,14,88.2300,88.2800,88.2150,88.2800,700
2018,2,2,12,15,88.2800,88.3000,88.2800,88.3200,4900
2018,2,2,12,16,88.2700,88.2700,88.2700,88.2850,400
2018,2,2,12,17,88.2600,88.2200,88.2200,88.2800,1500
2018,2,2,12,18,88.2450,88.2450,88.2450,88.2450,200
2018,2,2,12,19,88.2700,88.2700,88.2300,88.2700,500
2018,2,2,12,20,88.2000,88.1900,88.1900,88.2400,1200
2018,2,2,12,21,88.1900,88.2200,88.1900,88.2200,900
2018,2,2,12,22,88.1600,88.1400,88.1400,88.2100,1300
2018,2,2,12,23,88.1500,88.1400,88.1400,88.1700,1000
2018,2,2,12,24,88.1400,88.1400,88.1400,88.1400,400
2018,2,2,12,25,88.1200,88.1600,88.1200,88.1600,200
2018,2,2,12,26,88.1600,88.2000,88.1600,88.2000,400
2018,2,2,12,27,88.1900,88.1900,88.1900,88.1900,100
2018,2,2,12,28,88.1800,88.2300,88.1800,88.2300,200
2018,2,2,12,29,88.2300,88.2300,88.2300,88.2300,100
2018,2,2,12,30,88.1800,88.1550,88.1500,88.2200,3000
2018,2,2,12,31,88.1400,88.1100,88.1100,88.1800,2100
2018,2,2,12,32,88.1100,88.1050,88.0600,88.1300,2100
2018,2,2,12,33,88.1100,88.1100,88.0900,88.1400,4000
2018,2,2,12,34,88.1100,88.1200,88.0900,88.1450,1700
2018,2,2,12,35,88.1600,88.1600,88.1300,88.1600,400
2018,2,2,12,37,88.1600,88.1600,88.1600,88.1600,100
2018,2,2,12,38,88.1700,88.1428,88.1428,88.1800,300
2018,2,2,12,39,88.1700,88.1000,88.1000,88.1700,500
2018,2,2,12,40,88.1300,88.1300,88.1000,88.1300,800
2018,2,2,12,41,88.1200,88.0300,88.0300,88.1200,4200
2018,2,2,12,42,88.0300,88.0900,88.0300,88.0900,900
2018,2,2,12,43,88.0900,88.0900,88.0900,88.0900,200
2018,2,2,12,44,88.0900,88.1250,88.0900,88.1300,1200
