year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,163.8100,164.5000,163.8100,164.5000,14949
2018,2,2,9,31,164.5000,164.5000,164.5000,164.5000,500
2018,2,2,9,32,164.0500,164.0500,164.0500,164.0500,100
2018,2,2,9,33,163.9850,164.0500,163.9850,164.0700,700
2018,2,2,9,34,164.2650,164.0400,163.8700,164.2650,1100
2018,2,2,9,35,164.1600,163.9920,163.8700,164.2100,8540
2018,2,2,9,36,164.0100,164.0000,163.8400,164.0950,7651
2018,2,2,9,37,163.9700,163.9600,163.8500,164.1100,1833
2018,2,2,9,38,164.1350,164.2800,164.0300,164.3100,3207
2018,2,2,9,39,164.1950,164.3350,164.1891,164.3400,1530
2018,2,2,9,41,164.2900,164.3200,164.2000,164.3200,500
2018,2,2,9,42,164.2000,164.4400,163.9100,164.4950,16040
2018,2,2,9,43,164.4500,164.4058,164.2600,164.5000,1000
2018,2,2,9,44,164.3000,164.3000,164.3000,164.3000,100
2018,2,2,9,45,164.4700,164.4800,164.1500,164.5000,3700
2018,2,2,9,46,164.5000,164.4800,164.1800,164.5000,900
2018,2,2,9,47,164.3600,164.4700,164.3400,164.4700,300
2018,2,2,9,48,164.4700,164.4950,164.3500,164.5000,2500
2018,2,2,9,49,164.3400,164.3400,164.3400,164.3400,100
2018,2,2,9,50,164.4340,164.4800,164.4340,164.4800,200
2018,2,2,9,51,164.4800,164.2100,164.2100,164.5400,18424
2018,2,2,9,52,164.2300,164.4500,164.2300,164.4500,1901
2018,2,2,9,53,164.4400,164.4900,164.4400,164.5000,2139
2018,2,2,9,54,164.4500,164.1950,164.1950,164.4500,1800
2018,2,2,9,55,164.2500,164.3150,164.2000,164.3150,2600
2018,2,2,9,56,164.2744,164.2100,164.2000,164.4200,1200
2018,2,2,9,57,164.4000,164.4050,164.4000,164.4150,300
2018,2,2,9,58,164.2500,164.2500,164.2200,164.2750,1000
2018,2,2,9,59,164.3500,164.2550,164.2550,164.3650,300
2018,2,2,10,0,164.2500,164.2200,164.1700,164.2500,4650
2018,2,2,10,1,164.1900,164.0800,163.9300,164.2500,24481
2018,2,2,10,2,164.1100,163.9800,163.9450,164.1300,7754
2018,2,2,10,3,163.9201,163.7000,163.7000,163.9600,5243
2018,2,2,10,4,163.6600,163.5950,163.5400,163.6600,1300
2018,2,2,10,5,163.6100,163.4700,163.4700,163.6400,1148
2018,2,2,10,6,163.3900,163.4400,163.3600,163.5000,2590
2018,2,2,10,7,163.5100,163.7300,163.5100,163.7400,2550
2018,2,2,10,8,163.7650,163.7950,163.6700,163.8150,6800
2018,2,2,10,9,163.7500,163.7850,163.7500,163.8400,700
2018,2,2,10,10,163.7100,163.8800,163.6850,163.8900,6021
2018,2,2,10,11,163.8400,163.8400,163.7500,163.8400,600
2018,2,2,10,12,163.7000,163.7600,163.6600,163.8100,1800
2018,2,2,10,13,163.8400,163.8750,163.7500,163.8750,1700
2018,2,2,10,14,163.8300,163.6200,163.6000,163.8300,3279
2018,2,2,10,15,163.6900,163.7450,163.6900,163.7450,800
2018,2,2,10,16,163.7400,163.6900,163.5300,163.7700,3100
2018,2,2,10,17,163.6400,163.7800,163.6200,163.8300,9700
2018,2,2,10,18,163.7800,163.7600,163.6200,163.8400,3310
2018,2,2,10,19,163.7750,163.6600,163.6600,163.8500,1815
2018,2,2,10,20,163.6000,163.6100,163.6000,163.6100,400
2018,2,2,10,21,163.6850,163.8400,163.5100,163.8500,4500
2018,2,2,10,22,163.8500,164.0700,163.8200,164.0700,1300
2018,2,2,10,23,164.0900,164.0600,163.8900,164.1000,2500
2018,2,2,10,24,163.9400,163.9250,163.8300,164.0000,5680
2018,2,2,10,25,163.8800,163.9950,163.8700,164.0000,1324
2018,2,2,10,26,163.9450,163.9500,163.9400,164.0600,3400
2018,2,2,10,27,164.0950,164.0500,163.8800,164.0950,3300
2018,2,2,10,28,164.0400,163.9300,163.7800,164.0400,2300
2018,2,2,10,29,163.8500,163.9200,163.8500,163.9200,500
2018,2,2,10,30,163.9200,163.9900,163.8800,164.0000,2067
2018,2,2,10,31,163.8500,163.9100,163.7700,163.9850,1300
2018,2,2,10,32,163.8400,163.9316,163.8100,163.9750,1500
2018,2,2,10,33,163.9350,163.8950,163.8100,164.0050,700
2018,2,2,10,34,163.8250,163.8850,163.8250,163.8850,300
2018,2,2,10,35,163.8900,163.8050,163.6600,163.8900,900
2018,2,2,10,36,163.8100,163.8900,163.6800,163.9100,2649
2018,2,2,10,37,163.9050,163.9950,163.8250,163.9950,1500
2018,2,2,10,38,164.0000,164.0500,164.0000,164.0500,700
2018,2,2,10,39,164.0800,164.1100,164.0800,164.1100,300
2018,2,2,10,40,164.0500,163.9450,163.9100,164.0550,3150
2018,2,2,10,41,163.9500,164.1050,163.8800,164.1050,1300
