year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,53.2000,53.2000,53.2000,53.2000,18328
2018,2,2,9,31,53.1700,53.1700,53.1700,53.1800,1045
2018,2,2,9,32,53.1900,53.5200,53.1900,53.5200,6127
2018,2,2,9,33,53.6000,53.8200,53.5900,53.8300,8480
2018,2,2,9,34,53.9700,54.1700,53.9700,54.2500,9202
2018,2,2,9,35,54.1500,54.1900,54.0700,54.2200,15643
2018,2,2,9,36,54.1400,54.1400,54.0200,54.1400,6732
2018,2,2,9,37,54.1100,54.1900,54.1100,54.1900,1400
2018,2,2,9,38,54.2300,54.3000,54.2300,54.3300,6341
2018,2,2,9,39,54.2500,54.3100,54.2500,54.4200,7468
2018,2,2,9,40,54.3300,54.3100,54.2700,54.4100,5655
2018,2,2,9,41,54.3300,54.3701,54.3000,54.4400,3837
2018,2,2,9,42,54.4400,54.5300,54.4400,54.5900,5852
2018,2,2,9,43,54.5450,54.5600,54.4900,54.6600,7602
2018,2,2,9,44,54.5500,54.6200,54.5500,54.6200,10000
2018,2,2,9,45,54.6000,54.7000,54.6000,54.7200,2805
2018,2,2,9,46,54.7200,54.6100,54.5800,54.7300,7083
2018,2,2,9,47,54.5600,54.4700,54.4700,54.5800,3937
2018,2,2,9,48,54.4950,54.4000,54.4000,54.5000,45020
2018,2,2,9,49,54.4000,54.3900,54.3800,54.4400,2500
2018,2,2,9,50,54.4000,54.2450,54.2100,54.4150,6639
2018,2,2,9,51,54.1900,54.2000,54.1100,54.2000,2689
2018,2,2,9,52,54.2100,54.4300,54.2100,54.4500,6275
2018,2,2,9,53,54.4600,54.3450,54.3450,54.4600,7000
2018,2,2,9,54,54.3800,54.3900,54.3800,54.4500,4100
2018,2,2,9,55,54.3900,54.4700,54.3900,54.4800,2944
2018,2,2,9,56,54.5100,54.4900,54.4900,54.5900,12664
2018,2,2,9,57,54.4600,54.4975,54.4200,54.5200,3003
2018,2,2,9,58,54.5100,54.5000,54.5000,54.5500,3809
2018,2,2,9,59,54.5050,54.4350,54.4200,54.5050,1690
2018,2,2,10,0,54.4200,54.2200,54.1700,54.4200,4642
2018,2,2,10,1,54.2000,54.1200,54.1200,54.2850,4500
2018,2,2,10,2,54.0900,54.1500,54.0900,54.2300,1900
2018,2,2,10,3,54.1500,54.2400,54.1100,54.2400,7015
2018,2,2,10,4,54.2500,54.2000,54.1800,54.2500,1700
2018,2,2,10,5,54.1500,54.1300,54.0800,54.2000,5936
2018,2,2,10,6,54.1400,54.3100,54.1300,54.3100,3650
2018,2,2,10,7,54.3600,54.3050,54.3050,54.4000,8047
2018,2,2,10,8,54.3200,54.2850,54.2200,54.3900,4624
2018,2,2,10,9,54.2850,54.2800,54.2600,54.3200,2700
2018,2,2,10,10,54.2500,54.2000,54.1300,54.2500,2900
2018,2,2,10,11,54.2450,54.2000,54.1600,54.2500,4122
2018,2,2,10,12,54.1700,54.2650,54.1550,54.2650,13366
2018,2,2,10,13,54.2700,54.2600,54.2000,54.2900,8208
2018,2,2,10,14,54.2500,54.2000,54.1800,54.2650,7385
2018,2,2,10,15,54.1900,54.0800,54.0800,54.1900,2971
2018,2,2,10,16,54.0600,54.0000,54.0000,54.0600,2932
2018,2,2,10,17,54.0200,54.0100,53.9900,54.0350,4283
2018,2,2,10,18,54.0200,53.9050,53.8800,54.0200,4019
2018,2,2,10,19,53.9000,53.9000,53.8800,53.9000,1400
2018,2,2,10,20,53.8815,53.7900,53.7900,53.8900,3714
2018,2,2,10,21,53.7500,53.7900,53.7500,53.8300,6200
2018,2,2,10,22,53.8150,53.8250,53.7900,53.8400,2411
2018,2,2,10,23,53.8400,53.8400,53.8400,53.9300,9332
2018,2,2,10,24,53.8400,53.8450,53.8400,53.8450,225
2018,2,2,10,25,53.8450,53.7950,53.7700,53.8500,6161
2018,2,2,10,26,53.7900,53.9300,53.7700,53.9300,5623
2018,2,2,10,27,53.9334,53.8900,53.8900,53.9700,16700
2018,2,2,10,28,53.8800,53.8500,53.8200,53.8800,2600
2018,2,2,10,29,53.8600,53.9200,53.8600,53.9400,4101
2018,2,2,10,30,53.9100,53.9200,53.8900,53.9200,2102
2018,2,2,10,31,53.9200,53.8950,53.8950,53.9600,4007
2018,2,2,10,32,53.8800,53.8900,53.8800,53.9100,2193
2018,2,2,10,33,53.8700,53.9000,53.8600,53.9000,3666
2018,2,2,10,34,53.9000,53.9000,53.8700,53.9400,4200
2018,2,2,10,35,53.9050,54.0350,53.8800,54.0350,7621
2018,2,2,10,36,54.0200,53.9400,53.9400,54.0200,3750
2018,2,2,10,37,53.9000,53.9400,53.9000,53.9800,2418
2018,2,2,10,38,53.9450,54.0000,53.9300,54.0200,2700
2018,2,2,10,39,54.0250,54.0000,53.9900,54.0250,1100
2018,2,2,10,40,54.0000,53.9939,53.9800,54.0000,7100
2018,2,2,10,41,54.0000,54.0100,54.0000,54.0300,2200
