year,month,day,hour,minute,open,close,low,high,volume
2000,1,3,0,0,104.8700,111.9400,101.6900,112.5000,4783900
2000,1,4,0,0,108.2500,102.5000,101.1900,110.6200,4574800
2000,1,5,0,0,103.7500,104.0000,103.0000,110.5600,6949300
2000,1,6,0,0,106.1200,95.0000,95.0000,107.0000,6856900
2000,1,7,0,0,96.5000,99.5000,95.5000,101.0000,4113700
2000,1,10,0,0,102.0000,97.7500,94.7500,102.2500,4509500
2000,1,11,0,0,95.9400,92.7500,90.5000,99.3700,3942400
2000,1,12,0,0,95.0000,87.1900,86.5000,95.5000,8714900
2000,1,13,0,0,94.4800,96.7500,92.5000,98.7500,9220400
2000,1,14,0,0,100.0000,100.4400,99.3700,102.2500,3485500
2000,1,18,0,0,101.0000,103.9400,100.4400,106.0000,4099800
2000,1,19,0,0,105.6200,106.5600,103.3700,108.7500,5336100
2000,1,20,0,0,115.5000,113.5000,113.5000,121.5000,16349400
2000,1,21,0,0,114.2500,111.3100,110.1900,114.2500,4427900
2000,1,24,0,0,108.4400,106.2500,105.1200,112.7500,3936400
2000,1,25,0,0,105.0000,112.2500,102.3700,113.1200,4438800
2000,1,26,0,0,110.0000,110.1900,109.7500,114.1900,3278200
2000,1,27,0,0,108.8100,110.0000,107.0000,113.0000,3037000
2000,1,28,0,0,108.1900,101.6200,100.6200,110.8700,3779900
2000,1,31,0,0,101.0000,103.7500,94.5000,103.8700,6265000
2000,2,1,0,0,104.0000,100.2500,100.0000,105.0000,2839600
2000,2,2,0,0,100.7500,98.8100,97.0000,102.1200,4144600
2000,2,3,0,0,100.3100,103.3100,100.2500,104.2500,4242800
2000,2,4,0,0,103.9400,108.0000,103.6200,110.0000,3797500
2000,2,7,0,0,108.0000,114.0600,105.9400,114.2500,3938100
2000,2,8,0,0,114.0000,114.8700,111.2500,116.1200,3648600
2000,2,9,0,0,114.1200,112.6200,112.4400,117.1200,2672900
2000,2,10,0,0,112.8700,113.5000,110.0000,113.8700,2705200
2000,2,11,0,0,113.6200,108.7500,108.2500,114.1200,1895100
2000,2,14,0,0,109.3100,115.8100,108.6200,115.8700,3281600
2000,2,15,0,0,115.2500,119.0000,115.1900,119.9400,4337000
2000,2,16,0,0,117.7500,114.1200,112.1200,118.1200,3377200
2000,2,17,0,0,115.1900,114.8700,113.1200,115.5000,2584800
2000,2,18,0,0,114.6200,111.2500,110.8700,115.3700,2084300
2000,2,22,0,0,110.1200,113.8100,106.6900,116.9400,3770500
2000,2,23,0,0,113.2300,116.2500,111.0000,119.0000,4224100
2000,2,24,0,0,117.3100,115.2000,111.7500,119.1200,3361000
2000,2,25,0,0,114.8100,110.3700,110.1200,117.0000,2224500
2000,2,28,0,0,110.1200,113.2500,108.3700,115.0000,2931500
2000,2,29,0,0,113.5600,114.6200,112.5600,117.2500,3294300
2000,3,1,0,0,118.5600,130.3100,118.5000,132.0600,9616100
2000,3,2,0,0,127.0000,122.0000,120.6900,127.9400,2779100
2000,3,3,0,0,124.8700,128.0000,120.0000,128.2300,2887200
2000,3,6,0,0,126.0000,125.6900,125.0000,129.1300,1880000
2000,3,7,0,0,126.4400,122.8700,121.1200,127.4400,2437600
2000,3,8,0,0,122.8700,122.0000,118.5600,123.9400,2421700
2000,3,9,0,0,120.8700,122.2500,118.2500,125.0000,2470700
2000,3,10,0,0,121.6900,125.7500,121.0000,127.9400,2219700
2000,3,13,0,0,122.1200,121.3100,119.5000,126.5000,2713900
2000,3,14,0,0,121.2200,114.2500,114.0000,124.2500,3826600
2000,3,15,0,0,115.6200,116.2500,114.1200,120.2500,3960800
2000,3,16,0,0,117.3100,121.5600,114.5000,122.0000,3375900
2000,3,17,0,0,120.1200,125.0000,119.6200,125.0000,2723600
2000,3,20,0,0,123.5000,123.0000,122.3700,126.2500,1825800
2000,3,21,0,0,122.5600,134.9400,121.6200,136.7500,4681500
2000,3,22,0,0,132.7800,144.1900,131.5600,144.3800,5071400
2000,3,23,0,0,142.0000,141.3100,140.0000,150.3800,5022900
2000,3,24,0,0,142.4400,138.6900,135.5000,143.9400,3990300
2000,3,27,0,0,137.6300,139.5600,136.8800,144.7500,2492700
2000,3,28,0,0,137.2500,139.1300,137.1300,142.0000,1812200
2000,3,29,0,0,139.3800,135.9400,133.8300,139.4400,2141400
2000,3,30,0,0,133.5600,125.7500,125.4400,137.6900,3700000
2000,3,31,0,0,127.4400,135.8100,126.0000,137.2500,3612800
2000,4,3,0,0,135.5000,133.3100,129.4400,139.5000,2933600
2000,4,4,0,0,132.6300,127.3100,116.7500,133.0000,5895800
2000,4,5,0,0,126.4700,130.3800,124.0000,132.8800,4086300
2000,4,6,0,0,130.6300,125.1900,123.2500,134.5000,2318100
2000,4,7,0,0,127.2500,131.7500,125.5000,131.8800,2164600
2000,4,10,0,0,131.6900,125.0000,124.7500,132.7500,1895200
2000,4,11,0,0,123.5000,119.4400,118.0600,124.8700,4837700
2000,4,12,0,0,119.0000,109.2500,104.8700,119.0000,8403000
2000,4,13,0,0,111.5000,113.8100,108.5000,120.0000,4730600
2000,4,14,0,0,109.3100,111.8700,109.0000,118.0000,5960900
2000,4,17,0,0,109.5000,123.8700,109.0600,123.9400,3656800
2000,4,18,0,0,123.5000,126.8700,119.3700,126.8700,3490400
2000,4,19,0,0,126.1900,121.1200,119.7500,130.2500,4644200
2000,4,20,0,0,123.6900,118.8700,117.0600,124.7500,6447500
2000,4,24,0,0,115.0000,120.5000,114.7500,120.5000,3960900
2000,4,25,0,0,122.1200,128.3100,122.0600,128.7500,3496800
2000,4,26,0,0,126.6200,121.3100,120.0000,128.0000,3276000
2000,4,27,0,0,117.1900,126.7500,116.5800,127.0000,2916100
2000,4,28,0,0,127.1200,124.0600,121.3100,127.5000,2228400
2000,5,1,0,0,124.8700,124.3100,121.8700,125.1200,2019600
2000,5,2,0,0,123.2500,117.8700,117.5000,126.2500,2111000
2000,5,3,0,0,118.9400,115.0600,111.6200,121.2500,4373200
2000,5,4,0,0,115.1200,110.6900,110.5600,115.2500,3567100
2000,5,5,0,0,110.8100,113.1200,110.7200,114.7500,2536400
2000,5,8,0,0,112.0900,110.1200,110.0000,113.6900,1650900
2000,5,9,0,0,110.3100,105.4400,104.8700,111.2500,2920900
2000,5,10,0,0,104.0600,99.3100,98.7500,105.0000,4777600
2000,5,11,0,0,101.3700,102.8100,99.0000,104.2500,4462000
2000,5,12,0,0,106.0000,107.6200,104.7700,110.5000,2740300
2000,5,15,0,0,108.0600,101.0000,100.1200,108.0600,6061900
2000,5,16,0,0,104.5200,105.6900,102.7500,109.0600,3932600
2000,5,17,0,0,103.6200,101.3700,100.3700,103.6900,3554400
2000,5,18,0,0,103.0000,100.7500,100.6200,104.9400,3337300
2000,5,19,0,0,99.2500,94.0000,93.3700,99.2500,6613100
2000,5,22,0,0,93.7500,89.9400,86.0000,93.7500,6745600
2000,5,23,0,0,90.5000,85.8100,85.6200,93.3700,4621300
2000,5,24,0,0,86.1900,87.6900,83.0000,89.7500,6057700
2000,5,25,0,0,88.5000,87.2700,86.0000,92.6600,3631700
2000,5,26,0,0,88.0000,86.3700,85.2500,89.8700,1617400
2000,5,30,0,0,87.6200,87.5600,81.7500,88.1200,6366600
2000,5,31,0,0,86.8700,84.0000,83.8100,91.2500,3870600
2000,6,1,0,0,81.7500,89.1200,80.3700,89.5600,8070000
2000,6,2,0,0,93.7500,92.5600,89.0000,99.7500,7079000
