year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,42.0400,42.0200,42.0000,42.1300,60072
2018,2,2,9,32,42.0200,41.9700,41.9700,42.0400,1820
2018,2,2,9,33,42.0200,42.1200,42.0000,42.1200,7410
2018,2,2,9,34,42.1100,42.0400,42.0400,42.1100,4381
2018,2,2,9,35,42.0800,42.0944,42.0800,42.1200,1969
2018,2,2,9,36,42.1150,42.0900,42.0900,42.1300,1500
2018,2,2,9,37,42.0700,41.9900,41.9700,42.0810,9800
2018,2,2,9,38,42.0100,41.9900,41.9900,42.0350,3888
2018,2,2,9,39,42.0100,42.0300,42.0100,42.0300,400
2018,2,2,9,40,42.0100,42.0300,41.9800,42.0300,2992
2018,2,2,9,41,42.0200,42.0000,41.9700,42.0200,7700
2018,2,2,9,42,42.0100,42.0400,41.9900,42.0400,7591
2018,2,2,9,43,42.0250,42.0300,41.9800,42.0500,6757
2018,2,2,9,44,42.0300,42.0252,42.0000,42.0500,3750
2018,2,2,9,45,42.0350,42.0100,42.0100,42.0750,3557
2018,2,2,9,46,42.0100,41.9900,41.9900,42.0200,1357
2018,2,2,9,47,41.9843,41.9900,41.9843,42.0100,5232
2018,2,2,9,48,41.9900,41.9900,41.9900,42.0200,4824
2018,2,2,9,49,41.9868,41.9900,41.9850,42.0098,6393
2018,2,2,9,50,42.0000,42.0300,41.9958,42.0300,4036
2018,2,2,9,51,42.0300,42.0900,42.0200,42.0900,4108
2018,2,2,9,52,42.1000,42.0600,42.0500,42.1000,2300
2018,2,2,9,53,42.0600,42.0000,42.0000,42.0700,15980
2018,2,2,9,54,42.0036,41.9700,41.9600,42.0036,3905
2018,2,2,9,55,41.9600,41.9300,41.9100,41.9600,6334
2018,2,2,9,56,41.9200,41.9400,41.9150,41.9500,1400
2018,2,2,9,57,41.9500,41.9600,41.9350,41.9600,2800
2018,2,2,9,58,41.9700,42.0100,41.9700,42.0100,4963
2018,2,2,9,59,42.0100,42.0200,41.9900,42.0200,1600
2018,2,2,10,0,42.0000,41.9300,41.9250,42.0100,6550
2018,2,2,10,1,41.9400,42.0100,41.9300,42.0200,4456
2018,2,2,10,2,41.9950,42.0200,41.9900,42.0400,5100
2018,2,2,10,3,42.0200,41.9800,41.9800,42.0200,3900
2018,2,2,10,4,41.9748,41.9700,41.9600,41.9800,5600
2018,2,2,10,5,41.9700,41.9500,41.9500,41.9800,3935
2018,2,2,10,6,41.9500,41.9800,41.9400,41.9800,3850
2018,2,2,10,7,41.9700,41.9850,41.9400,41.9850,4945
2018,2,2,10,8,41.9900,42.0100,41.9700,42.0100,5600
2018,2,2,10,9,42.0200,42.0700,42.0200,42.0700,6061
2018,2,2,10,10,42.0700,42.0800,42.0400,42.0900,8792
2018,2,2,10,11,42.0500,42.0450,42.0450,42.0550,2466
2018,2,2,10,12,42.0450,42.0600,42.0450,42.0600,1400
2018,2,2,10,13,42.0600,42.0150,42.0100,42.0600,6699
2018,2,2,10,14,41.9950,41.9999,41.9800,42.0100,4595
2018,2,2,10,15,42.0000,41.9700,41.9700,42.0000,3899
2018,2,2,10,16,41.9600,41.9400,41.9400,41.9700,4515
2018,2,2,10,17,41.9400,41.9400,41.9400,41.9500,1200
2018,2,2,10,18,41.9400,41.9700,41.9340,41.9700,2678
2018,2,2,10,19,41.9700,41.9500,41.9500,41.9800,2861
2018,2,2,10,20,41.9550,41.9500,41.9500,41.9600,914
2018,2,2,10,21,41.9400,41.9300,41.9150,41.9400,2967
2018,2,2,10,22,41.9200,41.8900,41.8900,41.9200,12018
2018,2,2,10,23,41.8847,41.8530,41.8530,41.8847,3401
2018,2,2,10,24,41.8500,41.8252,41.8252,41.8500,6400
2018,2,2,10,25,41.8300,41.8300,41.8100,41.8300,4004
2018,2,2,10,26,41.8300,41.8560,41.8300,41.8560,6266
2018,2,2,10,27,41.8600,41.8900,41.8500,41.8900,4600
2018,2,2,10,28,41.8850,41.9342,41.8700,41.9342,13609
2018,2,2,10,29,41.9400,41.9400,41.9390,41.9400,1654
2018,2,2,10,30,41.9400,41.9200,41.9000,41.9400,4059
2018,2,2,10,31,41.9200,41.9200,41.9200,41.9300,1852
2018,2,2,10,32,41.9200,41.9300,41.9200,41.9350,2535
2018,2,2,10,33,41.9300,41.9300,41.9200,41.9350,2700
2018,2,2,10,34,41.9400,41.9400,41.9350,41.9400,2100
2018,2,2,10,35,41.9500,41.9800,41.9400,41.9800,3220
2018,2,2,10,36,41.9850,42.0000,41.9800,42.0000,4726
2018,2,2,10,37,42.0000,42.0000,41.9999,42.0200,3100
2018,2,2,10,38,42.0000,42.0200,42.0000,42.0200,2052
2018,2,2,10,39,42.0200,42.0100,42.0100,42.0400,3001
2018,2,2,10,40,42.0100,42.0100,42.0000,42.0100,3550
