year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,119.8000,119.8000,119.8000,119.8000,38673
2018,2,2,9,31,119.5100,120.3100,119.5100,120.4900,32707
2018,2,2,9,32,120.3500,120.1700,120.1700,120.6000,13599
2018,2,2,9,33,120.4700,120.3540,120.3540,120.4700,200
2018,2,2,9,34,120.3700,120.1800,120.0800,120.4199,7352
2018,2,2,9,35,120.1400,120.0400,120.0400,120.1750,2400
2018,2,2,9,36,119.9900,120.3700,119.9900,120.4081,9833
2018,2,2,9,37,120.3400,120.3300,120.2700,120.3400,3089
2018,2,2,9,38,120.2400,120.3300,120.1800,120.3400,2488
2018,2,2,9,39,120.3300,120.1050,120.1050,120.3700,2194
2018,2,2,9,40,120.1800,120.0200,120.0000,120.2100,4905
2018,2,2,9,41,120.0900,120.2300,120.0700,120.3600,5796
2018,2,2,9,42,120.2200,120.2500,120.2200,120.3500,3114
2018,2,2,9,43,120.2900,120.2800,120.2700,120.3900,2459
2018,2,2,9,44,120.2800,120.3300,120.2200,120.3600,4790
2018,2,2,9,45,120.3250,120.5600,120.3250,120.5700,3309
2018,2,2,9,46,120.5950,120.5450,120.4200,120.5950,3500
2018,2,2,9,47,120.4900,120.5900,120.4100,120.6700,6835
2018,2,2,9,48,120.5900,120.6800,120.5900,120.8700,11506
2018,2,2,9,49,120.5700,120.5800,120.5700,120.6900,1200
2018,2,2,9,50,120.5700,120.8200,120.5700,120.8200,3068
2018,2,2,9,51,120.7500,120.8250,120.7200,120.9700,4435
2018,2,2,9,52,120.8300,120.9100,120.6200,120.9100,5245
2018,2,2,9,53,120.8600,120.8800,120.8000,120.9500,4900
2018,2,2,9,54,120.8800,120.4500,120.4500,120.8800,5938
2018,2,2,9,55,120.4200,120.4500,120.3600,120.4900,2123
2018,2,2,9,56,120.3300,120.3400,120.3100,120.4100,2259
2018,2,2,9,57,120.4100,120.3908,120.3908,120.4600,2446
2018,2,2,9,58,120.4700,120.4800,120.4700,120.5600,1600
2018,2,2,9,59,120.5320,120.3900,120.3500,120.5500,4700
2018,2,2,10,0,120.4200,120.4000,120.3600,120.4700,2600
2018,2,2,10,1,120.4444,120.2700,120.2700,120.4444,3183
2018,2,2,10,2,120.2700,120.2700,120.2700,120.4050,3284
2018,2,2,10,3,120.3078,120.3800,120.3078,120.3900,2500
2018,2,2,10,4,120.3900,120.1700,120.1700,120.3900,1400
2018,2,2,10,5,120.1500,120.0500,120.0500,120.1600,2580
2018,2,2,10,6,120.0150,119.9744,119.8600,120.0150,5521
2018,2,2,10,7,120.0100,120.1100,119.9800,120.1100,4414
2018,2,2,10,8,120.1100,120.0976,120.0600,120.1800,4467
2018,2,2,10,9,120.0800,120.0200,120.0200,120.0900,1600
2018,2,2,10,10,120.0300,119.8900,119.8800,120.0300,2131
2018,2,2,10,11,119.9400,119.8900,119.8700,119.9600,3876
2018,2,2,10,12,119.8600,120.1300,119.8500,120.1700,6600
2018,2,2,10,13,120.1900,120.1859,120.1200,120.2600,2954
2018,2,2,10,14,120.1200,120.1400,120.1200,120.2000,1514
2018,2,2,10,15,120.1100,120.0100,120.0100,120.1100,1784
2018,2,2,10,16,120.0220,120.0800,119.9900,120.0859,3675
2018,2,2,10,17,120.0263,120.0300,119.9500,120.0600,3178
2018,2,2,10,18,120.0600,120.2000,120.0500,120.2000,2279
2018,2,2,10,19,120.1300,120.1500,120.1300,120.2400,2772
2018,2,2,10,20,120.2100,120.2500,120.1900,120.2500,1542
2018,2,2,10,21,120.2492,120.1500,120.1500,120.2800,2010
2018,2,2,10,22,120.2000,120.4600,120.2000,120.4600,6156
2018,2,2,10,23,120.3800,120.3400,120.3400,120.4400,1600
2018,2,2,10,24,120.3200,120.3200,120.2100,120.3200,2480
2018,2,2,10,25,120.3500,120.3177,120.2700,120.3500,1649
2018,2,2,10,26,120.2500,120.3100,120.2400,120.3400,1776
2018,2,2,10,27,120.3600,120.3000,120.2200,120.3600,2138
2018,2,2,10,28,120.3200,120.3400,120.3200,120.3800,4703
2018,2,2,10,29,120.3600,120.5200,120.3600,120.5700,7984
2018,2,2,10,30,120.5700,120.5400,120.4900,120.6900,15362
2018,2,2,10,31,120.6200,120.5100,120.4900,120.6200,3900
2018,2,2,10,32,120.5000,120.5000,120.4800,120.5600,1500
2018,2,2,10,33,120.5000,120.6400,120.5000,120.6400,6174
2018,2,2,10,34,120.5800,120.6540,120.5800,120.6540,5345
2018,2,2,10,35,120.6100,120.6750,120.6100,120.7100,1081
2018,2,2,10,36,120.7400,120.7112,120.6800,120.7400,1616
2018,2,2,10,37,120.7000,120.7000,120.7000,120.7300,1000
2018,2,2,10,38,120.6800,120.6900,120.6300,120.6900,2300
2018,2,2,10,39,120.7200,120.7071,120.6600,120.7200,681
2018,2,2,10,40,120.6600,120.5000,120.5000,120.6834,1597
2018,2,2,10,41,120.5500,120.6500,120.5500,120.6500,2100
2018,2,2,10,42,120.6600,120.6700,120.6400,120.6800,1400
2018,2,2,10,43,120.6700,120.6400,120.6300,120.6900,5840
2018,2,2,10,44,120.6000,120.5800,120.5800,120.6000,650
2018,2,2,10,45,120.5500,120.5200,120.4400,120.5750,3000
2018,2,2,10,46,120.4500,120.3800,120.3600,120.4900,2400
2018,2,2,10,47,120.3700,120.3900,120.3500,120.3900,500
2018,2,2,10,48,120.3600,120.3600,120.3600,120.3600,100
2018,2,2,10,49,120.3700,120.3500,120.3500,120.3872,1159
2018,2,2,10,50,120.3600,120.3200,120.3200,120.3910,1804
2018,2,2,10,51,120.3600,120.5600,120.3600,120.5600,8140
2018,2,2,10,52,120.5000,120.5900,120.4700,120.5900,2901
2018,2,2,10,53,120.5300,120.5000,120.5000,120.5599,1134
2018,2,2,10,54,120.5300,120.5700,120.5300,120.5700,1494
2018,2,2,10,55,120.6000,120.5350,120.5100,120.6300,2774
2018,2,2,10,56,120.5100,120.4300,120.4300,120.5250,773
2018,2,2,10,57,120.4783,120.4600,120.4400,120.4783,488
2018,2,2,10,58,120.4700,120.3100,120.3100,120.4700,1500
2018,2,2,10,59,120.3100,120.3100,120.3000,120.3700,3478
2018,2,2,11,0,120.3100,120.4500,120.2900,120.4800,4300
2018,2,2,11,1,120.4100,120.3300,120.3300,120.4100,2215
2018,2,2,11,2,120.3000,120.3200,120.3000,120.3400,1648
2018,2,2,11,3,120.3700,120.4100,120.3700,120.4100,500
2018,2,2,11,4,120.4400,120.3800,120.3800,120.4400,600
2018,2,2,11,5,120.3700,120.2700,120.2700,120.3700,523
2018,2,2,11,6,120.2241,120.2300,120.2241,120.2300,200
2018,2,2,11,7,120.2300,120.2900,120.2300,120.3000,2320
