year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,155.0500,155.0700,154.9900,155.4400,10592
2018,2,2,9,32,155.2000,155.1400,155.1075,155.2000,1450
2018,2,2,9,33,155.2700,155.9800,155.1900,155.9800,900
2018,2,2,9,34,155.8200,155.7900,155.0900,155.8200,2411
2018,2,2,9,35,155.1210,155.2365,155.1210,155.7700,451
2018,2,2,9,36,155.1410,155.4750,155.1410,155.4884,1401
2018,2,2,9,37,155.1710,155.1710,155.1710,155.1710,205
2018,2,2,9,38,155.5700,155.4000,155.3200,155.5900,2121
2018,2,2,9,39,155.5650,155.3050,155.2800,155.7600,618
2018,2,2,9,40,155.5450,155.1300,155.1300,155.5450,740
2018,2,2,9,42,155.0900,155.3550,155.0900,155.3900,3500
2018,2,2,9,43,155.3500,155.7500,155.3000,155.7500,9800
2018,2,2,9,44,155.3700,155.7000,155.3700,155.7000,2155
2018,2,2,9,45,155.5000,155.8100,155.3957,155.8100,3709
2018,2,2,9,46,155.6300,155.6900,155.5210,155.6900,2789
2018,2,2,9,47,155.7900,155.5100,155.5100,155.7900,1602
2018,2,2,9,48,155.7200,155.7200,155.7200,155.7200,100
2018,2,2,9,50,155.5000,155.6900,155.5000,155.6900,400
2018,2,2,9,51,155.5300,155.5000,155.5000,155.6050,13905
2018,2,2,9,52,155.6300,155.7149,155.5200,155.7500,15885
2018,2,2,9,54,155.5700,155.5700,155.5000,155.6100,2003
2018,2,2,9,55,155.5900,155.7905,155.5500,155.8400,701
2018,2,2,9,56,155.8300,155.9900,155.8300,155.9900,300
2018,2,2,9,57,156.0000,156.0200,155.9900,156.0500,500
2018,2,2,9,58,156.2150,156.1261,156.1200,156.2150,1380
2018,2,2,9,59,156.0200,155.8900,155.8900,156.0200,900
2018,2,2,10,0,156.0650,156.0800,156.0650,156.0800,300
2018,2,2,10,1,155.8900,155.8900,155.8900,155.9600,300
2018,2,2,10,2,155.7800,155.6400,155.6200,155.7800,1000
2018,2,2,10,3,155.6100,155.6100,155.6100,155.6100,200
2018,2,2,10,4,155.7100,155.8001,155.6600,155.9300,3815
2018,2,2,10,5,155.8000,155.8000,155.7500,155.8000,1700
2018,2,2,10,6,155.9700,156.2000,155.9600,156.2000,2400
2018,2,2,10,7,156.3100,156.3100,156.3100,156.3100,100
2018,2,2,10,8,156.3700,156.2700,156.2700,156.4405,2113
