year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,46.6500,46.6300,46.6300,46.6500,18928
2018,2,2,9,31,46.6300,46.7750,46.6200,46.7900,36800
2018,2,2,9,32,46.7750,47.0200,46.7750,47.0300,4516
2018,2,2,9,33,46.9800,47.0200,46.9600,47.0600,25783
2018,2,2,9,34,47.0300,46.9400,46.9050,47.0300,24991
2018,2,2,9,35,46.9000,46.8600,46.8100,46.9200,5280
2018,2,2,9,36,46.8500,46.8900,46.8500,46.9600,17261
2018,2,2,9,37,46.8700,46.9000,46.8700,46.9100,7035
2018,2,2,9,38,46.8900,46.8100,46.8000,46.9100,5336
2018,2,2,9,39,46.8000,46.7700,46.7700,46.8400,107800
2018,2,2,9,40,46.7600,46.7100,46.7000,46.7700,15410
2018,2,2,9,41,46.7100,46.6700,46.6100,46.7300,28261
2018,2,2,9,42,46.6600,46.6900,46.6500,46.7100,19933
2018,2,2,9,43,46.6900,46.6800,46.6700,46.7200,25120
2018,2,2,9,44,46.7000,46.6800,46.6800,46.7100,13642
2018,2,2,9,45,46.6850,46.7600,46.6850,46.7700,8716
2018,2,2,9,46,46.7610,46.7600,46.7500,46.8000,6768
2018,2,2,9,47,46.7600,46.7300,46.7200,46.7900,7352
2018,2,2,9,48,46.7400,46.7300,46.7300,46.7700,7854
2018,2,2,9,49,46.7300,46.7200,46.7100,46.7400,19104
2018,2,2,9,50,46.7200,46.7800,46.7100,46.7900,74255
2018,2,2,9,51,46.7900,46.8000,46.7500,46.8000,34007
2018,2,2,9,52,46.8100,46.8500,46.8100,46.8600,10215
2018,2,2,9,53,46.8450,46.8500,46.8000,46.8500,13116
2018,2,2,9,54,46.8500,46.8800,46.8400,46.8900,24849
2018,2,2,9,55,46.8800,46.8500,46.8450,46.9100,21465
2018,2,2,9,56,46.8400,46.8500,46.8300,46.8800,60185
2018,2,2,9,57,46.8500,46.8900,46.8450,46.9200,24565
2018,2,2,9,58,46.8900,46.9000,46.8900,46.9000,14726
2018,2,2,9,59,46.8900,46.9100,46.8700,46.9100,214039
2018,2,2,10,0,46.9200,46.9500,46.8700,46.9600,7205
2018,2,2,10,1,46.9400,46.8900,46.8800,46.9500,90941
2018,2,2,10,2,46.9000,46.9300,46.9000,46.9500,12098
2018,2,2,10,3,46.9200,46.8500,46.8500,46.9200,5411
2018,2,2,10,4,46.8500,46.8400,46.8210,46.8900,64046
2018,2,2,10,5,46.8800,46.8350,46.8200,46.8800,7100
2018,2,2,10,6,46.8350,46.8300,46.8200,46.8500,15265
2018,2,2,10,7,46.8400,46.8200,46.8000,46.8800,48440
2018,2,2,10,8,46.8200,46.8500,46.8000,46.8500,15225
