year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,76.9500,76.9500,76.9500,76.9500,4074
2018,2,2,9,31,77.1700,77.1536,77.1536,77.5200,431
2018,2,2,9,32,76.6900,76.6900,76.6900,76.6900,100
2018,2,2,9,33,77.2250,76.8650,76.7300,77.2250,475
2018,2,2,9,35,76.9700,77.1500,76.9700,77.1500,506
2018,2,2,9,36,77.1550,77.1000,77.1000,77.1800,1100
2018,2,2,9,38,77.0300,77.0300,77.0300,77.0300,100
2018,2,2,9,40,77.0500,77.0300,77.0300,77.0500,200
2018,2,2,9,42,77.2100,77.2100,77.2100,77.2100,200
2018,2,2,9,43,77.2200,77.2200,77.2200,77.2200,100
2018,2,2,9,44,77.1900,77.1650,77.1600,77.1900,1000
2018,2,2,9,45,77.1800,77.1901,77.1800,77.2200,477
2018,2,2,9,46,77.2100,77.2700,77.1593,77.2700,1505
2018,2,2,9,47,77.1400,77.1800,77.1400,77.1800,400
2018,2,2,9,50,77.3200,77.2300,77.2300,77.3200,200
2018,2,2,9,51,77.2750,77.3100,77.2750,77.3100,400
2018,2,2,9,54,77.4800,77.4970,77.4800,77.4970,1200
2018,2,2,9,55,77.5000,77.5000,77.5000,77.5000,100
2018,2,2,9,56,77.5200,77.5050,77.5050,77.5200,6248
2018,2,2,9,57,77.5700,77.5500,77.5500,77.6200,1200
2018,2,2,9,58,77.5800,77.5000,77.5000,77.5800,1200
2018,2,2,9,59,77.5050,77.5050,77.5050,77.5050,100
2018,2,2,10,0,77.5160,77.5160,77.5160,77.5160,150
2018,2,2,10,1,77.5000,77.4300,77.4300,77.5000,500
2018,2,2,10,2,77.3600,77.4800,77.3300,77.4800,300
2018,2,2,10,3,77.4317,77.4900,77.4100,77.4900,1900
2018,2,2,10,4,77.4700,77.4500,77.4400,77.4700,691
2018,2,2,10,5,77.4400,77.4400,77.4400,77.4400,250
2018,2,2,10,6,77.4450,77.6800,77.4450,77.6800,1027
2018,2,2,10,7,77.6800,77.6142,77.6100,77.6800,971
2018,2,2,10,8,77.5700,77.5600,77.4900,77.6150,17903
2018,2,2,10,9,77.5400,77.5400,77.5400,77.5400,100
2018,2,2,10,10,77.5400,77.5100,77.5100,77.6500,700
2018,2,2,10,11,77.5000,77.3900,77.3500,77.5000,1733
2018,2,2,10,12,77.4822,77.5000,77.4200,77.5300,1167
2018,2,2,10,13,77.5100,77.4300,77.3800,77.5100,900
2018,2,2,10,14,77.4300,77.3550,77.3550,77.4300,200
2018,2,2,10,15,77.3400,77.2500,77.2500,77.3400,900
2018,2,2,10,16,77.2600,77.2700,77.2600,77.2700,600
2018,2,2,10,17,77.3200,77.2700,77.2700,77.3200,200
2018,2,2,10,18,77.2600,77.2600,77.2600,77.2600,100
2018,2,2,10,19,77.2600,77.2600,77.2600,77.2600,100
2018,2,2,10,20,77.3600,77.3600,77.3600,77.3600,100
2018,2,2,10,21,77.2700,77.1300,77.1300,77.2700,700
2018,2,2,10,22,77.0800,77.1950,77.0800,77.1950,300
2018,2,2,10,23,77.1900,77.2000,77.1900,77.2600,700
2018,2,2,10,24,77.3000,77.2500,77.2500,77.3000,300
2018,2,2,10,25,77.2280,77.1400,77.1400,77.2280,582
2018,2,2,10,27,77.2500,77.2500,77.2500,77.2500,100
2018,2,2,10,31,77.1300,77.2200,77.1200,77.2200,500
2018,2,2,10,33,77.1782,77.1600,77.1200,77.1782,1200
2018,2,2,10,34,77.1200,77.1200,77.1200,77.1200,100
2018,2,2,10,35,77.1900,77.2500,77.1900,77.2500,1600
2018,2,2,10,36,77.2256,77.1992,77.1700,77.2256,5547
2018,2,2,10,37,77.1200,77.1200,77.1200,77.1200,100
2018,2,2,10,38,77.1400,77.2550,77.1400,77.2550,800
2018,2,2,10,39,77.2700,77.2500,77.2500,77.2700,200
2018,2,2,10,40,77.2400,77.2400,77.2400,77.2400,200
2018,2,2,10,41,77.2200,77.2100,77.2100,77.2300,800
2018,2,2,10,42,77.3400,77.3400,77.3400,77.3400,100
2018,2,2,10,43,77.3879,77.3000,77.3000,77.3879,800
2018,2,2,10,46,77.2150,77.1700,77.1700,77.2150,200
2018,2,2,10,50,77.2300,77.1900,77.1900,77.2300,200
2018,2,2,10,51,77.1900,77.1400,77.1400,77.1900,200
2018,2,2,10,53,77.2300,77.2400,77.1900,77.2400,1000
2018,2,2,10,54,77.2800,77.2800,77.2650,77.2800,300
2018,2,2,10,56,77.3200,77.3200,77.3200,77.3200,200
2018,2,2,10,57,77.3100,77.3600,77.3100,77.3600,300
2018,2,2,10,58,77.3150,77.3150,77.3150,77.3150,100
