year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,139.0000,139.0000,139.0000,139.0000,10356
2018,2,2,9,31,139.0000,139.0000,139.0000,139.0000,4471
2018,2,2,9,32,139.0000,139.0600,138.9500,139.2000,1229
2018,2,2,9,33,138.9400,139.0900,138.9400,139.0900,800
2018,2,2,9,34,139.0300,139.0900,139.0300,139.0900,400
2018,2,2,9,35,138.9400,139.0400,138.9200,139.0800,1300
2018,2,2,9,36,139.0700,138.9000,138.9000,139.0700,1770
2018,2,2,9,37,138.8600,138.8600,138.8100,138.9350,2472
2018,2,2,9,38,138.8550,138.9300,138.8550,138.9300,200
2018,2,2,9,42,138.8400,138.8900,138.8400,138.9700,2400
2018,2,2,9,43,138.9300,138.9350,138.9300,138.9700,300
2018,2,2,9,44,138.9400,138.8600,138.8600,138.9700,800
2018,2,2,9,45,138.8150,138.8850,138.8150,138.8850,200
2018,2,2,9,46,138.8900,138.8900,138.8650,138.8900,500
2018,2,2,9,47,138.9400,138.9400,138.9400,138.9400,200
2018,2,2,9,48,138.9500,138.9500,138.9500,138.9500,400
2018,2,2,9,49,138.9600,138.9750,138.9150,138.9800,2500
2018,2,2,9,50,139.0100,139.0100,139.0100,139.0100,100
2018,2,2,9,51,138.9400,138.8900,138.8700,138.9900,1200
2018,2,2,9,52,138.9000,138.9100,138.9000,138.9600,900
2018,2,2,9,53,138.9900,139.0100,138.9900,139.0100,300
2018,2,2,9,54,139.0700,139.0100,139.0100,139.0800,800
2018,2,2,9,55,139.0400,138.9600,138.9400,139.0400,300
2018,2,2,9,56,138.9300,138.9200,138.9200,138.9300,200
2018,2,2,9,57,138.9000,138.9000,138.9000,138.9000,200
2018,2,2,9,58,138.9000,138.9200,138.9000,138.9500,1400
2018,2,2,9,59,138.9750,139.0500,138.9600,139.0500,1100
2018,2,2,10,0,139.0400,138.9900,138.9900,139.0400,500
2018,2,2,10,1,139.0000,139.0500,139.0000,139.0500,300
2018,2,2,10,3,138.9150,138.8700,138.8700,138.9150,400
2018,2,2,10,4,138.9050,138.8500,138.8500,138.9050,300
2018,2,2,10,5,138.8400,138.8100,138.8100,138.8400,300
2018,2,2,10,6,138.8000,138.7800,138.7200,138.8000,1100
2018,2,2,10,7,138.7900,138.8600,138.7900,138.8600,1600
2018,2,2,10,8,138.8700,138.9300,138.8700,138.9300,684
2018,2,2,10,9,138.9500,138.9700,138.8800,139.0000,1300
2018,2,2,10,10,138.9600,138.8500,138.8500,138.9600,716
2018,2,2,10,11,138.8799,138.8800,138.8250,138.8800,700
2018,2,2,10,12,138.8500,138.8800,138.8500,139.0300,11363
2018,2,2,10,13,138.9900,139.0400,138.9300,139.0400,1500
2018,2,2,10,14,138.9700,139.0300,138.9400,139.0300,1584
2018,2,2,10,15,139.0300,139.0600,139.0300,139.0600,487
2018,2,2,10,16,139.0300,138.9300,138.9300,139.0700,17744
2018,2,2,10,17,139.0900,139.0900,138.9300,139.0900,500
2018,2,2,10,18,139.0850,139.0900,138.9800,139.0900,1285
2018,2,2,10,19,139.0250,139.0300,138.9800,139.0300,2600
2018,2,2,10,20,139.0400,139.1400,138.9800,139.1400,15154
2018,2,2,10,21,139.0900,139.0900,139.0900,139.0900,100
2018,2,2,10,22,139.1093,139.1600,139.1093,139.1600,1503
2018,2,2,10,23,139.1600,139.1700,139.1600,139.1700,900
2018,2,2,10,24,139.1500,139.1500,139.1400,139.1500,1300
2018,2,2,10,25,139.1750,139.1400,139.0900,139.2300,1923
2018,2,2,10,26,139.1900,139.1700,139.1150,139.1900,900
2018,2,2,10,27,139.2000,139.1800,139.1300,139.2000,900
2018,2,2,10,28,139.2000,139.1600,139.1550,139.2000,700
2018,2,2,10,29,139.1550,139.1600,139.1300,139.1950,1700
2018,2,2,10,30,139.1600,139.2150,139.1500,139.2200,3900
2018,2,2,10,31,139.1600,139.1000,139.0750,139.2100,3000
2018,2,2,10,32,139.1200,139.2050,139.1200,139.2050,1800
2018,2,2,10,33,139.1500,139.1100,139.1000,139.2200,14158
2018,2,2,10,34,139.1100,139.0700,139.0400,139.1350,2999
2018,2,2,10,35,139.0400,139.0900,139.0307,139.0900,2500
2018,2,2,10,36,139.0600,139.0299,139.0000,139.0600,6851
2018,2,2,10,37,138.9900,139.0200,138.9900,139.0700,1831
2018,2,2,10,39,139.0300,139.1750,139.0300,139.1800,1600
2018,2,2,10,40,139.1800,139.1200,139.0400,139.1800,900
2018,2,2,10,41,139.1100,139.1600,139.0600,139.1600,1000
2018,2,2,10,42,139.1300,139.1500,139.1300,139.1500,400
2018,2,2,10,43,139.1500,139.1500,139.1500,139.1500,100
2018,2,2,10,44,139.1500,139.1500,139.1500,139.1500,200
2018,2,2,10,45,139.1500,139.1500,139.1500,139.1500,100
2018,2,2,10,46,139.1000,139.1000,139.0500,139.1000,1541
2018,2,2,10,47,139.0200,139.0200,138.9800,139.0200,1500
2018,2,2,10,48,139.0200,139.0500,139.0100,139.0500,1300
2018,2,2,10,49,139.0900,139.1000,139.0900,139.1000,300
2018,2,2,10,50,139.0800,139.0900,139.0600,139.0900,500
2018,2,2,10,51,139.0900,139.0400,139.0400,139.0900,600
2018,2,2,10,52,139.1000,139.0834,139.0834,139.1000,300
2018,2,2,10,53,139.0800,139.0900,139.0800,139.0900,600
2018,2,2,10,54,139.0900,139.1800,139.0900,139.1800,3224
2018,2,2,10,55,139.1700,139.2000,139.1700,139.2000,600
2018,2,2,10,56,139.1700,139.2000,139.1200,139.2000,600
2018,2,2,10,57,139.1399,139.1399,139.1399,139.1399,565
2018,2,2,10,58,139.1100,139.1450,139.1100,139.1900,400
2018,2,2,10,59,139.1100,139.1000,139.1000,139.1100,300
2018,2,2,11,0,139.1000,139.0500,139.0500,139.1000,548
2018,2,2,11,1,139.1000,139.1000,139.1000,139.1000,100
2018,2,2,11,2,138.9900,139.0000,138.9600,139.0000,2000
2018,2,2,11,3,138.9700,138.9800,138.9500,138.9800,800
2018,2,2,11,4,138.9700,138.9600,138.9300,138.9700,1999
2018,2,2,11,5,138.9900,138.9500,138.9500,139.0200,22459
2018,2,2,11,6,138.9684,138.9684,138.9684,138.9684,500
2018,2,2,11,7,138.9300,138.9300,138.9200,138.9300,300
2018,2,2,11,8,138.9100,138.8900,138.8800,138.9100,1351
2018,2,2,11,9,138.9000,138.9000,138.9000,138.9000,200
2018,2,2,11,10,138.8976,138.9100,138.8962,138.9100,1378
2018,2,2,11,11,138.9050,138.9150,138.9050,138.9300,2700
2018,2,2,11,12,138.9400,138.9350,138.8800,138.9400,1100
2018,2,2,11,14,138.8700,138.8700,138.8700,138.8700,100
2018,2,2,11,15,138.8500,138.8300,138.8300,138.8799,3100
2018,2,2,11,16,138.8600,138.8400,138.8400,138.8600,1000
2018,2,2,11,17,138.8300,138.7997,138.7997,138.8400,1808
2018,2,2,11,18,138.7800,138.8700,138.7600,138.8700,4670
2018,2,2,11,19,138.8900,138.9000,138.8800,138.9000,400
2018,2,2,11,20,138.8600,138.8400,138.8100,138.8600,1929
2018,2,2,11,21,138.8600,138.8600,138.8600,138.8600,100
2018,2,2,11,22,138.8600,138.8477,138.8300,138.8900,1706
2018,2,2,11,23,138.8500,138.8500,138.8500,138.8500,100
2018,2,2,11,24,138.8400,138.8500,138.8400,138.8500,800
2018,2,2,11,25,138.8600,138.8100,138.8100,138.8600,687
2018,2,2,11,26,138.8000,138.8300,138.7800,138.8300,2430
2018,2,2,11,27,138.8300,138.8600,138.8300,138.8600,842
2018,2,2,11,28,138.8400,138.8600,138.8400,138.8600,200
2018,2,2,11,29,138.8400,138.7876,138.7800,138.8500,2106
2018,2,2,11,30,138.8100,138.7850,138.7850,138.8100,700
2018,2,2,11,31,138.8100,138.8037,138.7800,138.8400,1981
2018,2,2,11,32,138.8150,138.8200,138.7900,138.8200,700
2018,2,2,11,33,138.8100,138.8400,138.8000,138.8400,2102
2018,2,2,11,34,138.8500,138.8200,138.8100,138.8500,1091
2018,2,2,11,35,138.8200,138.8400,138.8200,138.8500,600
2018,2,2,11,36,138.8250,138.8197,138.7950,138.8250,1582
2018,2,2,11,37,138.8500,138.8400,138.8400,138.8500,600
2018,2,2,11,38,138.8326,138.8326,138.8326,138.8326,200
2018,2,2,11,39,138.8500,138.8900,138.8400,138.8900,2392
2018,2,2,11,40,138.9400,138.8850,138.8850,138.9400,200
2018,2,2,11,41,138.9400,138.9700,138.9400,138.9700,1001
2018,2,2,11,42,138.8900,138.9072,138.8900,138.9072,300
2018,2,2,11,43,138.9600,138.9250,138.9250,138.9600,300
2018,2,2,11,44,138.9600,138.8900,138.8900,138.9600,300
