year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,166.6600,166.6600,166.6600,166.6600,15378
2018,2,2,9,31,166.5100,166.6693,166.4600,166.8850,3740
2018,2,2,9,32,166.8300,166.1428,166.0800,166.8300,3377
2018,2,2,9,33,166.1000,166.5000,166.1000,166.5100,1801
2018,2,2,9,34,166.3700,166.0900,166.0900,166.4100,3193
2018,2,2,9,35,166.1845,166.2210,166.1100,166.3500,1800
2018,2,2,9,36,166.3600,166.4500,166.3600,166.6300,1010
2018,2,2,9,37,166.3100,166.4250,166.3100,166.4250,300
2018,2,2,9,38,166.2194,166.2200,166.2194,166.3778,553
2018,2,2,9,39,166.3063,166.3900,166.1600,166.4400,26103
2018,2,2,9,40,166.3900,166.1100,166.1100,166.4300,6147
2018,2,2,9,41,166.1600,166.1550,166.1100,166.2600,9506
2018,2,2,9,42,166.1400,166.0000,165.9500,166.1600,4350
2018,2,2,9,43,165.9000,166.2100,165.9000,166.2100,7306
2018,2,2,9,44,166.1600,166.0000,165.9900,166.1600,1300
2018,2,2,9,45,166.0300,166.1388,165.9000,166.1388,10285
2018,2,2,9,46,166.1100,165.9600,165.9600,166.1600,2161
2018,2,2,9,47,165.9200,166.0350,165.9200,166.0400,4152
2018,2,2,9,48,166.0300,165.8100,165.8100,166.0500,4551
2018,2,2,9,49,165.8100,165.8999,165.7500,165.9000,4130
2018,2,2,9,50,165.9000,166.0500,165.9000,166.0500,4400
2018,2,2,9,51,166.0410,166.0600,166.0300,166.1400,7928
2018,2,2,9,52,166.1100,166.1800,166.0900,166.1800,2482
2018,2,2,9,53,166.3100,166.2850,166.2000,166.3300,600
2018,2,2,9,54,166.2000,165.9700,165.9700,166.2450,1700
2018,2,2,9,55,165.9500,166.0000,165.9500,166.0200,1200
2018,2,2,9,56,165.8410,165.9900,165.8410,166.0200,1450
2018,2,2,9,57,166.0482,165.9300,165.9300,166.0500,2697
2018,2,2,9,58,165.9400,166.0300,165.9200,166.0300,1033
2018,2,2,9,59,166.0900,166.1550,166.0900,166.1669,808
2018,2,2,10,0,166.1000,166.1250,166.1000,166.1250,2000
2018,2,2,10,1,166.0900,166.0500,166.0400,166.1500,14181
2018,2,2,10,2,166.0300,166.0300,166.0000,166.0900,5175
2018,2,2,10,3,166.0363,166.1000,166.0200,166.2200,5464
2018,2,2,10,4,166.0400,165.7600,165.7500,166.1200,8258
2018,2,2,10,5,165.7500,165.5650,165.5100,165.8100,22090
2018,2,2,10,6,165.5100,165.8200,165.4100,165.8200,5281
2018,2,2,10,7,165.8400,165.8913,165.7800,165.9300,10505
2018,2,2,10,8,165.9500,165.8950,165.8950,166.1400,3250
2018,2,2,10,9,165.9300,166.0250,165.9300,166.0900,4056
2018,2,2,10,10,166.0800,165.9300,165.8400,166.0800,2700
2018,2,2,10,11,165.9700,165.8480,165.7900,165.9700,4211
2018,2,2,10,12,165.9000,166.0900,165.9000,166.1655,4483
2018,2,2,10,13,166.1300,166.4050,166.1300,166.4500,5305
2018,2,2,10,14,166.4400,166.4500,166.3293,166.4600,3067
