year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,61.5300,61.5300,61.5300,61.5300,11322
2018,2,2,9,31,61.2200,61.5300,61.2200,62.0000,7906
2018,2,2,9,32,61.7900,61.7800,61.6900,61.7900,1009
2018,2,2,9,33,61.7400,61.5100,61.4000,61.7850,5700
2018,2,2,9,34,61.5500,61.4200,61.3400,61.5500,4501
2018,2,2,9,35,61.3900,61.4300,61.2100,61.4300,3200
2018,2,2,9,36,61.3800,61.5100,61.3800,61.5100,4900
2018,2,2,9,37,61.5000,61.4100,61.3450,61.5100,7257
2018,2,2,9,38,61.4700,61.3900,61.3900,61.4700,2500
2018,2,2,9,39,61.3600,61.3400,61.3400,61.4000,2300
2018,2,2,9,40,61.3700,61.3400,61.3400,61.4000,1800
2018,2,2,9,41,61.3300,61.3278,61.3278,61.3300,750
2018,2,2,9,42,61.3300,61.3700,61.3300,61.4000,1500
2018,2,2,9,43,61.3400,61.3850,61.3200,61.3900,3300
2018,2,2,9,44,61.3700,61.1700,61.1700,61.3700,5403
2018,2,2,9,45,61.2100,61.1800,61.1700,61.2200,2300
2018,2,2,9,46,61.1400,61.1800,61.0600,61.1800,9004
2018,2,2,9,47,61.2000,61.1400,61.1400,61.2100,2300
2018,2,2,9,48,61.1400,61.1100,61.0900,61.1400,1600
2018,2,2,9,49,61.0900,61.0850,61.0800,61.1100,2657
2018,2,2,9,50,61.0900,61.0200,60.9700,61.1000,9491
2018,2,2,9,51,60.9900,60.9800,60.9250,61.0000,4791
2018,2,2,9,52,60.9750,60.9600,60.9600,61.0000,2200
2018,2,2,9,53,60.9400,60.9200,60.9200,60.9800,3700
2018,2,2,9,54,60.9100,60.9300,60.8800,60.9400,2282
2018,2,2,9,55,60.9150,60.8400,60.8200,60.9150,8089
2018,2,2,9,56,60.8200,60.9100,60.8200,60.9100,5472
2018,2,2,9,57,60.9400,60.9400,60.9100,60.9600,13500
2018,2,2,9,58,60.9500,61.0000,60.9500,61.0000,3400
2018,2,2,9,59,61.0100,61.0500,61.0100,61.0600,2969
2018,2,2,10,0,61.0500,61.1100,61.0500,61.1100,1400
