year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,60.5900,60.5900,60.5900,60.5900,200
2018,2,2,9,31,60.4300,60.3900,60.2500,60.4300,46370
2018,2,2,9,32,60.4100,60.5658,60.4100,60.6200,11240
2018,2,2,9,33,60.5700,60.7867,60.5600,60.8100,7263
2018,2,2,9,34,60.6900,60.6900,60.6500,60.7700,8847
2018,2,2,9,35,60.6600,60.5900,60.5000,60.6700,4192
2018,2,2,9,36,60.5800,60.5400,60.4700,60.6300,9616
2018,2,2,9,37,60.5100,60.3650,60.3600,60.5300,9400
2018,2,2,9,38,60.4000,60.5000,60.4000,60.5199,21279
2018,2,2,9,39,60.4700,60.5948,60.4700,60.6100,20105
2018,2,2,9,40,60.5700,60.5700,60.5600,60.6300,13062
2018,2,2,9,41,60.5600,60.3800,60.3400,60.5600,22719
2018,2,2,9,42,60.4000,60.3800,60.3300,60.4100,12593
2018,2,2,9,43,60.4000,60.5200,60.4000,60.5400,14051
2018,2,2,9,44,60.5100,60.3600,60.3600,60.5400,20517
2018,2,2,9,45,60.4000,60.4600,60.3900,60.5000,22942
2018,2,2,9,46,60.4400,60.3400,60.2500,60.4400,13926
2018,2,2,9,47,60.3300,60.3750,60.3180,60.4300,9792
2018,2,2,9,48,60.3600,60.2000,60.1300,60.3700,9879
2018,2,2,9,49,60.2000,60.2400,60.1800,60.2500,4279
2018,2,2,9,50,60.2500,60.4000,60.2400,60.4000,5914
2018,2,2,9,51,60.3700,60.3300,60.3200,60.4000,5144
2018,2,2,9,52,60.3100,60.3450,60.2800,60.3500,21938
2018,2,2,9,53,60.3300,60.3000,60.2310,60.3300,15634
2018,2,2,9,54,60.3000,60.3400,60.3000,60.4200,7810
2018,2,2,9,55,60.3450,60.2550,60.1700,60.3450,30916
2018,2,2,9,56,60.2800,60.3600,60.2800,60.3700,16994
2018,2,2,9,57,60.3800,60.3800,60.3500,60.4200,9300
2018,2,2,9,58,60.3800,60.4800,60.3800,60.4900,8200
2018,2,2,9,59,60.4710,60.4200,60.4000,60.4900,10900
2018,2,2,10,0,60.4000,60.4100,60.3000,60.4500,15050
2018,2,2,10,1,60.4100,60.3000,60.2900,60.4400,16527
2018,2,2,10,2,60.3100,60.3500,60.2300,60.3500,15984
2018,2,2,10,3,60.3500,60.3500,60.2700,60.3900,58321
2018,2,2,10,4,60.3400,60.2800,60.2300,60.3400,18903
2018,2,2,10,5,60.2800,60.3800,60.2700,60.3800,11486
2018,2,2,10,6,60.3600,60.2200,60.1300,60.3600,31799
2018,2,2,10,7,60.2200,60.1900,60.1900,60.2800,25988
2018,2,2,10,8,60.2000,60.1600,60.1200,60.2050,16402
2018,2,2,10,9,60.1650,60.1100,60.1100,60.2250,17830
2018,2,2,10,10,60.1100,60.0800,60.0200,60.1200,29039
2018,2,2,10,11,60.0850,60.2100,60.0850,60.2300,18413
2018,2,2,10,12,60.2100,60.2000,60.1200,60.2300,10624
2018,2,2,10,13,60.2000,60.2400,60.1900,60.2400,11716
2018,2,2,10,14,60.2300,60.2600,60.2000,60.3000,14748
2018,2,2,10,15,60.2800,60.2900,60.2600,60.3400,9701
2018,2,2,10,16,60.2900,60.3300,60.2000,60.3300,19520
2018,2,2,10,17,60.3500,60.3000,60.2800,60.3500,13472
2018,2,2,10,18,60.2800,60.3100,60.2600,60.3100,10509
2018,2,2,10,19,60.3200,60.3800,60.2700,60.3800,13459
2018,2,2,10,20,60.3800,60.3200,60.3200,60.4200,21381
