year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,68.7100,68.7100,68.7100,68.7100,6357
2018,2,2,9,31,68.5100,68.6300,68.5100,68.6300,200
2018,2,2,9,32,68.6000,68.6700,68.4100,68.6700,1520
2018,2,2,9,33,68.4900,68.6799,68.4900,68.6799,1000
2018,2,2,9,35,68.6200,68.7300,68.6200,68.7300,400
2018,2,2,9,36,68.6250,68.6250,68.6250,68.6250,100
2018,2,2,9,37,68.5800,68.4400,68.4400,68.5800,700
2018,2,2,9,38,68.3863,68.3863,68.3863,68.3863,100
2018,2,2,9,39,68.3950,68.3950,68.3950,68.3950,100
2018,2,2,9,41,68.3700,68.3700,68.2700,68.3700,1000
2018,2,2,9,42,68.3500,68.2750,68.2750,68.3500,600
2018,2,2,9,43,68.3600,68.4400,68.3600,68.4400,745
2018,2,2,9,45,68.3600,68.2400,68.2400,68.4050,1600
2018,2,2,9,46,68.2300,68.1600,68.1400,68.2500,3145
2018,2,2,9,47,68.0850,68.1150,68.0850,68.1400,500
2018,2,2,9,48,68.1300,68.0600,68.0600,68.2100,2148
2018,2,2,9,49,68.1300,68.1150,68.1150,68.1600,622
2018,2,2,9,50,68.1300,68.1000,68.1000,68.1500,400
2018,2,2,9,51,68.1100,68.1100,68.1100,68.1100,100
2018,2,2,9,52,68.1600,68.0000,68.0000,68.1600,1100
2018,2,2,9,54,68.0000,67.8550,67.8550,68.0000,3690
2018,2,2,9,55,67.8500,67.9200,67.8500,68.0300,3059
2018,2,2,9,56,67.9200,67.9200,67.9200,67.9200,300
2018,2,2,9,57,67.8700,67.8700,67.8700,67.8700,100
2018,2,2,9,58,67.7800,67.8200,67.7800,67.8521,988
2018,2,2,9,59,67.8600,67.7750,67.7750,67.8600,300
2018,2,2,10,0,67.7700,67.7900,67.7700,67.7900,400
2018,2,2,10,1,67.7800,67.9300,67.7800,67.9300,1731
2018,2,2,10,2,67.8450,67.9000,67.8400,67.9000,500
2018,2,2,10,3,67.9200,67.8100,67.8100,67.9200,2800
2018,2,2,10,4,67.8200,67.8200,67.8200,67.8200,200
2018,2,2,10,5,67.7700,67.7300,67.7200,67.7700,1624
2018,2,2,10,6,67.6800,67.7500,67.6300,67.7500,4417
2018,2,2,10,7,67.7500,67.7050,67.6992,67.7800,1350
2018,2,2,10,8,67.7050,67.7000,67.6300,67.7700,10356
2018,2,2,10,9,67.7100,67.7000,67.7000,67.7300,800
2018,2,2,10,10,67.7400,67.7500,67.7400,67.7500,300
2018,2,2,10,11,67.7600,67.6600,67.6600,67.7600,1313
2018,2,2,10,12,67.6800,67.6750,67.6750,67.6800,300
2018,2,2,10,13,67.7000,67.7600,67.6300,67.7600,900
2018,2,2,10,15,67.7300,67.7300,67.7300,67.7300,100
2018,2,2,10,16,67.6900,67.6100,67.5900,67.6900,1700
2018,2,2,10,17,67.6000,67.5800,67.5700,67.6000,1400
2018,2,2,10,18,67.5775,67.5800,67.4700,67.5800,2436
2018,2,2,10,20,67.5900,67.6050,67.5900,67.6300,1100
2018,2,2,10,21,67.5700,67.5500,67.5500,67.5700,300
2018,2,2,10,23,67.5500,67.5500,67.5500,67.5700,700
2018,2,2,10,24,67.5400,67.5700,67.5400,67.5700,300
2018,2,2,10,25,67.5100,67.4600,67.4500,67.5100,1643
2018,2,2,10,26,67.5000,67.5000,67.5000,67.5100,300
2018,2,2,10,27,67.5100,67.5100,67.5100,67.5100,100
2018,2,2,10,28,67.5000,67.4850,67.4700,67.5300,2560
2018,2,2,10,29,67.4400,67.4700,67.4000,67.4700,1100
2018,2,2,10,31,67.3700,67.2963,67.2900,67.3800,6400
2018,2,2,10,32,67.3200,67.3500,67.2900,67.3500,1600
2018,2,2,10,33,67.3600,67.3600,67.3600,67.3600,200
2018,2,2,10,34,67.3600,67.3800,67.3600,67.3800,842
2018,2,2,10,35,67.4435,67.4750,67.4435,67.4750,600
2018,2,2,10,36,67.4900,67.4366,67.4300,67.4900,1450
2018,2,2,10,37,67.4900,67.4800,67.4800,67.5100,1200
2018,2,2,10,38,67.5500,67.5450,67.5400,67.5600,890
2018,2,2,10,41,67.6300,67.6300,67.6300,67.6300,109
2018,2,2,10,42,67.6145,67.6145,67.6145,67.6145,200
2018,2,2,10,44,67.6500,67.6500,67.6500,67.6500,100
