year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,67.8300,67.5100,67.5000,67.8300,15177
2018,2,2,9,31,67.5100,67.5100,67.5100,67.8400,9800
2018,2,2,9,32,67.6130,67.5450,67.5450,67.6900,800
2018,2,2,9,33,67.7000,67.7600,67.6450,67.8150,2900
2018,2,2,9,34,67.7000,67.6800,67.5800,67.7200,999
2018,2,2,9,35,67.5900,67.6270,67.5800,67.6700,5850
2018,2,2,9,36,67.6450,67.5600,67.5600,67.6500,7800
2018,2,2,9,37,67.5300,67.5250,67.4300,67.5300,2244
2018,2,2,9,38,67.5700,67.5100,67.5100,67.5700,800
2018,2,2,9,39,67.5450,67.5100,67.5100,67.5900,1900
2018,2,2,9,40,67.5100,67.5000,67.4900,67.5600,1800
2018,2,2,9,41,67.5550,67.5600,67.5300,67.5600,1521
2018,2,2,9,42,67.5300,67.6000,67.5200,67.6200,6644
2018,2,2,9,43,67.5750,67.6300,67.5700,67.7100,4839
2018,2,2,9,44,67.6700,67.6600,67.6600,67.7300,1100
2018,2,2,9,45,67.7300,67.6850,67.6850,67.7300,2400
2018,2,2,9,46,67.7099,67.7100,67.6800,67.8000,4903
2018,2,2,9,47,67.7100,67.7600,67.7100,67.7800,3697
2018,2,2,9,48,67.7550,67.6900,67.6900,67.7706,8976
2018,2,2,9,49,67.6900,67.7900,67.6500,67.8200,5512
2018,2,2,9,50,67.8000,67.9499,67.8000,67.9499,6782
2018,2,2,9,51,67.9100,67.8800,67.8700,67.9599,2000
2018,2,2,9,52,67.8800,67.8800,67.8000,67.8800,3670
2018,2,2,9,53,67.8800,68.0000,67.8800,68.0050,11980
2018,2,2,9,54,67.9900,67.9000,67.9000,67.9900,3048
2018,2,2,9,55,67.9100,67.9300,67.8700,67.9400,7700
2018,2,2,9,56,67.9300,67.9200,67.9200,67.9598,800
2018,2,2,9,57,67.9700,67.9400,67.9000,67.9750,1770
2018,2,2,9,58,67.9200,67.9500,67.9100,67.9700,2520
2018,2,2,9,59,67.9900,67.8900,67.8900,67.9900,1100
2018,2,2,10,0,67.9200,67.8700,67.8600,67.9200,1700
2018,2,2,10,1,67.7800,67.7500,67.7500,67.7800,800
2018,2,2,10,2,67.7400,67.6904,67.6904,67.7600,933
2018,2,2,10,3,67.7200,67.6800,67.6700,67.7400,2100
2018,2,2,10,4,67.6900,67.6800,67.6500,67.6900,699
2018,2,2,10,5,67.6800,67.5300,67.5300,67.7000,4140
2018,2,2,10,6,67.5000,67.4800,67.4500,67.5000,8769
2018,2,2,10,7,67.4900,67.5500,67.4900,67.5500,1700
2018,2,2,10,8,67.5700,67.6000,67.5700,67.6200,1355
2018,2,2,10,9,67.6000,67.6000,67.5500,67.6100,3266
2018,2,2,10,10,67.5800,67.6800,67.5600,67.7000,1900
2018,2,2,10,11,67.6700,67.7150,67.6600,67.7300,1600
2018,2,2,10,12,67.7600,67.7600,67.7600,67.7800,1295
2018,2,2,10,13,67.7950,67.8400,67.7600,67.8400,700
2018,2,2,10,14,67.8500,67.8700,67.8000,67.8700,1899
2018,2,2,10,15,67.8350,67.8000,67.7700,67.8700,2925
2018,2,2,10,16,67.8300,67.7600,67.7500,67.8300,3100
2018,2,2,10,17,67.7700,67.6800,67.6800,67.7700,1900
2018,2,2,10,18,67.7100,67.7200,67.7100,67.7800,2965
2018,2,2,10,19,67.7400,67.7400,67.7400,67.7700,1040
2018,2,2,10,20,67.7700,67.7802,67.7700,67.7900,2280
2018,2,2,10,21,67.8000,67.7200,67.7200,67.8000,1004
2018,2,2,10,22,67.7500,67.8650,67.7500,67.8700,5531
