year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,137.7300,137.7300,137.7300,137.7300,11482
2018,2,2,9,31,137.9700,138.0000,137.7400,138.1900,4900
2018,2,2,9,32,137.6000,137.7700,137.5300,137.9700,1050
2018,2,2,9,33,137.9394,137.5800,137.5800,138.0300,10779
2018,2,2,9,34,137.5950,137.9900,137.5950,138.0400,6775
2018,2,2,9,35,137.6800,137.9900,137.6800,138.0400,6500
2018,2,2,9,36,137.8100,137.8100,137.8100,137.8100,300
2018,2,2,9,37,137.8300,138.0300,137.7800,138.1600,12344
2018,2,2,9,38,137.8600,137.9395,137.8600,138.0700,6059
2018,2,2,9,39,137.8850,137.7301,137.7301,138.0200,6172
2018,2,2,9,40,137.9700,138.1300,137.7601,138.1600,6028
2018,2,2,9,41,138.2100,138.0000,137.8501,138.2800,7200
2018,2,2,9,42,138.0100,137.9600,137.9600,138.0500,1600
2018,2,2,9,43,137.9400,138.0000,137.8700,138.0100,2000
2018,2,2,9,44,137.9900,137.9644,137.8400,138.0000,3578
2018,2,2,9,45,138.0000,138.0000,137.9400,138.1150,6298
2018,2,2,9,46,137.8701,138.0200,137.8701,138.1200,1700
2018,2,2,9,47,138.1100,138.0300,138.0200,138.1200,1100
2018,2,2,9,48,138.0900,138.0900,138.0850,138.1300,2949
2018,2,2,9,49,138.1400,138.2200,138.1300,138.2200,1400
2018,2,2,9,50,138.2600,138.2900,138.1700,138.2900,1800
2018,2,2,9,51,138.2350,138.1485,138.1485,138.2350,2400
2018,2,2,9,52,138.2000,138.2500,138.2000,138.2500,1400
2018,2,2,9,53,138.1950,138.1950,138.1950,138.1950,100
2018,2,2,9,54,138.2400,138.3400,138.1800,138.3400,720
2018,2,2,9,55,138.3200,138.3300,138.3200,138.3300,200
2018,2,2,9,56,138.2350,138.3650,138.2350,138.3650,2900
2018,2,2,9,57,138.3700,138.3850,138.2800,138.3900,2300
2018,2,2,9,58,138.4200,138.4900,138.4200,138.4900,606
2018,2,2,9,59,138.4200,138.5200,138.4000,138.5200,1600
2018,2,2,10,0,138.5400,138.6000,138.4800,138.6000,1108
2018,2,2,10,1,138.6200,138.4300,138.4300,138.6400,5380
2018,2,2,10,2,138.4300,138.4600,138.3900,138.4800,2000
2018,2,2,10,3,138.4400,138.4500,138.3900,138.4900,2631
2018,2,2,10,4,138.4400,138.4250,138.4100,138.4500,700
2018,2,2,10,5,138.4514,138.4000,138.4000,138.4700,2842
2018,2,2,10,6,138.4000,138.6400,138.3600,138.6400,5925
2018,2,2,10,7,138.7500,138.7500,138.6000,138.7500,4800
2018,2,2,10,8,138.6800,138.6733,138.6600,138.7122,2200
2018,2,2,10,9,138.6900,138.6200,138.6000,138.6900,1219
2018,2,2,10,10,138.5600,138.6300,138.5300,138.6300,4524
2018,2,2,10,11,138.6050,138.5800,138.5400,138.6050,1045
2018,2,2,10,12,138.5900,138.7300,138.5900,138.7300,2363
2018,2,2,10,13,138.7164,138.7700,138.6700,138.7700,2110
2018,2,2,10,14,138.7400,138.7450,138.6700,138.7600,3828
2018,2,2,10,15,138.7900,138.6800,138.6800,138.7900,1800
2018,2,2,10,16,138.6950,138.7700,138.6800,138.8500,4824
2018,2,2,10,17,138.7700,138.6100,138.6100,138.7850,3240
2018,2,2,10,18,138.6150,138.6700,138.5950,138.6700,2061
2018,2,2,10,19,138.6600,138.6000,138.5800,138.6600,1200
2018,2,2,10,20,138.6200,138.6700,138.6200,138.8200,2940
2018,2,2,10,21,138.7000,138.5800,138.5800,138.7000,2356
2018,2,2,10,22,138.6200,138.7300,138.6200,138.7300,1000
2018,2,2,10,23,138.7200,138.6750,138.6600,138.7600,3290
2018,2,2,10,24,138.6750,138.5850,138.5700,138.6750,4462
2018,2,2,10,25,138.6000,138.6000,138.5300,138.6000,1741
2018,2,2,10,26,138.5700,138.6200,138.5300,138.6200,1500
2018,2,2,10,27,138.6700,138.6050,138.6050,138.7000,2950
2018,2,2,10,28,138.5900,138.5850,138.5800,138.6200,1600
2018,2,2,10,29,138.5802,138.6400,138.5802,138.6600,3400
2018,2,2,10,30,138.6600,138.7300,138.6600,138.7300,2588
2018,2,2,10,31,138.6800,138.5000,138.5000,138.6800,1800
2018,2,2,10,32,138.4900,138.5000,138.4900,138.5500,2946
2018,2,2,10,33,138.4800,138.3300,138.3200,138.4800,1393
2018,2,2,10,34,138.3000,138.3500,138.2800,138.3500,2000
2018,2,2,10,35,138.3800,138.5400,138.3800,138.5400,2000
2018,2,2,10,36,138.4500,138.4448,138.4100,138.4500,889
2018,2,2,10,37,138.4600,138.4500,138.4500,138.5000,1997
2018,2,2,10,38,138.4400,138.6100,138.4400,138.6100,1984
2018,2,2,10,39,138.5650,138.5650,138.5650,138.5650,100
2018,2,2,10,40,138.5400,138.5600,138.5400,138.5600,1300
2018,2,2,10,41,138.5550,138.6600,138.5550,138.6600,1600
2018,2,2,10,42,138.6300,138.6400,138.6300,138.6400,1300
2018,2,2,10,44,138.6100,138.6400,138.5700,138.6400,5653
2018,2,2,10,45,138.6000,138.6400,138.5900,138.6400,2742
2018,2,2,10,46,138.5800,138.5600,138.5200,138.6150,12333
2018,2,2,10,47,138.5700,138.6800,138.5700,138.7200,9300
2018,2,2,10,48,138.6800,138.7100,138.6800,138.7200,1300
2018,2,2,10,49,138.7500,138.8000,138.7500,138.8100,3300
2018,2,2,10,50,138.7850,138.7450,138.7400,138.8000,3400
2018,2,2,10,51,138.7300,138.9100,138.7300,138.9300,4700
2018,2,2,10,53,138.8800,138.9200,138.8800,138.9200,300
2018,2,2,10,54,138.9100,138.9900,138.8900,139.0000,3986
2018,2,2,10,55,138.9800,138.9400,138.9300,138.9800,4389
2018,2,2,10,56,138.9500,139.0300,138.9500,139.0300,5299
2018,2,2,10,57,139.0000,139.1200,138.9900,139.1200,4287
2018,2,2,10,58,139.1000,139.1800,139.0800,139.1800,9500
2018,2,2,10,59,139.1800,139.2000,139.1500,139.3000,4701
2018,2,2,11,0,139.2000,139.2100,139.1700,139.2600,4774
2018,2,2,11,1,139.2300,139.0400,139.0400,139.2400,19543
2018,2,2,11,2,138.9600,138.9500,138.8900,139.0100,4669
2018,2,2,11,3,138.9600,139.0300,138.9350,139.0300,3201
