year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,77.6100,77.5300,77.5100,77.7000,42419
2018,2,2,9,31,77.7000,77.7199,77.3600,77.7199,8716
2018,2,2,9,32,77.5001,77.7900,77.5001,77.8199,11080
2018,2,2,9,33,77.7802,77.8500,77.7800,77.8500,1700
2018,2,2,9,34,77.8500,77.8900,77.8100,77.8900,2558
2018,2,2,9,35,77.9600,77.9300,77.8400,77.9799,6850
2018,2,2,9,36,77.9300,78.0347,77.8100,78.0799,17158
2018,2,2,9,37,78.0200,77.8700,77.8300,78.0400,7820
2018,2,2,9,38,77.8800,77.7800,77.6153,77.8800,3700
2018,2,2,9,39,77.8000,77.8200,77.7600,77.9000,6500
2018,2,2,9,40,77.8200,77.7099,77.4800,77.8200,19600
2018,2,2,9,41,77.6800,77.7400,77.6499,77.7400,4800
2018,2,2,9,42,77.7250,77.7466,77.7200,77.8100,7227
2018,2,2,9,43,77.7550,77.9200,77.7400,77.9300,9766
2018,2,2,9,44,77.8900,78.0300,77.8800,78.0899,23504
2018,2,2,9,45,78.0000,78.1200,77.9750,78.2300,30349
2018,2,2,9,46,78.0900,78.0300,77.9900,78.1100,25150
2018,2,2,9,47,78.0200,77.8300,77.7800,78.0300,23594
2018,2,2,9,48,77.7900,77.8500,77.7500,77.8550,6850
2018,2,2,9,49,77.8200,77.6598,77.6598,77.8200,1992
2018,2,2,9,50,77.6800,77.6334,77.6334,77.7750,2153
2018,2,2,9,51,77.6600,77.6600,77.6300,77.7100,6109
2018,2,2,9,52,77.7400,77.8900,77.7100,77.9100,4510
2018,2,2,9,53,77.8900,77.8200,77.7800,77.8900,4800
2018,2,2,9,54,77.8150,77.7200,77.7200,77.8500,7932
2018,2,2,9,55,77.7700,77.6700,77.6700,77.7700,2400
2018,2,2,9,56,77.7400,77.6700,77.6700,77.7500,3300
2018,2,2,9,57,77.6600,77.6500,77.6000,77.7000,4289
2018,2,2,9,58,77.6500,77.5400,77.5400,77.6500,3325
2018,2,2,9,59,77.5300,77.4400,77.4200,77.5600,3400
2018,2,2,10,0,77.4600,77.5200,77.4300,77.5500,13065
2018,2,2,10,1,77.5300,77.5500,77.4700,77.5500,8807
2018,2,2,10,2,77.5100,77.5600,77.4900,77.5800,10735
2018,2,2,10,3,77.5400,77.4900,77.4500,77.6000,13568
2018,2,2,10,4,77.5000,77.4639,77.4559,77.5000,1601
2018,2,2,10,5,77.4800,77.4700,77.4500,77.5500,6300
