year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,19.2600,19.2300,19.2300,19.2800,111874
2018,2,2,9,31,19.2501,19.1800,19.1100,19.2600,65159
2018,2,2,9,32,19.1900,19.0900,19.0600,19.1900,50436
2018,2,2,9,33,19.1000,19.1400,19.1000,19.2190,74804
2018,2,2,9,34,19.1400,19.0300,19.0200,19.1400,104206
2018,2,2,9,35,19.0400,19.0600,19.0400,19.1000,106097
2018,2,2,9,36,19.0610,19.0500,19.0300,19.0950,132760
2018,2,2,9,37,19.0400,18.9749,18.9749,19.0400,151171
2018,2,2,9,38,18.9700,18.8300,18.8300,18.9800,258578
2018,2,2,9,39,18.8400,18.7300,18.6800,18.8600,310429
2018,2,2,9,40,18.7300,18.8100,18.7300,18.8200,117700
2018,2,2,9,41,18.8000,18.7650,18.7200,18.8100,177675
2018,2,2,9,42,18.7700,18.7351,18.7300,18.7800,85392
2018,2,2,9,43,18.7338,18.7000,18.6800,18.7400,172639
2018,2,2,9,44,18.7000,18.6200,18.6010,18.7000,153440
2018,2,2,9,45,18.6400,18.6790,18.6310,18.7000,53155
2018,2,2,9,46,18.6700,18.7549,18.6600,18.7700,116924
2018,2,2,9,47,18.7550,18.7800,18.7550,18.8100,72717
2018,2,2,9,48,18.7850,18.7800,18.7600,18.8200,49400
2018,2,2,9,49,18.7850,18.7600,18.7600,18.7900,47374
2018,2,2,9,50,18.7600,18.7650,18.7300,18.7700,48021
2018,2,2,9,51,18.7600,18.7199,18.7100,18.7600,27917
2018,2,2,9,52,18.7100,18.7550,18.7100,18.7550,96302
2018,2,2,9,53,18.7500,18.7200,18.7150,18.7600,78177
2018,2,2,9,54,18.7252,18.7450,18.7200,18.7500,79743
2018,2,2,9,55,18.7453,18.6900,18.6801,18.7550,63612
2018,2,2,9,56,18.7000,18.6900,18.6700,18.7100,106423
2018,2,2,9,57,18.7000,18.6810,18.6810,18.7250,30276
2018,2,2,9,58,18.6850,18.7100,18.6800,18.7100,35217
2018,2,2,9,59,18.7050,18.7000,18.6848,18.7300,38817
2018,2,2,10,0,18.6950,18.7100,18.6650,18.7150,31066
2018,2,2,10,1,18.7100,18.6572,18.6500,18.7300,44549
2018,2,2,10,2,18.6500,18.5950,18.5900,18.6550,122342
2018,2,2,10,3,18.5950,18.5900,18.5700,18.6200,57105
2018,2,2,10,4,18.5900,18.5900,18.5800,18.6100,49940
2018,2,2,10,5,18.6000,18.5650,18.5650,18.6000,35095
2018,2,2,10,6,18.5600,18.5000,18.4100,18.5600,281661
2018,2,2,10,7,18.5000,18.5050,18.4700,18.5138,63539
2018,2,2,10,8,18.5100,18.4250,18.4200,18.5200,110349
2018,2,2,10,9,18.4250,18.4400,18.3900,18.4750,82550
2018,2,2,10,10,18.4500,18.3800,18.3800,18.4500,71031
2018,2,2,10,11,18.3850,18.3750,18.3400,18.3850,77695
2018,2,2,10,12,18.3780,18.3700,18.3650,18.4200,237002
2018,2,2,10,13,18.3750,18.3800,18.3500,18.4000,94233
2018,2,2,10,14,18.3800,18.4000,18.3600,18.4050,60690
2018,2,2,10,15,18.3900,18.4250,18.3800,18.4350,70422
2018,2,2,10,16,18.4250,18.4250,18.4000,18.4600,68001
2018,2,2,10,17,18.4250,18.4050,18.4000,18.4359,63326
2018,2,2,10,18,18.4050,18.4250,18.4000,18.4400,81687
2018,2,2,10,19,18.4250,18.4600,18.4250,18.4650,43389
2018,2,2,10,20,18.4650,18.4300,18.4200,18.4800,79857
2018,2,2,10,21,18.4200,18.4000,18.3950,18.4250,142647
2018,2,2,10,22,18.4000,18.4300,18.3800,18.4300,35691
2018,2,2,10,23,18.4250,18.3640,18.3640,18.4250,46109
2018,2,2,10,24,18.3700,18.4000,18.3500,18.4050,100460
2018,2,2,10,25,18.3950,18.3950,18.3700,18.4100,80633
2018,2,2,10,26,18.3938,18.3907,18.3700,18.4000,49215
2018,2,2,10,27,18.4000,18.3736,18.3600,18.4000,34945
2018,2,2,10,28,18.3767,18.4000,18.3745,18.4000,31406
2018,2,2,10,29,18.3950,18.4550,18.3900,18.4600,73947
2018,2,2,10,30,18.4550,18.4650,18.4500,18.4800,86204
2018,2,2,10,31,18.4650,18.4100,18.4100,18.4679,85053
2018,2,2,10,32,18.4100,18.4245,18.3910,18.4300,46114
2018,2,2,10,33,18.4200,18.4000,18.3900,18.4200,61364
2018,2,2,10,34,18.3950,18.3800,18.3800,18.4000,30382
2018,2,2,10,35,18.3900,18.4200,18.3800,18.4300,52183
2018,2,2,10,36,18.4250,18.4400,18.4225,18.4500,47737
2018,2,2,10,37,18.4500,18.4300,18.4300,18.4550,67691
2018,2,2,10,38,18.4300,18.4400,18.4200,18.4500,46538
2018,2,2,10,39,18.4400,18.4500,18.4400,18.4600,32930
2018,2,2,10,40,18.4600,18.4500,18.4200,18.4600,66658
2018,2,2,10,41,18.4450,18.4550,18.4400,18.4800,43505
2018,2,2,10,42,18.4550,18.4620,18.4300,18.4650,40275
2018,2,2,10,43,18.4700,18.4800,18.4600,18.4800,32507
2018,2,2,10,44,18.4750,18.5199,18.4746,18.5200,63758
2018,2,2,10,45,18.5164,18.5250,18.5000,18.5300,52170
2018,2,2,10,46,18.5250,18.5100,18.5050,18.5400,77355
2018,2,2,10,47,18.5100,18.5300,18.5000,18.5300,41068
2018,2,2,10,48,18.5200,18.5350,18.5200,18.5500,43379
2018,2,2,10,49,18.5300,18.5650,18.5300,18.5700,30457
2018,2,2,10,50,18.5600,18.5950,18.5600,18.6000,90985
2018,2,2,10,51,18.5940,18.6450,18.5940,18.6550,116619
2018,2,2,10,52,18.6450,18.6546,18.6200,18.6800,61608
2018,2,2,10,53,18.6600,18.6850,18.6500,18.6900,36111
2018,2,2,10,54,18.6800,18.7000,18.6700,18.7200,148994
2018,2,2,10,55,18.7100,18.7050,18.7000,18.7100,29152
2018,2,2,10,56,18.7050,18.7500,18.7000,18.7500,79074
2018,2,2,10,57,18.7500,18.7900,18.7400,18.7900,44858
2018,2,2,10,58,18.7800,18.7950,18.7500,18.8000,95841
2018,2,2,10,59,18.7950,18.8100,18.7900,18.8100,132037
2018,2,2,11,0,18.8100,18.8000,18.7900,18.8300,66690
2018,2,2,11,1,18.7900,18.7100,18.7100,18.7900,206561
2018,2,2,11,2,18.7190,18.7110,18.7000,18.7250,29725
2018,2,2,11,3,18.7200,18.7050,18.6900,18.7200,21549
2018,2,2,11,4,18.7100,18.6900,18.6746,18.7100,23240
2018,2,2,11,5,18.6900,18.6600,18.6400,18.6900,34146
2018,2,2,11,6,18.6600,18.6700,18.6600,18.7100,39821
2018,2,2,11,7,18.6800,18.6700,18.6400,18.6800,34998
2018,2,2,11,8,18.6700,18.6850,18.6550,18.6900,13270
2018,2,2,11,9,18.6850,18.6900,18.6700,18.6900,24722
2018,2,2,11,10,18.6850,18.7300,18.6850,18.7300,27724
2018,2,2,11,11,18.7250,18.7250,18.7200,18.7300,15116
2018,2,2,11,12,18.7246,18.7300,18.7100,18.7300,33018
2018,2,2,11,13,18.7300,18.7300,18.7200,18.7300,14683
2018,2,2,11,14,18.7200,18.7355,18.7100,18.7400,22938
2018,2,2,11,15,18.7300,18.7300,18.7200,18.7400,9792
2018,2,2,11,16,18.7300,18.6900,18.6900,18.7300,38392
2018,2,2,11,17,18.6900,18.6900,18.6850,18.7250,63182
2018,2,2,11,18,18.6938,18.6750,18.6750,18.7100,21767
2018,2,2,11,19,18.6746,18.6750,18.6700,18.6900,40125
2018,2,2,11,20,18.6700,18.6500,18.6400,18.6700,46091
2018,2,2,11,21,18.6414,18.6100,18.6100,18.6450,50882
2018,2,2,11,22,18.6100,18.6000,18.5900,18.6100,29558
2018,2,2,11,23,18.6001,18.6100,18.5700,18.6100,37590
2018,2,2,11,24,18.6000,18.6150,18.5950,18.6200,13251
2018,2,2,11,25,18.6200,18.6100,18.6000,18.6366,67966
2018,2,2,11,26,18.6000,18.6100,18.5700,18.6200,16105
2018,2,2,11,27,18.6200,18.6100,18.6000,18.6350,34692
2018,2,2,11,28,18.6130,18.6000,18.5850,18.6150,12920
2018,2,2,11,29,18.6050,18.6200,18.6000,18.6200,8627
2018,2,2,11,30,18.6200,18.6000,18.5800,18.6200,25750
2018,2,2,11,31,18.5950,18.6200,18.5900,18.6200,38247
2018,2,2,11,32,18.6200,18.6250,18.6150,18.6350,47959
2018,2,2,11,33,18.6300,18.6400,18.6200,18.6400,12870
2018,2,2,11,34,18.6400,18.6239,18.6200,18.6500,30615
2018,2,2,11,35,18.6300,18.6200,18.6100,18.6300,21324
2018,2,2,11,36,18.6300,18.6100,18.6100,18.6300,39391
2018,2,2,11,37,18.6100,18.6000,18.6000,18.6200,76943
2018,2,2,11,38,18.6100,18.5700,18.5700,18.6100,25386
2018,2,2,11,39,18.5750,18.5600,18.5600,18.5750,32407
2018,2,2,11,40,18.5600,18.5800,18.5500,18.5800,29155
2018,2,2,11,41,18.5800,18.5250,18.5100,18.5850,109770
2018,2,2,11,42,18.5200,18.5062,18.4800,18.5300,77974
2018,2,2,11,43,18.5100,18.5150,18.4800,18.5200,87187
2018,2,2,11,44,18.5150,18.4933,18.4900,18.5200,27571
2018,2,2,11,45,18.4900,18.5000,18.4900,18.5200,34469
2018,2,2,11,46,18.5000,18.4800,18.4700,18.5100,35433
2018,2,2,11,47,18.4800,18.5100,18.4700,18.5200,38850
2018,2,2,11,48,18.5150,18.5200,18.5100,18.5300,15477
2018,2,2,11,49,18.5150,18.5400,18.4900,18.5400,48225
2018,2,2,11,50,18.5350,18.5599,18.5301,18.5600,32947
2018,2,2,11,51,18.5600,18.5500,18.5400,18.5650,69101
2018,2,2,11,52,18.5500,18.5500,18.5450,18.5600,25466
2018,2,2,11,53,18.5500,18.5550,18.5400,18.5650,41021
2018,2,2,11,54,18.5600,18.5645,18.5500,18.5800,19580
2018,2,2,11,55,18.5700,18.5900,18.5600,18.5900,23847
2018,2,2,11,56,18.5800,18.5800,18.5700,18.5850,40570
2018,2,2,11,57,18.5800,18.5650,18.5600,18.5890,37591
2018,2,2,11,58,18.5650,18.5400,18.5400,18.5650,9907
2018,2,2,11,59,18.5400,18.5200,18.5050,18.5500,23016
2018,2,2,12,0,18.5150,18.5000,18.4900,18.5200,44194
2018,2,2,12,1,18.4900,18.4850,18.4650,18.4950,42710
2018,2,2,12,2,18.4900,18.4900,18.4825,18.5000,19592
2018,2,2,12,3,18.4900,18.4700,18.4700,18.4950,15543
2018,2,2,12,4,18.4650,18.4800,18.4500,18.4800,44696
2018,2,2,12,5,18.4800,18.4900,18.4700,18.4945,15397
2018,2,2,12,6,18.5000,18.4850,18.4800,18.5000,24853
2018,2,2,12,7,18.4800,18.4900,18.4700,18.4900,22273
2018,2,2,12,8,18.4850,18.5199,18.4850,18.5300,29050
2018,2,2,12,9,18.5100,18.5050,18.4900,18.5100,22203
2018,2,2,12,10,18.5000,18.5050,18.5000,18.5150,35214
2018,2,2,12,11,18.5100,18.5050,18.5000,18.5100,4345
2018,2,2,12,12,18.5100,18.5050,18.5045,18.5150,17129
2018,2,2,12,13,18.5000,18.5150,18.5000,18.5200,13751
2018,2,2,12,14,18.5148,18.5400,18.5148,18.5400,23442
2018,2,2,12,15,18.5350,18.5500,18.5350,18.5600,49013
2018,2,2,12,16,18.5450,18.5250,18.5200,18.5450,35991
2018,2,2,12,17,18.5300,18.5200,18.5200,18.5300,21324
2018,2,2,12,18,18.5300,18.5500,18.5200,18.5500,22820
2018,2,2,12,19,18.5500,18.5400,18.5400,18.5500,8067
2018,2,2,12,20,18.5500,18.5750,18.5400,18.5750,28809
2018,2,2,12,21,18.5700,18.5700,18.5600,18.5790,28214
2018,2,2,12,22,18.5750,18.5650,18.5600,18.5800,26274
2018,2,2,12,23,18.5600,18.5700,18.5500,18.5800,66974
2018,2,2,12,24,18.5700,18.5854,18.5500,18.5900,58922
2018,2,2,12,25,18.5900,18.6000,18.5800,18.6000,29937
2018,2,2,12,26,18.6000,18.5800,18.5700,18.6000,27770
2018,2,2,12,27,18.5800,18.5800,18.5800,18.5900,15377
