year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,57.5900,57.5900,57.5900,57.5900,100
2018,2,2,9,31,57.5300,57.4000,57.3400,57.6000,78768
2018,2,2,9,32,57.4300,57.4400,57.3400,57.4400,25143
2018,2,2,9,33,57.4499,57.4400,57.3900,57.4900,37079
2018,2,2,9,34,57.4200,57.4700,57.4000,57.4800,8915
2018,2,2,9,35,57.4493,57.3950,57.3950,57.4600,6489
2018,2,2,9,36,57.4100,57.4700,57.3800,57.4900,14365
2018,2,2,9,37,57.4600,57.3300,57.3300,57.4700,10528
2018,2,2,9,38,57.3300,57.3400,57.3100,57.3400,5929
2018,2,2,9,39,57.3600,57.3700,57.2900,57.4000,4009
2018,2,2,9,40,57.3500,57.4200,57.3500,57.4200,5976
2018,2,2,9,41,57.4000,57.4300,57.3900,57.4400,8204
2018,2,2,9,42,57.4200,57.4000,57.4000,57.4500,5443
2018,2,2,9,43,57.3900,57.3600,57.3500,57.3900,10106
2018,2,2,9,44,57.3800,57.3400,57.3200,57.3800,14723
2018,2,2,9,45,57.3350,57.3200,57.2800,57.3500,12336
2018,2,2,9,46,57.2900,57.1800,57.1800,57.3100,15975
2018,2,2,9,47,57.2200,57.1900,57.1700,57.2200,8009
2018,2,2,9,48,57.2000,57.2200,57.1900,57.2900,14546
2018,2,2,9,49,57.2200,57.2300,57.2100,57.2400,8280
2018,2,2,9,50,57.2000,57.1850,57.1400,57.2300,19456
2018,2,2,9,51,57.1999,57.1300,57.1300,57.2200,38001
2018,2,2,9,52,57.1400,57.1300,57.1200,57.1400,10025
2018,2,2,9,53,57.1400,56.9800,56.9700,57.1500,34056
2018,2,2,9,54,56.9600,56.9700,56.9300,57.0000,12405
2018,2,2,9,55,56.9500,56.9700,56.9400,57.0000,11561
2018,2,2,9,56,56.9400,56.9400,56.9300,56.9805,9657
2018,2,2,9,57,56.9300,56.8500,56.8200,56.9500,15295
2018,2,2,9,58,56.8600,56.8801,56.8400,56.9000,8332
2018,2,2,9,59,56.9100,56.8550,56.8500,56.9100,3864
2018,2,2,10,0,56.8400,56.8599,56.8200,56.8700,14648
2018,2,2,10,1,56.8500,56.8710,56.7000,56.8800,52662
2018,2,2,10,2,56.8700,56.9468,56.8700,56.9500,5800
2018,2,2,10,3,56.9600,56.9500,56.9100,56.9700,12373
2018,2,2,10,4,56.8900,56.9900,56.8900,57.0000,13980
