year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,1122.0000,1117.3013,1116.0000,1122.0000,39040
2018,2,2,9,31,1116.0000,1116.9300,1112.0400,1121.2200,38811
2018,2,2,9,32,1116.5400,1111.4600,1108.4000,1117.2400,32709
2018,2,2,9,33,1110.3900,1112.5700,1108.9700,1113.6700,13620
2018,2,2,9,34,1113.1700,1118.7200,1112.5822,1119.4900,30768
2018,2,2,9,35,1119.4400,1118.6240,1117.9700,1122.1300,37622
2018,2,2,9,36,1119.8500,1122.0000,1119.2450,1123.0000,19357
2018,2,2,9,37,1122.0000,1120.1800,1119.5200,1123.0700,24164
2018,2,2,9,38,1120.1800,1120.4000,1117.5000,1120.6900,30525
2018,2,2,9,39,1120.4000,1121.5100,1119.9500,1121.8300,27924
2018,2,2,9,40,1121.4300,1121.3400,1120.8500,1122.9900,53653
2018,2,2,9,41,1121.3400,1121.4700,1121.1400,1122.3200,20309
2018,2,2,9,42,1121.4300,1121.0000,1118.0000,1122.1700,34230
2018,2,2,9,43,1121.3400,1117.0000,1117.0000,1121.7100,27184
2018,2,2,9,44,1116.6450,1111.9600,1110.6400,1120.5286,42976
2018,2,2,9,45,1110.6800,1114.3450,1110.5300,1114.7100,21188
2018,2,2,9,46,1113.7700,1113.7300,1113.0900,1114.6000,27673
2018,2,2,9,47,1113.8400,1110.3600,1110.0000,1113.8400,18138
2018,2,2,9,48,1110.0100,1110.7400,1109.1750,1112.9800,28785
2018,2,2,9,49,1110.7100,1111.2900,1110.0200,1112.3500,18934
2018,2,2,9,50,1111.9300,1112.7200,1111.0000,1113.6400,16819
2018,2,2,9,51,1112.0000,1113.4740,1111.0100,1113.4740,20043
2018,2,2,9,52,1113.0700,1111.7050,1111.1200,1114.4050,34405
2018,2,2,9,53,1111.5300,1114.5100,1111.5300,1114.6800,20829
2018,2,2,9,54,1114.2700,1113.3200,1113.3200,1114.5400,10210
2018,2,2,9,55,1113.3200,1112.7200,1112.2300,1113.7170,17537
2018,2,2,9,56,1112.3600,1113.3550,1110.2800,1113.3600,19542
2018,2,2,9,57,1113.7100,1112.3300,1112.0000,1114.6800,11098
2018,2,2,9,58,1112.1000,1112.3347,1112.0200,1113.1290,6880
2018,2,2,9,59,1112.3900,1111.2350,1110.7400,1112.6250,14984
2018,2,2,10,0,1111.2350,1112.8500,1111.2347,1113.6000,21824
2018,2,2,10,1,1112.7800,1110.6100,1110.1000,1112.9400,31323
2018,2,2,10,2,1110.5900,1108.0000,1108.0000,1110.6100,14708
2018,2,2,10,3,1108.0000,1111.5400,1108.0000,1111.8300,21124
2018,2,2,10,4,1111.6328,1110.5745,1109.4775,1111.6328,9300
2018,2,2,10,5,1110.7800,1110.4700,1110.0000,1111.3200,16090
2018,2,2,10,6,1110.3600,1108.9303,1108.3600,1110.3600,22287
2018,2,2,10,7,1109.5000,1109.8000,1109.1250,1110.2099,13207
2018,2,2,10,8,1109.5400,1109.6400,1109.4890,1110.1300,7322
2018,2,2,10,9,1109.6300,1108.7200,1108.0500,1109.9300,35363
2018,2,2,10,10,1109.0000,1110.5000,1107.2779,1110.5000,22178
2018,2,2,10,11,1110.0000,1109.8850,1109.4500,1111.0000,17188
2018,2,2,10,12,1109.9350,1110.2100,1109.4000,1111.0900,8343
2018,2,2,10,13,1110.5000,1112.8400,1110.1900,1113.0000,29419
2018,2,2,10,14,1113.0000,1113.1638,1111.6700,1113.6600,15689
2018,2,2,10,15,1112.8194,1112.8175,1112.3800,1113.4900,9093
2018,2,2,10,16,1112.9800,1112.9625,1112.5100,1113.4899,12696
2018,2,2,10,17,1113.1800,1112.7200,1112.1000,1114.5750,11098
2018,2,2,10,18,1112.7450,1113.3500,1112.4000,1113.7300,7878
2018,2,2,10,19,1113.2075,1114.1650,1112.1000,1114.7000,11044
2018,2,2,10,20,1114.4700,1114.1500,1113.0100,1115.5600,15166
2018,2,2,10,21,1114.8600,1113.3600,1113.0700,1114.8600,5177
2018,2,2,10,22,1113.6900,1114.8700,1113.4020,1115.8700,7400
2018,2,2,10,23,1115.8700,1115.6000,1113.5500,1115.9300,10185
2018,2,2,10,24,1115.5600,1114.5653,1114.0000,1115.6300,5351
2018,2,2,10,25,1114.5000,1114.1000,1114.1000,1115.4290,6023
2018,2,2,10,26,1114.4160,1114.6100,1114.0700,1115.2400,8879
2018,2,2,10,27,1115.0300,1114.7800,1114.0000,1115.1500,8265
2018,2,2,10,28,1115.0000,1115.2090,1114.5000,1115.7599,5610
2018,2,2,10,29,1114.6100,1115.2500,1114.6100,1115.6600,4390
2018,2,2,10,30,1115.5400,1115.6800,1115.3500,1115.9700,2800
2018,2,2,10,31,1115.8250,1115.0500,1115.0000,1116.0800,10291
2018,2,2,10,32,1115.3700,1115.6300,1114.8539,1115.8200,3628
2018,2,2,10,33,1115.6400,1113.7800,1113.3900,1115.7400,10614
2018,2,2,10,34,1113.4700,1113.4500,1113.0000,1113.8300,11360
2018,2,2,10,35,1113.7600,1114.2600,1113.0300,1114.7500,4204
2018,2,2,10,36,1114.3697,1114.7500,1114.0000,1114.7500,2300
2018,2,2,10,37,1114.7200,1114.0300,1113.9400,1114.7400,5725
