year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,265.1200,264.9500,264.3700,265.1200,4539
2018,2,2,9,33,264.5000,264.3600,263.7900,264.5000,4126
2018,2,2,9,34,263.7800,263.4700,263.4700,263.7800,3061
2018,2,2,9,35,263.3550,263.0463,263.0463,263.3550,1333
2018,2,2,9,36,263.2583,263.2483,263.2483,263.2600,300
2018,2,2,9,37,263.4800,263.4800,263.4800,263.4800,841
2018,2,2,9,41,263.1400,263.1400,263.1400,263.1400,100
2018,2,2,9,45,263.7200,263.7200,263.7200,263.7200,100
2018,2,2,9,46,263.2200,263.4253,263.1700,263.7200,4443
2018,2,2,9,47,263.1500,263.0100,263.0100,263.1500,600
2018,2,2,9,48,262.8500,262.8500,262.8500,262.8500,100
2018,2,2,9,49,262.8400,262.8700,262.7450,263.0000,2300
2018,2,2,9,50,262.6200,262.6475,262.5750,262.8150,1100
2018,2,2,9,51,262.8100,262.4900,262.4800,262.8100,1000
2018,2,2,9,52,262.8000,263.7300,262.5800,263.7300,1800
2018,2,2,9,53,263.6500,263.9600,263.6500,263.9650,1300
2018,2,2,9,54,264.2250,264.2250,264.2250,264.2250,200
2018,2,2,9,56,263.7500,263.6300,263.6300,264.2000,1147
2018,2,2,9,57,263.7000,263.8300,263.6900,264.0300,1800
2018,2,2,9,58,263.8350,263.8350,263.8350,263.8350,200
2018,2,2,9,59,263.6900,263.6900,263.6900,263.6900,100
2018,2,2,10,0,263.8700,264.0100,263.8300,264.0100,600
2018,2,2,10,1,263.5900,262.8800,262.8800,263.6400,1000
2018,2,2,10,3,263.0000,262.9400,262.9400,263.1950,900
2018,2,2,10,4,262.8900,262.6249,262.4300,262.8900,2607
2018,2,2,10,5,262.6249,262.5600,262.3400,262.6300,2615
2018,2,2,10,6,262.3100,262.1200,262.1200,262.3100,1000
2018,2,2,10,7,262.0300,262.7000,262.0300,262.7200,4043
2018,2,2,10,8,262.7300,262.7850,262.6800,262.7850,1401
2018,2,2,10,10,263.0000,262.9800,262.8000,263.3100,1851
2018,2,2,10,12,262.6900,263.0700,262.6900,263.3600,1350
2018,2,2,10,14,263.2085,263.3950,263.1200,263.4050,1000
2018,2,2,10,15,262.9400,263.3800,262.9400,263.7200,10433
2018,2,2,10,17,262.9700,262.9200,262.9200,262.9700,400
2018,2,2,10,18,262.5300,262.5285,262.4800,262.8700,500
2018,2,2,10,19,262.4900,262.6500,262.4500,262.9900,4500
2018,2,2,10,20,262.6850,262.6750,262.6000,262.6850,800
2018,2,2,10,21,262.5800,262.3500,262.3500,262.5800,400
2018,2,2,10,22,262.4000,262.9200,262.3500,262.9800,3565
2018,2,2,10,23,262.9000,262.8600,262.8100,263.2250,1700
2018,2,2,10,25,262.9400,262.6900,262.6900,262.9700,1565
2018,2,2,10,26,262.8500,262.8500,262.8500,262.8500,100
2018,2,2,10,27,263.0200,263.0200,263.0200,263.0200,100
2018,2,2,10,28,262.8600,262.7900,262.7400,263.0200,902
2018,2,2,10,29,262.7800,263.1800,262.7800,263.1800,3094
2018,2,2,10,30,263.0800,263.0800,262.9400,263.0800,1800
2018,2,2,10,31,262.9300,262.9300,262.9300,262.9300,100
2018,2,2,10,32,262.7580,263.1050,262.7400,263.1400,1547
2018,2,2,10,33,263.0900,262.9400,262.9400,263.0900,600
2018,2,2,10,34,262.7600,262.8350,262.7000,262.8550,1300
2018,2,2,10,35,262.8800,262.9880,262.7950,263.0400,2613
2018,2,2,10,36,263.0100,263.1700,262.9850,263.1700,800
2018,2,2,10,37,263.0150,263.0450,263.0150,263.2000,1806
2018,2,2,10,38,263.0450,263.3250,263.0450,263.3250,3100
2018,2,2,10,39,263.1000,263.0000,262.9900,263.1250,1682
2018,2,2,10,40,263.1250,263.1100,263.1100,263.1250,400
2018,2,2,10,41,263.1150,263.1150,263.1150,263.2200,1450
2018,2,2,10,42,263.0300,262.8500,262.8500,263.0500,1900
2018,2,2,10,43,262.8300,262.8300,262.8300,262.8300,200
2018,2,2,10,44,262.7000,262.4650,262.4650,262.7000,900
2018,2,2,10,45,262.4600,262.2100,262.2100,262.4600,700
2018,2,2,10,46,262.0900,262.0900,261.6800,262.1700,4598
2018,2,2,10,47,261.9850,261.7900,261.7900,262.0800,2050
2018,2,2,10,48,261.9100,262.6400,261.9100,262.6400,4613
2018,2,2,10,49,262.6300,262.3300,262.3300,262.6300,200
2018,2,2,10,50,262.5100,262.5900,262.3000,262.9300,7244
2018,2,2,10,51,262.7600,262.5900,262.5900,262.8700,428
2018,2,2,10,52,262.6600,262.7400,262.6600,262.7400,500
2018,2,2,10,53,262.7200,262.6600,262.6600,262.7200,200
2018,2,2,10,54,262.7400,262.8101,262.6750,263.1750,2000
2018,2,2,10,55,262.9950,262.7600,262.7600,262.9950,1600
2018,2,2,10,56,262.6000,262.7100,262.6000,262.7600,335
2018,2,2,10,57,262.7050,262.6000,262.4000,262.7050,2295
2018,2,2,10,58,262.6150,262.3000,262.3000,262.6150,1500
2018,2,2,10,59,262.3350,262.3350,262.3350,262.3350,100
2018,2,2,11,0,262.3400,262.3450,262.3400,262.3450,600
2018,2,2,11,1,262.2200,262.0301,262.0301,262.2200,400
2018,2,2,11,2,262.1600,262.2300,262.0000,262.2300,1900
2018,2,2,11,3,262.2700,262.5600,262.2700,262.6100,1687
2018,2,2,11,4,262.5000,262.4050,262.2200,262.5000,2979
2018,2,2,11,5,262.5300,262.5200,262.4450,262.7200,6350
2018,2,2,11,6,262.4900,262.7050,262.4900,262.8500,3336
2018,2,2,11,7,262.7300,262.5200,262.5200,263.0000,4003
2018,2,2,11,8,262.4900,262.7300,262.4900,262.7300,200
2018,2,2,11,9,262.9000,263.0000,262.7650,263.0000,2542
2018,2,2,11,10,263.0000,263.5100,262.7650,263.5100,7434
2018,2,2,11,11,263.5250,263.5200,263.3900,263.6700,400
2018,2,2,11,12,263.5350,263.6300,263.5350,263.6300,300
2018,2,2,11,13,263.5350,263.5400,263.5350,263.5400,200
2018,2,2,11,14,263.5600,263.6800,263.4400,263.6800,900
2018,2,2,11,15,263.5600,263.4500,263.3300,263.6700,12100
2018,2,2,11,16,263.0900,263.1900,262.9960,263.3300,8850
2018,2,2,11,17,263.2600,263.2300,263.2300,263.2600,1500
2018,2,2,11,18,263.2500,263.1400,263.1400,263.3000,3400
2018,2,2,11,19,263.0850,263.0850,263.0850,263.0850,100
2018,2,2,11,20,263.0850,263.0850,263.0850,263.0850,200
2018,2,2,11,21,262.9100,263.0900,262.9100,263.0900,300
2018,2,2,11,22,263.0850,263.0850,263.0850,263.0850,100
2018,2,2,11,23,263.0900,263.0900,263.0900,263.0900,100
2018,2,2,11,24,263.1000,263.1650,263.1000,263.3000,2200
2018,2,2,11,25,263.0600,262.7700,262.7700,263.0600,1782
2018,2,2,11,26,262.9050,262.7800,262.7800,262.9050,400
2018,2,2,11,27,262.8800,262.6800,262.6800,262.9500,2416
2018,2,2,11,28,262.6550,262.6550,262.6550,262.6550,100
2018,2,2,11,29,262.6750,262.6750,262.6750,262.6750,100
2018,2,2,11,30,262.5500,262.3100,262.0050,262.5500,2003
2018,2,2,11,31,262.3300,262.3800,262.2300,262.3800,1143
2018,2,2,11,32,262.2913,262.2700,262.2500,262.2913,1000
2018,2,2,11,33,262.2150,262.1350,261.9900,262.2150,500
2018,2,2,11,34,261.9600,262.0300,261.9600,262.3600,700
2018,2,2,11,35,261.9694,262.1650,261.9400,262.1650,1100
2018,2,2,11,36,262.1650,262.5050,262.0066,262.5050,2310
2018,2,2,11,37,262.5400,262.5400,262.5400,262.5400,200
2018,2,2,11,38,262.3000,262.0750,261.9800,262.3600,1600
2018,2,2,11,39,261.9400,261.8300,261.6700,261.9400,1500
2018,2,2,11,40,261.6500,261.6500,261.6500,261.6500,100
2018,2,2,11,41,261.7000,262.0000,261.7000,262.0000,2900
2018,2,2,11,42,262.2350,262.0300,262.0300,262.2400,700
2018,2,2,11,43,262.0300,262.0300,262.0300,262.0300,100
2018,2,2,11,45,261.8500,261.7500,261.6000,261.9600,5800
2018,2,2,11,46,261.4900,261.4400,261.4400,261.4900,200
2018,2,2,11,47,261.4300,261.5300,261.3850,261.5300,700
2018,2,2,11,48,261.5800,261.5800,261.5800,261.5800,200
2018,2,2,11,49,261.5900,261.5900,261.5900,261.5900,200
2018,2,2,11,52,261.4500,261.6150,261.4500,261.6150,200
2018,2,2,11,53,261.6150,261.6150,261.6150,261.6150,100
2018,2,2,11,54,261.4215,261.6250,261.4215,261.8250,600
2018,2,2,11,55,261.6250,261.8400,261.6250,261.8500,1800
2018,2,2,11,56,261.8100,261.7050,261.7050,261.8400,983
2018,2,2,11,57,261.6000,261.5550,261.4300,261.6000,1500
2018,2,2,11,58,261.5500,261.5500,261.5500,261.5500,300
2018,2,2,11,59,261.4300,261.2700,261.2700,261.4300,807
2018,2,2,12,0,261.2400,260.8250,260.8250,261.2400,500
2018,2,2,12,1,260.7550,261.0100,260.7550,261.0600,1300
2018,2,2,12,2,261.1000,261.3450,261.1000,261.3450,756
2018,2,2,12,3,261.1850,261.1850,261.1850,261.1850,100
2018,2,2,12,4,261.1850,260.9900,260.9900,261.1850,900
2018,2,2,12,5,260.9150,260.9150,260.9150,260.9150,100
2018,2,2,12,6,260.9350,260.9350,260.9350,260.9350,100
2018,2,2,12,7,260.9350,260.9400,260.9350,260.9400,200
2018,2,2,12,8,260.9500,261.4000,260.9500,261.4000,1100
2018,2,2,12,10,261.4400,261.2400,261.1500,261.4400,600
2018,2,2,12,11,261.4100,261.4300,261.4100,261.4300,200
2018,2,2,12,12,261.4400,261.4800,261.3250,261.4800,1700
2018,2,2,12,13,261.5850,261.9850,261.5850,261.9850,300
2018,2,2,12,14,262.1000,262.1000,262.1000,262.1000,199
2018,2,2,12,15,261.9600,261.9600,261.9600,261.9600,100
2018,2,2,12,16,262.1550,262.2700,262.1550,262.2700,200
