year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,101.5400,101.6100,101.4610,102.0000,42149
2018,2,2,9,32,101.8700,101.9600,101.8700,102.0000,500
2018,2,2,9,33,101.9500,101.7800,101.7800,102.0000,1550
2018,2,2,9,34,102.0399,101.6850,101.6700,102.0399,3600
2018,2,2,9,35,101.8400,101.7100,101.6400,101.8600,1456
2018,2,2,9,36,101.8500,101.7300,101.7300,102.1400,3462
2018,2,2,9,37,101.8400,101.7900,101.7200,101.9100,8663
2018,2,2,9,39,101.8800,101.7600,101.7600,101.8800,2800
2018,2,2,9,40,101.8100,101.8500,101.7850,101.8700,1972
2018,2,2,9,41,101.7800,101.6899,101.6600,101.8499,4700
2018,2,2,9,42,101.6894,101.8000,101.6894,101.8000,3998
2018,2,2,9,43,101.7400,101.7700,101.7100,101.7900,2977
2018,2,2,9,44,101.7600,101.7300,101.7300,101.7600,2226
2018,2,2,9,45,101.7800,101.7990,101.7600,101.8300,2490
2018,2,2,9,46,101.7800,101.7400,101.7400,101.8050,2800
2018,2,2,9,47,101.7350,101.7750,101.7300,101.7750,2450
2018,2,2,9,48,101.8000,101.9200,101.7750,101.9200,3707
2018,2,2,9,49,101.9100,102.1000,101.8800,102.1000,7540
2018,2,2,9,50,102.0800,102.1900,102.0800,102.1900,1050
2018,2,2,9,51,102.1491,102.1375,102.1100,102.1800,4888
2018,2,2,9,52,102.2100,102.2499,102.1100,102.2500,8870
2018,2,2,9,53,102.2200,102.0600,102.0000,102.2458,20683
2018,2,2,9,54,102.0500,102.0400,102.0100,102.1099,4700
2018,2,2,9,55,101.9900,102.0200,101.9800,102.0300,2197
2018,2,2,9,56,102.0100,102.0000,101.9900,102.0699,11875
2018,2,2,9,57,102.0100,101.9300,101.9000,102.0100,5119
2018,2,2,9,58,101.9300,102.0999,101.9300,102.0999,2900
2018,2,2,9,59,102.1000,102.0400,102.0381,102.1000,2679
2018,2,2,10,0,102.0400,101.9701,101.9700,102.0800,4329
2018,2,2,10,1,101.9950,101.9800,101.9700,102.0900,3411
2018,2,2,10,2,101.9950,102.0300,101.9950,102.0300,3292
2018,2,2,10,3,101.9826,101.8900,101.8500,102.0299,13986
2018,2,2,10,4,101.8100,101.7000,101.7000,101.8100,1389
2018,2,2,10,5,101.7600,101.5700,101.5700,101.7900,5175
2018,2,2,10,6,101.5700,101.4800,101.4000,101.5700,5074
2018,2,2,10,7,101.5100,101.4400,101.4200,101.5300,7399
