year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,48.8200,48.8700,48.8200,48.8700,1302
2018,2,2,9,31,48.7600,48.7900,48.6000,48.7900,14045
2018,2,2,9,34,48.8000,48.6200,48.6200,48.8100,3801
2018,2,2,9,35,48.7600,48.8300,48.7000,48.8400,1400
2018,2,2,9,36,48.7700,48.8100,48.7700,48.9300,700
2018,2,2,9,40,48.7700,48.7700,48.7100,48.8000,1500
2018,2,2,9,41,48.7700,48.8400,48.7100,48.8400,1600
2018,2,2,9,42,48.8100,48.7200,48.7200,48.8100,2500
2018,2,2,9,43,48.7300,48.8529,48.7000,48.8529,1000
2018,2,2,9,44,48.8850,48.8800,48.8800,48.9700,4016
2018,2,2,9,45,48.9500,48.9900,48.9000,48.9900,639
2018,2,2,9,46,49.0000,48.9000,48.8700,49.0000,8215
2018,2,2,9,47,48.8950,48.8900,48.8700,48.9500,3396
2018,2,2,9,48,48.8500,48.8300,48.7900,48.8500,400
2018,2,2,9,49,48.8700,48.8500,48.8500,48.9100,1300
2018,2,2,9,50,48.8500,48.8500,48.8500,48.8500,300
2018,2,2,9,51,48.8500,48.9700,48.8500,49.0100,2146
2018,2,2,9,52,48.9203,48.8700,48.8700,48.9700,4899
2018,2,2,9,53,48.9250,48.8600,48.7800,48.9250,1600
2018,2,2,9,54,48.8500,48.8000,48.7700,48.8500,2500
2018,2,2,9,55,48.8400,48.7300,48.7100,48.8641,7500
2018,2,2,9,56,48.7500,48.7900,48.7500,48.7900,775
2018,2,2,9,57,48.7500,48.6990,48.6990,48.7500,1675
2018,2,2,9,58,48.7300,48.8200,48.7300,48.8400,2400
2018,2,2,9,59,48.7800,48.7600,48.7600,48.7800,400
2018,2,2,10,0,48.7800,48.7600,48.7000,48.7800,1503
2018,2,2,10,1,48.7700,48.8350,48.7500,48.8600,22205
2018,2,2,10,2,48.8500,48.9050,48.8500,48.9400,3700
2018,2,2,10,3,48.8600,49.0050,48.8200,49.0100,43100
2018,2,2,10,4,48.9300,48.9400,48.8800,48.9500,1600
2018,2,2,10,5,48.9401,48.8600,48.8600,48.9401,710
2018,2,2,10,6,48.8600,48.8900,48.8600,48.9300,1035
2018,2,2,10,7,48.9500,49.0350,48.9400,49.0500,2111
2018,2,2,10,8,49.0180,49.1400,49.0100,49.1400,2743
2018,2,2,10,9,49.1200,49.1393,49.1200,49.2500,3463
2018,2,2,10,10,49.1300,49.1000,49.0800,49.1400,2313
2018,2,2,10,11,49.1500,49.1500,49.1500,49.1500,100
2018,2,2,10,12,49.1800,49.3900,49.1800,49.3900,1500
2018,2,2,10,13,49.3700,49.3500,49.3400,49.3700,2000
2018,2,2,10,14,49.2800,49.2200,49.2200,49.3000,8444
2018,2,2,10,15,49.2700,49.2700,49.2700,49.2700,100
2018,2,2,10,16,49.2200,49.1700,49.1700,49.2300,1406
2018,2,2,10,17,49.2300,49.2200,49.2200,49.2300,200
2018,2,2,10,18,49.1700,49.1800,49.1300,49.1900,2910
2018,2,2,10,19,49.1800,49.0900,49.0900,49.1800,2050
2018,2,2,10,20,49.0800,49.1700,49.0800,49.1700,3583
2018,2,2,10,21,49.1608,49.1300,49.0700,49.1608,16046
2018,2,2,10,22,49.1400,49.2100,49.1400,49.2500,10750
2018,2,2,10,23,49.2000,49.1300,49.1300,49.2000,2500
2018,2,2,10,24,49.1300,49.1800,49.1300,49.1800,856
2018,2,2,10,25,49.1950,49.2300,49.1902,49.2700,4497
2018,2,2,10,26,49.2000,49.2100,49.1600,49.2400,1600
2018,2,2,10,28,49.2100,49.2000,49.2000,49.2100,700
2018,2,2,10,29,49.2200,49.3300,49.2200,49.3300,5120
2018,2,2,10,30,49.2800,49.2500,49.2500,49.3050,1580
2018,2,2,10,31,49.2900,49.2100,49.2100,49.3100,2400
2018,2,2,10,32,49.2215,49.2900,49.2215,49.2900,1686
2018,2,2,10,33,49.2590,49.1900,49.1900,49.2590,1350
2018,2,2,10,34,49.1900,49.2000,49.1700,49.2600,7013
2018,2,2,10,35,49.2100,49.2100,49.1700,49.2100,2300
2018,2,2,10,36,49.2550,49.2600,49.2550,49.2600,200
2018,2,2,10,37,49.2800,49.3000,49.2800,49.3100,400
2018,2,2,10,38,49.3200,49.4100,49.2700,49.4100,1540
2018,2,2,10,39,49.3500,49.3500,49.3500,49.3500,562
2018,2,2,10,40,49.3400,49.3100,49.3100,49.3700,1300
2018,2,2,10,41,49.3250,49.3300,49.2900,49.3300,1100
2018,2,2,10,42,49.3200,49.3600,49.3200,49.3900,1900
2018,2,2,10,43,49.3300,49.3000,49.3000,49.3300,200
2018,2,2,10,44,49.3150,49.2300,49.2300,49.3150,1000
2018,2,2,10,45,49.2200,49.2200,49.1600,49.2400,6666
2018,2,2,10,46,49.1900,49.2000,49.1100,49.2100,3400
2018,2,2,10,47,49.1600,49.1300,49.0700,49.1600,2881
2018,2,2,10,48,49.1500,49.1500,49.1500,49.1900,1700
2018,2,2,10,49,49.1350,49.2100,49.1350,49.2400,5600
2018,2,2,10,50,49.1800,49.2200,49.1800,49.2700,5000
2018,2,2,10,51,49.2000,49.2000,49.1400,49.2100,3200
2018,2,2,10,52,49.2290,49.2200,49.2000,49.2695,7607
2018,2,2,10,53,49.2300,49.1700,49.1700,49.2300,9200
2018,2,2,10,54,49.1800,49.1200,49.1000,49.1800,19600
2018,2,2,10,55,49.1200,49.0200,48.8500,49.1600,27290
2018,2,2,10,56,48.9800,49.0000,48.9000,49.0000,4300
2018,2,2,10,57,48.9900,48.9300,48.9300,49.0200,17530
2018,2,2,10,58,48.9600,48.8500,48.8500,48.9700,18900
2018,2,2,10,59,48.8500,48.9100,48.8100,48.9500,16573
2018,2,2,11,0,48.9152,48.9000,48.7600,48.9400,13588
2018,2,2,11,1,48.9000,48.8400,48.8400,48.9100,6262
2018,2,2,11,2,48.8800,48.9200,48.8800,48.9200,700
2018,2,2,11,3,48.9200,48.8600,48.8400,48.9200,2487
2018,2,2,11,4,48.9000,48.8750,48.8500,48.9000,700
2018,2,2,11,5,48.8500,48.8300,48.7700,48.8600,2022
2018,2,2,11,6,48.8072,48.8072,48.8072,48.8072,401
2018,2,2,11,7,48.8300,48.8300,48.8100,48.8300,300
2018,2,2,11,8,48.8000,48.7000,48.6900,48.8200,4377
2018,2,2,11,9,48.7250,48.7250,48.6900,48.7250,400
2018,2,2,11,10,48.7600,48.8500,48.7600,48.8600,4500
2018,2,2,11,11,48.8600,48.8500,48.8200,48.8600,1669
2018,2,2,11,12,48.8150,48.8900,48.8150,48.8900,2009
2018,2,2,11,13,48.8950,48.9000,48.8950,48.9000,300
2018,2,2,11,14,48.9000,48.9000,48.8800,48.9000,1000
2018,2,2,11,15,48.9300,48.9000,48.8700,48.9300,2900
2018,2,2,11,16,48.8700,48.7750,48.7750,48.9200,1800
2018,2,2,11,18,48.7600,48.7600,48.7600,48.7600,100
2018,2,2,11,19,48.8300,48.8000,48.8000,48.8500,3523
2018,2,2,11,21,48.7900,48.7000,48.7000,48.7900,1721
2018,2,2,11,22,48.7500,48.7200,48.7100,48.7772,2891
2018,2,2,11,23,48.7100,48.7200,48.7100,48.7400,2356
2018,2,2,11,25,48.7406,48.7000,48.7000,48.7406,1100
2018,2,2,11,26,48.7372,48.7400,48.7000,48.7400,1800
2018,2,2,11,27,48.7400,48.6600,48.6600,48.7600,4300
2018,2,2,11,28,48.7000,48.6900,48.6900,48.7100,1400
2018,2,2,11,29,48.6900,48.7000,48.6900,48.7300,3200
2018,2,2,11,30,48.6990,48.6400,48.6400,48.6990,366
