year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,32,355.0000,354.5200,354.1000,355.2450,22214
2018,2,2,9,33,354.4547,354.0100,354.0100,354.4840,4155
2018,2,2,9,34,354.1848,353.4500,352.7600,354.1848,5954
2018,2,2,9,35,353.3230,352.4814,352.0500,353.5600,10762
2018,2,2,9,36,352.3950,352.0740,351.6400,352.9300,11629
2018,2,2,9,37,352.3600,352.4500,351.5200,352.5600,5888
2018,2,2,9,38,352.3400,352.9600,352.2700,353.4250,7880
2018,2,2,9,39,352.4900,352.5700,352.4900,352.8200,3925
2018,2,2,9,40,352.5700,352.0800,352.0800,352.5800,8282
2018,2,2,9,41,352.1650,352.7200,352.1100,353.0000,9627
2018,2,2,9,42,352.7200,352.2900,352.2900,352.9900,7541
2018,2,2,9,43,352.6000,352.8600,352.1100,353.1700,7841
2018,2,2,9,44,352.8600,352.4750,352.1700,353.1300,6137
2018,2,2,9,45,352.4900,352.6200,352.4900,352.8200,1700
2018,2,2,9,46,352.7500,352.4999,352.2400,352.8300,2400
2018,2,2,9,47,352.4009,352.3151,352.2600,352.4300,2485
2018,2,2,9,48,352.3016,352.6090,352.3016,352.6090,740
2018,2,2,9,49,352.6800,352.6395,352.4800,352.7800,6768
2018,2,2,9,50,352.6000,352.5700,352.5700,352.6800,600
2018,2,2,9,51,352.5000,353.0400,352.4000,353.0400,4034
2018,2,2,9,52,353.2200,352.8684,352.5000,353.2350,7014
2018,2,2,9,53,353.0900,353.2200,352.9100,353.5750,10411
2018,2,2,9,54,353.4100,353.7453,353.2450,354.0000,12979
2018,2,2,9,55,353.8144,353.0700,353.0000,353.9650,5244
2018,2,2,9,56,353.1102,353.0994,353.0000,353.1334,3437
2018,2,2,9,57,353.0000,353.2500,352.6500,353.2800,4056
2018,2,2,9,58,353.1750,353.9200,353.1750,353.9200,1300
2018,2,2,9,59,353.7800,353.8000,353.6300,354.1300,2670
2018,2,2,10,0,354.1182,354.1350,353.8100,354.1350,1780
2018,2,2,10,1,354.3600,353.7500,353.5000,354.3600,5783
2018,2,2,10,2,353.6909,353.5400,353.5000,353.9800,4250
2018,2,2,10,3,353.8000,353.0350,353.0200,353.8399,4550
2018,2,2,10,4,353.2897,353.2900,353.2897,353.4588,853
2018,2,2,10,5,353.1000,352.8200,352.7100,353.4600,6415
2018,2,2,10,6,352.8802,353.4900,352.8802,353.4900,3329
2018,2,2,10,7,353.9000,353.4700,352.9400,353.9000,5070
2018,2,2,10,8,353.5300,353.2100,353.0200,353.8700,3924
2018,2,2,10,9,353.5900,353.7000,353.5900,354.4550,5286
2018,2,2,10,10,353.9600,354.0047,353.7650,354.4650,8505
2018,2,2,10,11,354.1000,354.2200,353.8600,354.2300,2657
2018,2,2,10,12,354.1600,353.9900,353.8700,354.3600,6257
2018,2,2,10,13,354.0000,353.9500,353.9250,354.6100,5582
2018,2,2,10,14,354.0000,354.1250,353.9000,354.1250,1000
2018,2,2,10,15,354.1100,354.3400,354.0100,354.4200,4072
2018,2,2,10,16,354.3700,354.6350,354.2400,354.6350,5320
2018,2,2,10,17,354.6050,354.7300,354.4800,354.7800,2889
2018,2,2,10,18,354.7000,355.3200,354.6750,355.3200,3200
2018,2,2,10,19,355.3400,355.1045,354.8200,355.4000,6005
2018,2,2,10,20,355.1150,354.6000,354.5400,355.1150,3500
2018,2,2,10,21,354.4800,354.6050,354.4300,354.6650,2425
2018,2,2,10,22,354.6050,355.1150,354.6050,355.2000,1900
2018,2,2,10,23,355.1300,355.1600,354.9300,355.3000,3520
2018,2,2,10,24,355.1000,355.2600,355.1000,355.4200,4386
2018,2,2,10,25,355.2600,355.2250,355.1200,355.2700,2092
2018,2,2,10,26,355.1700,355.9000,355.1700,355.9000,6712
2018,2,2,10,27,355.9700,356.2200,355.9600,356.2200,2921
2018,2,2,10,28,356.2200,356.7650,356.2200,356.9300,4203
2018,2,2,10,29,356.9100,356.8300,356.7750,357.0000,2400
2018,2,2,10,30,356.8624,356.9900,356.6600,357.0000,4373
2018,2,2,10,31,356.9300,356.6100,356.5800,356.9800,3725
2018,2,2,10,32,356.7100,356.7700,356.4900,356.9300,4731
2018,2,2,10,33,356.6800,356.5050,356.4400,356.7900,1700
2018,2,2,10,34,356.5000,356.5598,356.4200,356.7000,4800
