year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,14.4400,14.4500,14.4400,14.4500,141044
2018,2,2,9,31,14.4500,14.6800,14.3222,14.8300,253199
2018,2,2,9,32,14.7200,14.8300,14.6800,14.9000,158448
2018,2,2,9,33,14.8400,15.2400,14.8100,15.3600,188756
2018,2,2,9,34,15.2400,15.4500,15.2400,15.5000,114247
2018,2,2,9,35,15.4900,15.2201,15.2200,15.4900,141364
2018,2,2,9,36,15.2500,15.8300,15.2300,15.8900,177889
2018,2,2,9,37,15.8100,15.9000,15.6600,15.9600,155382
2018,2,2,9,38,15.9000,16.0140,15.8900,16.0800,135970
2018,2,2,9,39,16.0100,16.3050,16.0100,16.4200,233490
2018,2,2,9,40,16.3000,16.4601,16.1500,16.4900,222807
2018,2,2,9,41,16.4600,16.2500,16.1400,16.7600,375280
2018,2,2,9,42,16.2450,16.2200,16.1200,16.2600,127995
2018,2,2,9,43,16.2300,16.8300,16.2300,16.8800,270738
2018,2,2,9,44,16.8500,16.2000,16.0100,16.8500,290321
2018,2,2,9,45,16.2100,16.4600,16.2000,16.6500,191524
2018,2,2,9,46,16.4600,16.6750,16.3500,16.7000,213514
2018,2,2,9,47,16.6800,16.5004,16.5000,16.7800,199064
2018,2,2,9,48,16.5000,16.7400,16.5000,16.7700,142271
2018,2,2,9,49,16.7350,16.5800,16.4100,16.7900,180760
2018,2,2,9,50,16.6000,16.5300,16.5200,16.6500,60570
2018,2,2,9,51,16.5300,16.6400,16.4700,16.6400,86677
2018,2,2,9,52,16.6200,16.6200,16.5400,16.7000,66524
2018,2,2,9,53,16.6102,16.5200,16.4300,16.6500,100914
2018,2,2,9,54,16.5102,16.5300,16.4500,16.5800,46097
2018,2,2,9,55,16.4801,16.4400,16.1100,16.5400,95194
2018,2,2,9,56,16.4400,16.3950,16.3100,16.4900,100321
2018,2,2,9,57,16.4000,16.3801,16.3700,16.4850,80293
2018,2,2,9,58,16.4140,16.2800,16.2700,16.4140,68393
2018,2,2,9,59,16.2800,16.2605,16.1600,16.3300,106876
2018,2,2,10,0,16.2700,16.3850,16.2500,16.4000,47752
2018,2,2,10,1,16.3850,16.4750,16.3700,16.4900,111062
2018,2,2,10,2,16.4700,16.5150,16.4700,16.5200,69688
2018,2,2,10,3,16.5100,16.3450,16.3000,16.5400,115279
2018,2,2,10,4,16.3200,16.4100,16.3200,16.4100,56059
2018,2,2,10,5,16.4166,16.4900,16.4100,16.5100,55293
2018,2,2,10,6,16.4900,16.4600,16.4500,16.5099,84549
2018,2,2,10,7,16.4627,16.5400,16.4600,16.5500,73267
2018,2,2,10,8,16.5400,16.6200,16.5200,16.6700,182359
2018,2,2,10,9,16.6200,16.6200,16.5500,16.6200,68003
2018,2,2,10,10,16.6000,16.4801,16.4600,16.6200,107318
2018,2,2,10,11,16.4800,16.5200,16.4800,16.5600,69680
2018,2,2,10,12,16.5200,16.6300,16.5200,16.6400,85101
2018,2,2,10,13,16.6300,16.5840,16.5500,16.6400,84385
2018,2,2,10,14,16.5800,16.4605,16.4600,16.6000,31922
2018,2,2,10,15,16.4800,16.5700,16.4700,16.5800,38554
2018,2,2,10,16,16.5900,16.5650,16.5100,16.5900,22529
2018,2,2,10,17,16.5600,16.4400,16.3700,16.5798,76776
2018,2,2,10,18,16.4424,16.4300,16.4200,16.4850,52039
2018,2,2,10,19,16.4600,16.4000,16.3300,16.4800,74602
2018,2,2,10,20,16.3924,16.4800,16.3924,16.5200,33542
2018,2,2,10,21,16.4800,16.3900,16.3600,16.4800,14396
2018,2,2,10,22,16.3900,16.5300,16.3600,16.5800,53523
2018,2,2,10,23,16.5000,16.6100,16.5000,16.6100,39869
