year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,155.4800,155.4800,155.4800,155.4800,16713
2018,2,2,9,31,155.4600,155.6050,155.4300,155.6079,742
2018,2,2,9,32,155.4100,155.4174,155.0790,155.6154,2785
2018,2,2,9,33,155.4050,155.1300,155.1300,155.4050,200
2018,2,2,9,34,155.0900,155.1700,155.0900,155.6750,300
2018,2,2,9,35,155.1800,155.2805,155.1800,155.2805,468
2018,2,2,9,36,155.3200,155.6050,155.3100,155.8000,3115
2018,2,2,9,37,155.4800,155.1400,155.0800,155.7700,5113
2018,2,2,9,38,155.2800,155.2200,155.1800,155.3700,900
2018,2,2,9,39,155.3400,155.4100,155.3400,155.4100,1470
2018,2,2,9,41,155.4600,155.5100,155.3600,155.5700,3116
2018,2,2,9,42,155.6500,155.8100,155.6500,155.8100,800
2018,2,2,9,43,155.8000,155.7300,155.7200,155.8300,1700
2018,2,2,9,44,155.7600,156.0340,155.7600,156.2300,2000
2018,2,2,9,45,156.2100,155.7900,155.7600,156.2100,2400
2018,2,2,9,46,155.9850,155.8850,155.8850,156.0400,900
2018,2,2,9,47,156.0600,155.8200,155.8200,156.1000,1600
2018,2,2,9,48,155.9651,155.8800,155.8800,156.1300,812
2018,2,2,9,49,155.8500,155.8500,155.8500,155.8500,100
2018,2,2,9,50,155.9075,156.2925,155.9075,156.2925,3066
2018,2,2,9,51,156.2500,156.4500,156.2000,156.4500,4076
2018,2,2,9,52,156.3800,156.3400,156.2800,156.4650,6206
2018,2,2,9,53,156.4550,156.3300,156.3300,156.6100,4100
2018,2,2,9,54,156.4263,156.3450,156.2201,156.4400,1815
2018,2,2,9,55,156.3900,156.2600,156.2600,156.5250,3482
2018,2,2,9,56,156.3500,156.4073,156.2900,156.4073,1200
2018,2,2,9,57,156.4500,156.4700,156.3944,156.4700,1218
2018,2,2,9,58,156.4800,156.3800,156.3100,156.4800,2500
2018,2,2,9,59,156.2900,156.5100,156.2900,156.5200,1918
2018,2,2,10,0,156.4600,156.8900,156.4600,156.9500,2298
2018,2,2,10,1,156.7950,156.8800,156.6200,156.8800,6256
2018,2,2,10,2,156.8550,156.9100,156.8300,156.9400,1362
2018,2,2,10,3,156.8600,156.8300,156.7700,156.9200,1800
2018,2,2,10,4,156.7500,156.6950,156.6200,156.9300,6084
2018,2,2,10,5,156.7600,156.5800,156.4900,156.7900,7942
2018,2,2,10,6,156.5800,156.6400,156.5800,156.8100,3400
2018,2,2,10,7,156.7450,156.7100,156.5200,156.7900,3400
2018,2,2,10,8,156.7600,156.7000,156.6700,156.8100,3201
2018,2,2,10,9,156.8100,156.9600,156.8000,156.9600,4364
2018,2,2,10,10,156.9600,156.9910,156.8600,157.0300,6310
2018,2,2,10,11,157.0300,157.0700,156.9600,157.1100,11335
2018,2,2,10,12,157.0600,157.0429,157.0300,157.0900,2035
2018,2,2,10,13,157.0200,157.1500,157.0200,157.1700,2260
2018,2,2,10,14,157.1900,157.2200,157.1450,157.2500,1800
2018,2,2,10,15,157.2712,157.1100,157.1100,157.4200,4449
2018,2,2,10,16,157.2100,157.1100,157.1000,157.2500,1800
2018,2,2,10,17,156.9900,156.9000,156.7910,156.9900,3002
2018,2,2,10,18,156.9300,156.8100,156.7200,156.9300,4814
2018,2,2,10,19,156.8450,156.7600,156.7500,156.8900,1225
2018,2,2,10,20,156.7167,156.6900,156.6600,156.7300,1784
2018,2,2,10,21,156.7700,156.6600,156.6600,156.8800,3438
2018,2,2,10,22,156.6850,156.5900,156.5900,156.6856,700
2018,2,2,10,23,156.6350,156.4800,156.4800,156.6350,2100
2018,2,2,10,24,156.5600,156.7572,156.5600,156.7700,3624
2018,2,2,10,25,156.7292,156.5600,156.5400,156.7300,4179
2018,2,2,10,26,156.5900,156.7400,156.5550,156.7400,2717
2018,2,2,10,27,156.7000,156.6600,156.6600,156.7700,2650
2018,2,2,10,28,156.6200,156.6350,156.6200,156.6400,520
2018,2,2,10,29,156.6400,156.5563,156.5500,156.7199,5996
2018,2,2,10,30,156.5300,156.5100,156.4300,156.5300,4707
2018,2,2,10,31,156.5699,156.5700,156.4600,156.5800,2486
2018,2,2,10,32,156.5700,156.6200,156.5700,156.6799,5490
2018,2,2,10,33,156.6100,156.6500,156.6040,156.7500,2563
2018,2,2,10,34,156.6850,156.6600,156.6400,156.6850,1250
2018,2,2,10,35,156.6800,156.6350,156.6250,156.7399,2900
2018,2,2,10,36,156.6282,156.6282,156.6282,156.6282,148
2018,2,2,10,37,156.6100,156.6100,156.6100,156.6700,1777
2018,2,2,10,38,156.6100,156.6260,156.5700,156.6799,6930
2018,2,2,10,39,156.6250,156.7300,156.6250,156.7300,2200
2018,2,2,10,41,156.7800,156.9799,156.7650,156.9799,1941
2018,2,2,10,42,156.8800,156.8999,156.8500,156.9299,1840
2018,2,2,10,43,156.8100,156.9200,156.8100,156.9200,1300
2018,2,2,10,44,156.9100,156.8600,156.8200,156.9100,900
2018,2,2,10,45,156.8200,156.8200,156.7700,156.8399,2630
2018,2,2,10,46,156.7800,156.9050,156.7800,156.9500,3640
2018,2,2,10,47,156.9400,156.9299,156.8500,156.9400,1350
2018,2,2,10,48,156.8900,156.9900,156.8850,156.9900,1300
2018,2,2,10,49,156.9200,156.9199,156.8700,156.9200,3765
2018,2,2,10,50,156.8600,157.0099,156.8600,157.0100,2300
2018,2,2,10,51,157.0100,157.0550,156.9800,157.0800,1200
2018,2,2,10,52,157.0450,157.1050,157.0255,157.1200,3267
2018,2,2,10,53,157.0900,157.1400,157.0601,157.1400,1682
2018,2,2,10,54,157.1500,156.9650,156.9550,157.1800,6044
2018,2,2,10,55,156.9896,157.0520,156.9500,157.0700,1840
2018,2,2,10,56,157.0501,157.1200,157.0501,157.1700,1676
2018,2,2,10,57,157.1700,157.0700,157.0700,157.2000,2500
2018,2,2,10,58,157.0200,156.9700,156.9700,157.0200,400
2018,2,2,10,59,157.0400,156.9100,156.9100,157.0400,2130
2018,2,2,11,0,156.8800,156.9660,156.8700,156.9800,4100
2018,2,2,11,1,156.9580,157.0200,156.9400,157.0500,9876
2018,2,2,11,2,157.0050,157.1900,157.0050,157.1900,5677
2018,2,2,11,3,157.1900,157.0500,157.0500,157.1900,5764
2018,2,2,11,4,157.0700,157.0300,157.0050,157.0700,1400
2018,2,2,11,5,156.9900,156.8400,156.8400,156.9900,2000
2018,2,2,11,6,156.8600,156.8600,156.8600,156.8648,640
2018,2,2,11,7,156.8400,156.7900,156.7900,156.8900,3542
2018,2,2,11,8,156.8000,156.7500,156.7500,156.8300,1000
2018,2,2,11,10,156.6600,156.6000,156.6000,156.7050,1200
2018,2,2,11,11,156.6050,156.6700,156.5901,156.6700,1458
2018,2,2,11,12,156.6600,156.5698,156.5698,156.6700,1600
2018,2,2,11,13,156.5960,156.5850,156.5700,156.6300,748
2018,2,2,11,14,156.6200,156.5400,156.5400,156.6400,1442
2018,2,2,11,15,156.5500,156.5300,156.5300,156.5500,200
2018,2,2,11,16,156.4200,156.4100,156.4100,156.5000,500
2018,2,2,11,17,156.4600,156.3400,156.3400,156.4600,4803
2018,2,2,11,18,156.3400,156.3400,156.2900,156.3700,3348
2018,2,2,11,19,156.3400,156.1700,156.1700,156.3400,2482
