year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,39.8800,39.7900,39.7200,39.8800,117842
2018,2,2,9,32,39.8200,39.7100,39.7000,39.8200,8364
2018,2,2,9,33,39.7000,39.7700,39.7000,39.7700,13704
2018,2,2,9,34,39.7700,39.7500,39.7300,39.7700,5400
2018,2,2,9,35,39.7600,39.8500,39.7400,39.8600,10557
2018,2,2,9,36,39.8600,39.7700,39.7700,39.8600,13081
2018,2,2,9,37,39.7900,39.7300,39.7000,39.7900,6988
2018,2,2,9,38,39.7300,39.6800,39.6800,39.7300,32597
2018,2,2,9,39,39.6800,39.5900,39.5800,39.6800,22225
2018,2,2,9,40,39.6000,39.6300,39.5850,39.6300,10609
2018,2,2,9,41,39.6500,39.6900,39.6300,39.7100,13976
2018,2,2,9,42,39.7000,39.7500,39.7000,39.7750,17740
2018,2,2,9,43,39.7550,39.8000,39.7200,39.8000,13077
2018,2,2,9,44,39.8000,39.7700,39.7700,39.8100,3200
2018,2,2,9,45,39.7750,39.7500,39.7500,39.7900,3957
2018,2,2,9,46,39.7400,39.7100,39.7000,39.7500,12678
2018,2,2,9,47,39.7100,39.7600,39.7000,39.7600,17917
2018,2,2,9,48,39.7500,39.7950,39.7500,39.8000,7699
2018,2,2,9,49,39.7950,39.8300,39.7700,39.8300,10900
2018,2,2,9,50,39.8300,39.7800,39.7600,39.8300,14800
2018,2,2,9,51,39.7800,39.7100,39.7100,39.7900,7310
2018,2,2,9,52,39.7100,39.7150,39.7000,39.7300,14632
2018,2,2,9,53,39.7007,39.6100,39.6100,39.7100,27868
2018,2,2,9,54,39.6000,39.6250,39.5800,39.6300,23187
2018,2,2,9,55,39.6300,39.6600,39.6200,39.6700,19780
2018,2,2,9,56,39.6700,39.7100,39.6500,39.7200,20165
2018,2,2,9,57,39.7100,39.6400,39.6300,39.7100,14934
2018,2,2,9,58,39.6450,39.6400,39.6200,39.6450,7696
2018,2,2,9,59,39.6300,39.6200,39.6000,39.6300,8262
2018,2,2,10,0,39.6200,39.6500,39.6200,39.6500,21237
2018,2,2,10,1,39.6400,39.4900,39.4700,39.6400,42316
2018,2,2,10,2,39.4850,39.4950,39.4700,39.5095,18890
2018,2,2,10,3,39.4950,39.5300,39.4900,39.5300,4510
2018,2,2,10,4,39.5450,39.5600,39.4800,39.5600,11607
2018,2,2,10,5,39.5500,39.5800,39.5500,39.6000,12978
2018,2,2,10,6,39.5700,39.5900,39.5700,39.6400,13933
2018,2,2,10,7,39.5900,39.6500,39.5850,39.6600,22568
2018,2,2,10,8,39.6501,39.5900,39.5700,39.6501,9748
2018,2,2,10,9,39.5950,39.5500,39.5500,39.5950,8549
2018,2,2,10,10,39.5500,39.5100,39.5100,39.5500,9010
2018,2,2,10,11,39.5150,39.4500,39.4300,39.5200,21816
2018,2,2,10,12,39.4400,39.4400,39.4200,39.4600,10818
2018,2,2,10,13,39.4500,39.4300,39.4100,39.4500,14492
2018,2,2,10,14,39.4300,39.4200,39.3850,39.4300,19101
2018,2,2,10,15,39.4200,39.4500,39.4200,39.4550,9461
2018,2,2,10,16,39.4550,39.4400,39.4300,39.4600,13312
2018,2,2,10,17,39.4350,39.4100,39.4100,39.4550,6790
2018,2,2,10,18,39.4200,39.4200,39.4000,39.4500,11763
2018,2,2,10,19,39.4250,39.5300,39.4250,39.5300,16073
2018,2,2,10,20,39.5400,39.5700,39.5400,39.5800,14680
2018,2,2,10,21,39.5600,39.5700,39.5300,39.5750,8670
2018,2,2,10,22,39.5700,39.6300,39.5700,39.6400,12255
2018,2,2,10,23,39.6250,39.5700,39.5700,39.6250,9401
2018,2,2,10,24,39.5600,39.5250,39.5000,39.5600,11783
2018,2,2,10,25,39.5200,39.5400,39.5200,39.5500,11562
2018,2,2,10,26,39.5450,39.5400,39.5400,39.5500,2786
2018,2,2,10,27,39.5450,39.5250,39.5100,39.5450,7907
2018,2,2,10,28,39.5200,39.5350,39.5200,39.5400,3300
2018,2,2,10,29,39.5350,39.5700,39.5350,39.5700,8816
2018,2,2,10,30,39.5850,39.6050,39.5800,39.6050,12505
2018,2,2,10,31,39.6000,39.5700,39.5700,39.6000,10600
2018,2,2,10,32,39.5700,39.6300,39.5700,39.6600,13778
2018,2,2,10,33,39.6300,39.5800,39.5800,39.6300,11148
2018,2,2,10,34,39.5900,39.5600,39.5400,39.6000,6459
2018,2,2,10,35,39.5650,39.5600,39.5600,39.5750,3602
2018,2,2,10,36,39.5500,39.5000,39.5000,39.5600,38708
2018,2,2,10,37,39.5000,39.4400,39.4400,39.5100,11991
2018,2,2,10,38,39.4400,39.4600,39.4300,39.4600,6480
2018,2,2,10,39,39.4500,39.4100,39.3900,39.4500,8189
2018,2,2,10,40,39.4142,39.4500,39.3950,39.4600,13479
2018,2,2,10,41,39.4500,39.4100,39.4100,39.4700,13108
2018,2,2,10,42,39.4100,39.4600,39.4100,39.4650,3080
2018,2,2,10,43,39.4500,39.4500,39.4300,39.4500,6300
2018,2,2,10,44,39.4500,39.4900,39.4500,39.4950,9447
2018,2,2,10,45,39.4800,39.4400,39.4200,39.4800,9861
2018,2,2,10,46,39.4400,39.4100,39.4100,39.4400,5337
2018,2,2,10,47,39.4100,39.4500,39.4100,39.4500,5493
2018,2,2,10,48,39.4500,39.4700,39.4500,39.4700,3842
2018,2,2,10,49,39.4800,39.5175,39.4800,39.5200,8700
2018,2,2,10,50,39.5100,39.5400,39.5100,39.5400,6500
2018,2,2,10,51,39.5400,39.5800,39.5350,39.5800,8744
2018,2,2,10,52,39.5700,39.6000,39.5550,39.6000,6300
2018,2,2,10,53,39.6100,39.5900,39.5900,39.6200,5049
2018,2,2,10,54,39.5900,39.6100,39.5600,39.6200,3369
2018,2,2,10,55,39.6200,39.6200,39.6000,39.6200,58683
2018,2,2,10,56,39.6200,39.6700,39.6100,39.6700,6000
2018,2,2,10,57,39.6645,39.6800,39.6500,39.6900,3725
2018,2,2,10,58,39.7000,39.6900,39.6800,39.7100,9634
2018,2,2,10,59,39.6900,39.7100,39.6900,39.7200,7300
2018,2,2,11,0,39.7000,39.7400,39.6900,39.7499,9900
2018,2,2,11,1,39.7300,39.6800,39.6700,39.7300,6401
2018,2,2,11,2,39.6800,39.7000,39.6600,39.7000,9063
