year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,67.2200,67.2700,67.2200,67.2800,130372
2018,2,2,9,31,67.2700,67.3400,67.1000,67.3400,44590
2018,2,2,9,32,67.3500,67.3500,67.2900,67.3700,12826
2018,2,2,9,33,67.3500,67.5500,67.3400,67.6400,20178
2018,2,2,9,34,67.5500,67.7100,67.5000,67.7300,20551
2018,2,2,9,35,67.7100,67.5800,67.5600,67.7100,10581
2018,2,2,9,36,67.6000,67.7300,67.5900,67.7900,11511
2018,2,2,9,37,67.7200,67.7700,67.6900,67.7800,15891
2018,2,2,9,38,67.7750,67.6400,67.6300,67.7900,18928
2018,2,2,9,39,67.6400,67.5300,67.5100,67.6800,10688
2018,2,2,9,40,67.5200,67.4300,67.4300,67.5300,11000
2018,2,2,9,41,67.4400,67.4100,67.3800,67.4700,13916
2018,2,2,9,42,67.4100,67.4900,67.3600,67.4900,11467
2018,2,2,9,43,67.4800,67.6000,67.4700,67.6600,15362
2018,2,2,9,44,67.5900,67.5200,67.5000,67.5900,10700
2018,2,2,9,45,67.5200,67.5000,67.5000,67.5600,12009
2018,2,2,9,46,67.5100,67.3600,67.3400,67.5100,18169
2018,2,2,9,47,67.3600,67.3000,67.2600,67.3700,25567
2018,2,2,9,48,67.3000,67.3400,67.3000,67.3505,9288
2018,2,2,9,49,67.3384,67.4500,67.3373,67.4700,14068
2018,2,2,9,50,67.4500,67.5200,67.4500,67.5300,29491
2018,2,2,9,51,67.5400,67.5800,67.5300,67.5900,16908
2018,2,2,9,52,67.5700,67.4700,67.4600,67.5900,19608
2018,2,2,9,53,67.4700,67.4500,67.4200,67.4700,15140
2018,2,2,9,54,67.4500,67.5000,67.4400,67.5000,10821
2018,2,2,9,55,67.5100,67.6000,67.5100,67.6100,18161
2018,2,2,9,56,67.5950,67.5900,67.5700,67.5950,10935
2018,2,2,9,57,67.5800,67.4900,67.4800,67.5901,22870
2018,2,2,9,58,67.5000,67.5000,67.4900,67.5400,11738
2018,2,2,9,59,67.5249,67.5600,67.5200,67.5600,7193
2018,2,2,10,0,67.5700,67.6000,67.5600,67.6000,14659
2018,2,2,10,1,67.5900,67.5200,67.5200,67.6100,14266
2018,2,2,10,2,67.5300,67.5200,67.4900,67.5300,21859
2018,2,2,10,3,67.5100,67.4000,67.3900,67.5100,14160
2018,2,2,10,4,67.4000,67.3500,67.3100,67.4050,18637
2018,2,2,10,5,67.3400,67.2700,67.2518,67.3600,23390
2018,2,2,10,6,67.2700,67.2300,67.1600,67.2700,26236
2018,2,2,10,7,67.2300,67.2501,67.1700,67.2600,17350
2018,2,2,10,8,67.2600,67.2800,67.2250,67.2800,18900
2018,2,2,10,9,67.2800,67.3300,67.2800,67.3300,15697
2018,2,2,10,10,67.3300,67.3250,67.2800,67.3500,14400
2018,2,2,10,11,67.3350,67.2950,67.2900,67.3350,8650
2018,2,2,10,12,67.3000,67.3650,67.3000,67.4100,15370
2018,2,2,10,13,67.3700,67.3500,67.3500,67.3900,18639
2018,2,2,10,14,67.3400,67.3100,67.3100,67.3700,16189
2018,2,2,10,15,67.3100,67.3350,67.2900,67.3400,11401
2018,2,2,10,16,67.3300,67.4100,67.3300,67.4150,8225
2018,2,2,10,17,67.4100,67.4340,67.3800,67.4400,8368
2018,2,2,10,18,67.4300,67.4700,67.4300,67.4700,11512
2018,2,2,10,19,67.4800,67.4600,67.4300,67.4800,9657
2018,2,2,10,20,67.4700,67.4850,67.4700,67.5100,16637
2018,2,2,10,21,67.4800,67.5100,67.4600,67.5100,8416
2018,2,2,10,22,67.5200,67.5500,67.5200,67.5800,12498
2018,2,2,10,23,67.5500,67.5500,67.5100,67.6000,22533
2018,2,2,10,24,67.5500,67.5800,67.5500,67.5850,9050
2018,2,2,10,25,67.5700,67.5200,67.5200,67.5700,7695
2018,2,2,10,26,67.5200,67.5300,67.5000,67.5400,12107
2018,2,2,10,27,67.5400,67.5000,67.4950,67.5400,8236
2018,2,2,10,28,67.5000,67.4950,67.4900,67.5200,6617
2018,2,2,10,29,67.4900,67.5300,67.4900,67.5400,10628
2018,2,2,10,30,67.5400,67.5200,67.4800,67.5450,13134
2018,2,2,10,31,67.5300,67.5000,67.4900,67.5300,9170
2018,2,2,10,32,67.5000,67.5400,67.5000,67.5600,9195
2018,2,2,10,33,67.5400,67.4900,67.4900,67.5400,39700
2018,2,2,10,34,67.4900,67.5800,67.4900,67.5800,10187
2018,2,2,10,35,67.5800,67.6300,67.5800,67.6500,19479
2018,2,2,10,36,67.6200,67.6101,67.5900,67.6200,11655
2018,2,2,10,37,67.6100,67.5800,67.5800,67.6300,8980
2018,2,2,10,38,67.5800,67.6400,67.5750,67.6400,9178
2018,2,2,10,39,67.6400,67.5600,67.5500,67.6400,13732
2018,2,2,10,40,67.5550,67.5200,67.5100,67.5700,9802
2018,2,2,10,41,67.5200,67.5300,67.5100,67.5600,11100
2018,2,2,10,42,67.5300,67.5200,67.5000,67.5300,6479
2018,2,2,10,43,67.5250,67.5300,67.5100,67.5400,7726
2018,2,2,10,44,67.5300,67.5100,67.5055,67.5300,3325
2018,2,2,10,45,67.5100,67.5200,67.5000,67.5200,12041
2018,2,2,10,46,67.5200,67.5100,67.4700,67.5200,16793
2018,2,2,10,47,67.5100,67.4500,67.4500,67.5201,33091
2018,2,2,10,48,67.4500,67.4850,67.4400,67.4900,14846
2018,2,2,10,49,67.4900,67.5400,67.4900,67.5500,5352
2018,2,2,10,50,67.5400,67.5050,67.5050,67.5400,10641
2018,2,2,10,51,67.5100,67.5400,67.5075,67.5800,13881
2018,2,2,10,52,67.5500,67.5640,67.5500,67.5800,8108
2018,2,2,10,53,67.5700,67.6300,67.5700,67.6300,8175
2018,2,2,10,54,67.6300,67.6600,67.6200,67.6700,10732
2018,2,2,10,55,67.6700,67.6700,67.6600,67.7000,13000
2018,2,2,10,56,67.6600,67.6300,67.6200,67.6600,48640
2018,2,2,10,57,67.6400,67.5950,67.5600,67.6400,52739
2018,2,2,10,58,67.5900,67.5200,67.4900,67.5950,11050
2018,2,2,10,59,67.5200,67.5000,67.5000,67.5650,15499
2018,2,2,11,0,67.5000,67.5300,67.4700,67.5300,24000
2018,2,2,11,1,67.5300,67.4600,67.4500,67.5300,9300
2018,2,2,11,2,67.4700,67.5000,67.4691,67.5000,6293
2018,2,2,11,3,67.4950,67.5150,67.4800,67.5150,10067
2018,2,2,11,4,67.5100,67.4450,67.4450,67.5100,6318
2018,2,2,11,5,67.4415,67.4400,67.4300,67.4500,6722
2018,2,2,11,6,67.4500,67.4600,67.4400,67.4600,13139
2018,2,2,11,7,67.4500,67.4600,67.4500,67.4700,18654
2018,2,2,11,8,67.4600,67.4700,67.4400,67.4750,7660
2018,2,2,11,9,67.4700,67.4600,67.4600,67.4750,6886
2018,2,2,11,10,67.4700,67.4350,67.4300,67.4700,11231
2018,2,2,11,11,67.4300,67.4000,67.3400,67.4300,18291
2018,2,2,11,12,67.3900,67.3800,67.3600,67.3900,5400
2018,2,2,11,13,67.3900,67.3800,67.3700,67.4000,9300
2018,2,2,11,14,67.3800,67.4100,67.3800,67.4100,20048
2018,2,2,11,15,67.4100,67.4400,67.4046,67.4600,23556
2018,2,2,11,16,67.4400,67.4500,67.4400,67.4600,25463
2018,2,2,11,17,67.4450,67.4450,67.4450,67.4674,20364
2018,2,2,11,18,67.4500,67.4600,67.4400,67.4600,10422
2018,2,2,11,19,67.4600,67.4700,67.4600,67.4700,4660
2018,2,2,11,20,67.4600,67.4500,67.4300,67.4600,14304
2018,2,2,11,21,67.4300,67.4000,67.3800,67.4400,16571
2018,2,2,11,22,67.4000,67.4299,67.4000,67.4300,12280
